trip_id,arrival_time,departure_time,stop_id,stop_sequence
401_SP_1,06:15:00,06:15:00,SANTANA,1
401_SP_1,06:37:00,06:37:00,PAPA,2
401_SP_2,12:15:00,12:15:00,SANTANA,1
401_SP_2,12:37:00,12:37:00,PAPA,2
401_PS_1,07:15:00,07:15:00,PAPA,1
401_PS_1,07:37:00,07:37:00,SANTANA,2
401_PS_2,18:15:00,18:15:00,PAPA,1
401_PS_2,18:37:00,18:37:00,SANTANA,2
402_PAPA_1,06:25:00,06:25:00,PAPA,1
402_PAPA_1,06:33:00,06:33:00,PRAINHA,2
402_PAPA_2,07:30:00,07:30:00,PAPA,1
402_PAPA_2,07:38:00,07:38:00,PRAINHA,2
402_PAPA_3,12:00:00,12:00:00,PAPA,1
402_PAPA_3,12:08:00,12:08:00,PRAINHA,2
402_PAPA_4,17:10:00,17:10:00,PAPA,1
402_PAPA_4,17:18:00,17:18:00,PRAINHA,2
402_PAPA_5,19:05:00,19:05:00,PAPA,1
402_PAPA_5,19:13:00,19:13:00,PRAINHA,2
402_PRA_1,06:25:00,06:25:00,PRAINHA,1
402_PRA_1,06:33:00,06:33:00,PAPA,2
402_PRA_2,07:30:00,07:30:00,PRAINHA,1
402_PRA_2,07:38:00,07:38:00,PAPA,2
402_PRA_3,11:40:00,11:40:00,PRAINHA,1
402_PRA_3,11:48:00,11:48:00,PAPA,2
402_PRA_4,17:10:00,17:10:00,PRAINHA,1
402_PRA_4,17:18:00,17:18:00,PAPA,2
402_PRA_5,19:05:00,19:05:00,PRAINHA,1
402_PRA_5,19:13:00,19:13:00,PAPA,2
403_SAT_PS_1,08:25:00,08:25:00,SANTANA,1
403_SAT_PS_1,08:53:00,08:53:00,PRAINHA,2
403_SAT_PS_2,10:05:00,10:05:00,SANTANA,1
403_SAT_PS_2,10:33:00,10:33:00,PRAINHA,2
403_SAT_PS_3,11:45:00,11:45:00,SANTANA,1
403_SAT_PS_3,12:13:00,12:13:00,PRAINHA,2
403_SAT_PS_4,13:25:00,13:25:00,SANTANA,1
403_SAT_PS_4,13:53:00,13:53:00,PRAINHA,2
403_SAT_PS_5,16:05:00,16:05:00,SANTANA,1
403_SAT_PS_5,16:33:00,16:33:00,PRAINHA,2
403_SAT_PS_6,17:45:00,17:45:00,SANTANA,1
403_SAT_PS_6,18:13:00,18:13:00,PRAINHA,2
403_SAT_PR_1,09:15:00,09:15:00,PRAINHA,1
403_SAT_PR_1,09:43:00,09:43:00,SANTANA,2
403_SAT_PR_2,10:55:00,10:55:00,PRAINHA,1
403_SAT_PR_2,11:23:00,11:23:00,SANTANA,2
403_SAT_PR_3,12:35:00,12:35:00,PRAINHA,1
403_SAT_PR_3,13:03:00,13:03:00,SANTANA,2
403_SAT_PR_4,14:15:00,14:15:00,PRAINHA,1
403_SAT_PR_4,14:43:00,14:43:00,SANTANA,2
403_SAT_PR_5,16:55:00,16:55:00,PRAINHA,1
403_SAT_PR_5,17:23:00,17:23:00,SANTANA,2
403_SUN_PS_1,10:15:00,10:15:00,SANTANA,1
403_SUN_PS_1,10:43:00,10:43:00,PRAINHA,2
403_SUN_PS_2,11:55:00,11:55:00,SANTANA,1
403_SUN_PS_2,12:23:00,12:23:00,PRAINHA,2
403_SUN_PS_3,13:35:00,13:35:00,SANTANA,1
403_SUN_PS_3,14:03:00,14:03:00,PRAINHA,2
403_SUN_PS_4,15:15:00,15:15:00,SANTANA,1
403_SUN_PS_4,15:43:00,15:43:00,PRAINHA,2
403_SUN_PS_5,16:55:00,16:55:00,SANTANA,1
403_SUN_PS_5,17:23:00,17:23:00,PRAINHA,2
403_SUN_PR_1,09:25:00,09:25:00,PRAINHA,1
403_SUN_PR_1,09:53:00,09:53:00,SANTANA,2
403_SUN_PR_2,11:05:00,11:05:00,PRAINHA,1
403_SUN_PR_2,11:33:00,11:33:00,SANTANA,2
403_SUN_PR_3,12:45:00,12:45:00,PRAINHA,1
403_SUN_PR_3,13:13:00,13:13:00,SANTANA,2
403_SUN_PR_4,14:25:00,14:25:00,PRAINHA,1
403_SUN_PR_4,14:53:00,14:53:00,SANTANA,2
403_SUN_PR_5,16:05:00,16:05:00,PRAINHA,1
403_SUN_PR_5,16:33:00,16:33:00,SANTANA,2
