trip_id,arrival_time,departure_time,stop_id,stop_sequence
100_WD_d0_0510,05:10:00,05:10:00,S006,1
100_WD_d0_0510,05:19:00,05:19:00,S039,2
100_WD_d0_0510,05:28:00,05:28:00,S040,3
100_WD_d0_0510,05:37:00,05:37:00,S034,4
100_WD_d0_0510,05:46:00,05:46:00,S025,5
100_WD_d0_0510,05:55:00,05:55:00,S018,6
100_WD_d1_0545,05:45:00,05:45:00,S018,1
100_WD_d1_0545,05:54:00,05:54:00,S025,2
100_WD_d1_0545,06:03:00,06:03:00,S034,3
100_WD_d1_0545,06:12:00,06:12:00,S040,4
100_WD_d1_0545,06:21:00,06:21:00,S039,5
100_WD_d1_0545,06:30:00,06:30:00,S006,6
100_SAT_d0_0620,06:20:00,06:20:00,S006,1
100_SAT_d0_0620,06:29:00,06:29:00,S039,2
100_SAT_d0_0620,06:38:00,06:38:00,S040,3
100_SAT_d0_0620,06:47:00,06:47:00,S034,4
100_SAT_d0_0620,06:56:00,06:56:00,S025,5
100_SAT_d0_0620,07:05:00,07:05:00,S018,6
100_SAT_d1_0700,07:00:00,07:00:00,S018,1
100_SAT_d1_0700,07:09:00,07:09:00,S025,2
100_SAT_d1_0700,07:18:00,07:18:00,S034,3
100_SAT_d1_0700,07:27:00,07:27:00,S040,4
100_SAT_d1_0700,07:36:00,07:36:00,S039,5
100_SAT_d1_0700,07:45:00,07:45:00,S006,6
100_SUN_d0_0620,06:20:00,06:20:00,S006,1
100_SUN_d0_0620,06:29:00,06:29:00,S039,2
100_SUN_d0_0620,06:38:00,06:38:00,S040,3
100_SUN_d0_0620,06:47:00,06:47:00,S034,4
100_SUN_d0_0620,06:56:00,06:56:00,S025,5
100_SUN_d0_0620,07:05:00,07:05:00,S018,6
100_SUN_d1_0700,07:00:00,07:00:00,S018,1
100_SUN_d1_0700,07:09:00,07:09:00,S025,2
100_SUN_d1_0700,07:18:00,07:18:00,S034,3
100_SUN_d1_0700,07:27:00,07:27:00,S040,4
100_SUN_d1_0700,07:36:00,07:36:00,S039,5
100_SUN_d1_0700,07:45:00,07:45:00,S006,6
105_WD_d0_0530,05:30:00,05:30:00,S017,1
105_WD_d0_0530,05:52:00,05:52:00,S034,2
105_WD_d0_0530,06:15:00,06:15:00,S016,3
105_WD_d1_0530,05:30:00,05:30:00,S016,1
105_WD_d1_0530,05:52:00,05:52:00,S034,2
105_WD_d1_0530,06:15:00,06:15:00,S017,3
120_WD_d0_0530,05:30:00,05:30:00,S012,1
120_WD_d0_0530,05:52:00,05:52:00,S034,2
120_WD_d0_0530,06:15:00,06:15:00,S014,3
120_WD_d1_0530,05:30:00,05:30:00,S014,1
120_WD_d1_0530,05:52:00,05:52:00,S034,2
120_WD_d1_0530,06:15:00,06:15:00,S012,3
150_WD_d0_0530,05:30:00,05:30:00,S001,1
150_WD_d0_0530,05:52:00,05:52:00,S034,2
150_WD_d0_0530,06:15:00,06:15:00,S038,3
150_WD_d1_0530,05:30:00,05:30:00,S038,1
150_WD_d1_0530,05:52:00,05:52:00,S034,2
150_WD_d1_0530,06:15:00,06:15:00,S001,3
155_WD_d0_0530,05:30:00,05:30:00,S035,1
155_WD_d0_0530,06:15:00,06:15:00,S034,2
155_WD_d1_0530,05:30:00,05:30:00,S034,1
155_WD_d1_0530,06:15:00,06:15:00,S035,2
205_WD_d0_0530,05:30:00,05:30:00,S003,1
205_WD_d0_0530,05:52:00,05:52:00,S034,2
205_WD_d0_0530,06:15:00,06:15:00,S009,3
205_WD_d1_0530,05:30:00,05:30:00,S009,1
205_WD_d1_0530,05:52:00,05:52:00,S034,2
205_WD_d1_0530,06:15:00,06:15:00,S003,3
205A_WD_d0_0530,05:30:00,05:30:00,S019,1
205A_WD_d0_0530,05:52:00,05:52:00,S034,2
205A_WD_d0_0530,06:15:00,06:15:00,S022,3
205A_WD_d1_0530,05:30:00,05:30:00,S022,1
205A_WD_d1_0530,05:52:00,05:52:00,S034,2
205A_WD_d1_0530,06:15:00,06:15:00,S019,3
205B_WD_d0_0530,05:30:00,05:30:00,S023,1
205B_WD_d0_0530,05:52:00,05:52:00,S034,2
205B_WD_d0_0530,06:15:00,06:15:00,S009,3
205B_WD_d1_0530,05:30:00,05:30:00,S009,1
205B_WD_d1_0530,05:52:00,05:52:00,S034,2
205B_WD_d1_0530,06:15:00,06:15:00,S023,3
215_WD_d0_0530,05:30:00,05:30:00,S021,1
215_WD_d0_0530,05:52:00,05:52:00,S034,2
215_WD_d0_0530,06:15:00,06:15:00,S009,3
215_WD_d1_0530,05:30:00,05:30:00,S009,1
215_WD_d1_0530,05:52:00,05:52:00,S034,2
215_WD_d1_0530,06:15:00,06:15:00,S021,3
215A_WD_d0_0530,05:30:00,05:30:00,S021,1
215A_WD_d0_0530,06:15:00,06:15:00,S034,2
215A_WD_d1_0530,05:30:00,05:30:00,S034,1
215A_WD_d1_0530,06:15:00,06:15:00,S021,2
220_WD_d0_0530,05:30:00,05:30:00,S011,1
220_WD_d0_0530,05:52:00,05:52:00,S034,2
220_WD_d0_0530,06:15:00,06:15:00,S031,3
220_WD_d1_0530,05:30:00,05:30:00,S031,1
220_WD_d1_0530,05:52:00,05:52:00,S034,2
220_WD_d1_0530,06:15:00,06:15:00,S011,3
225_WD_d0_0530,05:30:00,05:30:00,S002,1
225_WD_d0_0530,05:52:00,05:52:00,S034,2
225_WD_d0_0530,06:15:00,06:15:00,S032,3
225_WD_d1_0530,05:30:00,05:30:00,S032,1
225_WD_d1_0530,05:52:00,05:52:00,S034,2
225_WD_d1_0530,06:15:00,06:15:00,S002,3
230_WD_d0_0530,05:30:00,05:30:00,S030,1
230_WD_d0_0530,05:52:00,05:52:00,S034,2
230_WD_d0_0530,06:15:00,06:15:00,S009,3
230_WD_d1_0530,05:30:00,05:30:00,S009,1
230_WD_d1_0530,05:52:00,05:52:00,S034,2
230_WD_d1_0530,06:15:00,06:15:00,S030,3
250_WD_d0_0530,05:30:00,05:30:00,S003,1
250_WD_d0_0530,05:52:00,05:52:00,S034,2
250_WD_d0_0530,06:15:00,06:15:00,S022,3
250_WD_d1_0530,05:30:00,05:30:00,S022,1
250_WD_d1_0530,05:52:00,05:52:00,S034,2
250_WD_d1_0530,06:15:00,06:15:00,S003,3
255_WD_d0_0530,05:30:00,05:30:00,S008,1
255_WD_d0_0530,06:15:00,06:15:00,S034,2
255_WD_d1_0530,05:30:00,05:30:00,S034,1
255_WD_d1_0530,06:15:00,06:15:00,S008,2
