route_id,service_id,trip_id,trip_headsign
L01,TRANSCO_DAILY,L01_0,Zando
L01,TRANSCO_DAILY,L01_1,Kingasani ya Suka
L02,TRANSCO_DAILY,L02_0,Royal
L02,TRANSCO_DAILY,L02_1,Masina Sans Fil
L03,TRANSCO_DAILY,L03_0,Gare Centrale
L03,TRANSCO_DAILY,L03_1,Ngiringiri
L04,TRANSCO_DAILY,L04_0,Gare Centrale
L04,TRANSCO_DAILY,L04_1,UPN
L05,TRANSCO_DAILY,L05_0,Grande Poste
L05,TRANSCO_DAILY,L05_1,Lemba Terminus
L07,TRANSCO_DAILY,L07_0,Place des Evolues
L07,TRANSCO_DAILY,L07_1,Masina Q3
L08,TRANSCO_DAILY,L08_0,Gambela
L08,TRANSCO_DAILY,L08_1,Masina Q3
L09,TRANSCO_DAILY,L09_0,UPN
L09,TRANSCO_DAILY,L09_1,UNIKIN
L11,TRANSCO_DAILY,L11_0,Clinique Ngaliema
L11,TRANSCO_DAILY,L11_1,Kapela
L12,TRANSCO_DAILY,L12_0,Place des Evolues
L12,TRANSCO_DAILY,L12_1,Rond Point Ngaba
L13,TRANSCO_DAILY,L13_0,Mbudi
L13,TRANSCO_DAILY,L13_1,Hopital General
L14,TRANSCO_DAILY,L14_0,UPN
L14,TRANSCO_DAILY,L14_1,Matete
L15,TRANSCO_DAILY,L15_0,Ndili Q1
L15,TRANSCO_DAILY,L15_1,Kinkole
L16,TRANSCO_DAILY,L16_0,UPN
L16,TRANSCO_DAILY,L16_1,Victoire
L17,TRANSCO_DAILY,L17_0,Mbudi
L17,TRANSCO_DAILY,L17_1,Gambela
L18,TRANSCO_DAILY,L18_0,Zando
L18,TRANSCO_DAILY,L18_1,Kimbanseke
L19,TRANSCO_DAILY,L19_0,UNIKIN
L19,TRANSCO_DAILY,L19_1,Victoire
L20,TRANSCO_DAILY,L20_0,Zando
L20,TRANSCO_DAILY,L20_1,Selembao
L21,TRANSCO_DAILY,L21_0,UPN
L21,TRANSCO_DAILY,L21_1,Mitendi
L22,TRANSCO_DAILY,L22_0,Place des Evolues
L22,TRANSCO_DAILY,L22_1,Petro Congo
L23,TRANSCO_DAILY,L23_0,Zando
L23,TRANSCO_DAILY,L23_1,Petro Congo
L24,TRANSCO_DAILY,L24_0,Zando
L24,TRANSCO_DAILY,L24_1,UNIKIN
L25,TRANSCO_DAILY,L25_0,Sonas
L25,TRANSCO_DAILY,L25_1,Mikondo
L26,TRANSCO_DAILY,L26_0,Zando
L26,TRANSCO_DAILY,L26_1,Matete Wenze
L27,TRANSCO_DAILY,L27_0,UNIKIN
L27,TRANSCO_DAILY,L27_1,Kingasani ya Suka
L31,TRANSCO_DAILY,L31_0,Maluku
L31,TRANSCO_DAILY,L31_1,Pascal
L32,TRANSCO_DAILY,L32_0,Mongata
L32,TRANSCO_DAILY,L32_1,Pascal
L33,TRANSCO_DAILY,L33_0,Zando
L33,TRANSCO_DAILY,L33_1,Secomaf
L34,TRANSCO_DAILY,L34_0,Kimwenza
L34,TRANSCO_DAILY,L34_1,Rond Point Ngaba
