route_id,service_id,trip_id,trip_headsign
JIANGTIAO,DAILY,JT_0_00,Shengquansi
JIANGTIAO,DAILY,JT_0_01,Shengquansi
JIANGTIAO,DAILY,JT_0_02,Shengquansi
JIANGTIAO,DAILY,JT_0_03,Shengquansi
JIANGTIAO,DAILY,JT_0_04,Shengquansi
JIANGTIAO,DAILY,JT_0_05,Shengquansi
JIANGTIAO,DAILY,JT_0_06,Shengquansi
JIANGTIAO,DAILY,JT_0_07,Shengquansi
JIANGTIAO,DAILY,JT_0_08,Shengquansi
JIANGTIAO,DAILY,JT_0_09,Shengquansi
JIANGTIAO,DAILY,JT_0_10,Shengquansi
JIANGTIAO,DAILY,JT_0_11,Shengquansi
JIANGTIAO,DAILY,JT_0_12,Shengquansi
JIANGTIAO,DAILY,JT_0_13,Shengquansi
JIANGTIAO,DAILY,JT_0_14,Shengquansi
JIANGTIAO,DAILY,JT_0_15,Shengquansi
JIANGTIAO,DAILY,JT_0_16,Shengquansi
JIANGTIAO,DAILY,JT_0_17,Shengquansi
JIANGTIAO,DAILY,JT_0_18,Shengquansi
JIANGTIAO,DAILY,JT_0_19,Shengquansi
JIANGTIAO,DAILY,JT_0_20,Shengquansi
JIANGTIAO,DAILY,JT_0_21,Shengquansi
JIANGTIAO,DAILY,JT_0_22,Shengquansi
JIANGTIAO,DAILY,JT_0_23,Shengquansi
JIANGTIAO,DAILY,JT_0_24,Shengquansi
JIANGTIAO,DAILY,JT_0_25,Shengquansi
JIANGTIAO,DAILY,JT_0_26,Shengquansi
JIANGTIAO,DAILY,JT_0_27,Shengquansi
JIANGTIAO,DAILY,JT_0_28,Shengquansi
JIANGTIAO,DAILY,JT_0_29,Shengquansi
JIANGTIAO,DAILY,JT_0_30,Shengquansi
JIANGTIAO,DAILY,JT_0_31,Shengquansi
JIANGTIAO,DAILY,JT_0_32,Shengquansi
JIANGTIAO,DAILY,JT_0_33,Shengquansi
JIANGTIAO,DAILY,JT_0_34,Shengquansi
JIANGTIAO,DAILY,JT_0_35,Shengquansi
JIANGTIAO,DAILY,JT_0_36,Shengquansi
JIANGTIAO,DAILY,JT_0_37,Shengquansi
JIANGTIAO,DAILY,JT_0_38,Shengquansi
JIANGTIAO,DAILY,JT_0_39,Shengquansi
JIANGTIAO,DAILY,JT_0_40,Shengquansi
JIANGTIAO,DAILY,JT_0_41,Shengquansi
JIANGTIAO,DAILY,JT_0_42,Shengquansi
JIANGTIAO,DAILY,JT_0_43,Shengquansi
JIANGTIAO,DAILY,JT_0_44,Shengquansi
JIANGTIAO,DAILY,JT_0_45,Shengquansi
JIANGTIAO,DAILY,JT_0_46,Shengquansi
JIANGTIAO,DAILY,JT_0_47,Shengquansi
JIANGTIAO,DAILY,JT_0_48,Shengquansi
JIANGTIAO,DAILY,JT_0_49,Shengquansi
JIANGTIAO,DAILY,JT_0_50,Shengquansi
JIANGTIAO,DAILY,JT_0_51,Shengquansi
JIANGTIAO,DAILY,JT_0_52,Shengquansi
JIANGTIAO,DAILY,JT_0_53,Shengquansi
JIANGTIAO,DAILY,JT_0_54,Shengquansi
JIANGTIAO,DAILY,JT_0_55,Shengquansi
JIANGTIAO,DAILY,JT_0_56,Shengquansi
JIANGTIAO,DAILY,JT_1_00,Tiaodeng
JIANGTIAO,DAILY,JT_1_01,Tiaodeng
JIANGTIAO,DAILY,JT_1_02,Tiaodeng
JIANGTIAO,DAILY,JT_1_03,Tiaodeng
JIANGTIAO,DAILY,JT_1_04,Tiaodeng
JIANGTIAO,DAILY,JT_1_05,Tiaodeng
JIANGTIAO,DAILY,JT_1_06,Tiaodeng
JIANGTIAO,DAILY,JT_1_07,Tiaodeng
JIANGTIAO,DAILY,JT_1_08,Tiaodeng
JIANGTIAO,DAILY,JT_1_09,Tiaodeng
JIANGTIAO,DAILY,JT_1_10,Tiaodeng
JIANGTIAO,DAILY,JT_1_11,Tiaodeng
JIANGTIAO,DAILY,JT_1_12,Tiaodeng
JIANGTIAO,DAILY,JT_1_13,Tiaodeng
JIANGTIAO,DAILY,JT_1_14,Tiaodeng
JIANGTIAO,DAILY,JT_1_15,Tiaodeng
JIANGTIAO,DAILY,JT_1_16,Tiaodeng
JIANGTIAO,DAILY,JT_1_17,Tiaodeng
JIANGTIAO,DAILY,JT_1_18,Tiaodeng
JIANGTIAO,DAILY,JT_1_19,Tiaodeng
JIANGTIAO,DAILY,JT_1_20,Tiaodeng
JIANGTIAO,DAILY,JT_1_21,Tiaodeng
JIANGTIAO,DAILY,JT_1_22,Tiaodeng
JIANGTIAO,DAILY,JT_1_23,Tiaodeng
JIANGTIAO,DAILY,JT_1_24,Tiaodeng
JIANGTIAO,DAILY,JT_1_25,Tiaodeng
JIANGTIAO,DAILY,JT_1_26,Tiaodeng
JIANGTIAO,DAILY,JT_1_27,Tiaodeng
JIANGTIAO,DAILY,JT_1_28,Tiaodeng
JIANGTIAO,DAILY,JT_1_29,Tiaodeng
JIANGTIAO,DAILY,JT_1_30,Tiaodeng
JIANGTIAO,DAILY,JT_1_31,Tiaodeng
JIANGTIAO,DAILY,JT_1_32,Tiaodeng
JIANGTIAO,DAILY,JT_1_33,Tiaodeng
JIANGTIAO,DAILY,JT_1_34,Tiaodeng
JIANGTIAO,DAILY,JT_1_35,Tiaodeng
JIANGTIAO,DAILY,JT_1_36,Tiaodeng
JIANGTIAO,DAILY,JT_1_37,Tiaodeng
JIANGTIAO,DAILY,JT_1_38,Tiaodeng
JIANGTIAO,DAILY,JT_1_39,Tiaodeng
JIANGTIAO,DAILY,JT_1_40,Tiaodeng
JIANGTIAO,DAILY,JT_1_41,Tiaodeng
JIANGTIAO,DAILY,JT_1_42,Tiaodeng
JIANGTIAO,DAILY,JT_1_43,Tiaodeng
