trip_id,arrival_time,departure_time,stop_id,stop_sequence
GZM_L1_D0_T1,06:00:00,06:00:00,L1_01,1
GZM_L1_D0_T1,06:02:00,06:02:00,L1_02,2
GZM_L1_D0_T1,06:04:00,06:04:00,L1_03,3
GZM_L1_D0_T1,06:06:00,06:06:00,L1_04,4
GZM_L1_D0_T1,06:08:00,06:08:00,L1_05,5
GZM_L1_D0_T1,06:10:00,06:10:00,L1_06,6
GZM_L1_D0_T1,06:12:00,06:12:00,L1_07,7
GZM_L1_D0_T1,06:14:00,06:14:00,L1_08,8
GZM_L1_D0_T1,06:16:00,06:16:00,L1_09,9
GZM_L1_D0_T1,06:18:00,06:18:00,L1_10,10
GZM_L1_D0_T1,06:20:00,06:20:00,L1_11,11
GZM_L1_D0_T1,06:22:00,06:22:00,L1_12,12
GZM_L1_D0_T1,06:24:00,06:24:00,L1_13,13
GZM_L1_D0_T1,06:26:00,06:26:00,L1_14,14
GZM_L1_D0_T1,06:28:00,06:28:00,L1_15,15
GZM_L1_D0_T1,06:30:00,06:30:00,L1_16,16
GZM_L1_D1_T1,06:00:00,06:00:00,L1_16,1
GZM_L1_D1_T1,06:02:00,06:02:00,L1_15,2
GZM_L1_D1_T1,06:04:00,06:04:00,L1_14,3
GZM_L1_D1_T1,06:06:00,06:06:00,L1_13,4
GZM_L1_D1_T1,06:08:00,06:08:00,L1_12,5
GZM_L1_D1_T1,06:10:00,06:10:00,L1_11,6
GZM_L1_D1_T1,06:12:00,06:12:00,L1_10,7
GZM_L1_D1_T1,06:14:00,06:14:00,L1_09,8
GZM_L1_D1_T1,06:16:00,06:16:00,L1_08,9
GZM_L1_D1_T1,06:18:00,06:18:00,L1_07,10
GZM_L1_D1_T1,06:20:00,06:20:00,L1_06,11
GZM_L1_D1_T1,06:22:00,06:22:00,L1_05,12
GZM_L1_D1_T1,06:24:00,06:24:00,L1_04,13
GZM_L1_D1_T1,06:26:00,06:26:00,L1_03,14
GZM_L1_D1_T1,06:28:00,06:28:00,L1_02,15
GZM_L1_D1_T1,06:30:00,06:30:00,L1_01,16
GZM_L2_D0_T1,06:00:00,06:00:00,L2_01,1
GZM_L2_D0_T1,06:02:00,06:02:00,L2_02,2
GZM_L2_D0_T1,06:04:00,06:04:00,L2_03,3
GZM_L2_D0_T1,06:06:00,06:06:00,L2_04,4
GZM_L2_D0_T1,06:08:00,06:08:00,L2_05,5
GZM_L2_D0_T1,06:10:00,06:10:00,L2_06,6
GZM_L2_D0_T1,06:12:00,06:12:00,L2_07,7
GZM_L2_D0_T1,06:14:00,06:14:00,L2_08,8
GZM_L2_D0_T1,06:16:00,06:16:00,L2_09,9
GZM_L2_D0_T1,06:18:00,06:18:00,L2_10,10
GZM_L2_D0_T1,06:20:00,06:20:00,L2_11,11
GZM_L2_D0_T1,06:22:00,06:22:00,L2_12,12
GZM_L2_D0_T1,06:24:00,06:24:00,L1_09,13
GZM_L2_D0_T1,06:26:00,06:26:00,L2_14,14
GZM_L2_D0_T1,06:28:00,06:28:00,L2_15,15
GZM_L2_D0_T1,06:30:00,06:30:00,L2_16,16
GZM_L2_D0_T1,06:32:00,06:32:00,L2_17,17
GZM_L2_D0_T1,06:34:00,06:34:00,L2_18,18
GZM_L2_D0_T1,06:36:00,06:36:00,L2_19,19
GZM_L2_D0_T1,06:38:00,06:38:00,L2_20,20
GZM_L2_D0_T1,06:40:00,06:40:00,L2_21,21
GZM_L2_D0_T1,06:42:00,06:42:00,L2_22,22
GZM_L2_D0_T1,06:44:00,06:44:00,L2_23,23
GZM_L2_D0_T1,06:46:00,06:46:00,L2_24,24
GZM_L2_D1_T1,06:00:00,06:00:00,L2_24,1
GZM_L2_D1_T1,06:02:00,06:02:00,L2_23,2
GZM_L2_D1_T1,06:04:00,06:04:00,L2_22,3
GZM_L2_D1_T1,06:06:00,06:06:00,L2_21,4
GZM_L2_D1_T1,06:08:00,06:08:00,L2_20,5
GZM_L2_D1_T1,06:10:00,06:10:00,L2_19,6
GZM_L2_D1_T1,06:12:00,06:12:00,L2_18,7
GZM_L2_D1_T1,06:14:00,06:14:00,L2_17,8
GZM_L2_D1_T1,06:16:00,06:16:00,L2_16,9
GZM_L2_D1_T1,06:18:00,06:18:00,L2_15,10
GZM_L2_D1_T1,06:20:00,06:20:00,L2_14,11
GZM_L2_D1_T1,06:22:00,06:22:00,L1_09,12
GZM_L2_D1_T1,06:24:00,06:24:00,L2_12,13
GZM_L2_D1_T1,06:26:00,06:26:00,L2_11,14
GZM_L2_D1_T1,06:28:00,06:28:00,L2_10,15
GZM_L2_D1_T1,06:30:00,06:30:00,L2_09,16
GZM_L2_D1_T1,06:32:00,06:32:00,L2_08,17
GZM_L2_D1_T1,06:34:00,06:34:00,L2_07,18
GZM_L2_D1_T1,06:36:00,06:36:00,L2_06,19
GZM_L2_D1_T1,06:38:00,06:38:00,L2_05,20
GZM_L2_D1_T1,06:40:00,06:40:00,L2_04,21
GZM_L2_D1_T1,06:42:00,06:42:00,L2_03,22
GZM_L2_D1_T1,06:44:00,06:44:00,L2_02,23
GZM_L2_D1_T1,06:46:00,06:46:00,L2_01,24
GZM_L3_D0_T1,06:00:00,06:00:00,L3_01,1
GZM_L3_D0_T1,06:02:00,06:02:00,L3_02,2
GZM_L3_D0_T1,06:04:00,06:04:00,L3_03,3
GZM_L3_D0_T1,06:06:00,06:06:00,L3_04,4
GZM_L3_D0_T1,06:08:00,06:08:00,L3_05,5
GZM_L3_D0_T1,06:10:00,06:10:00,L3_06,6
GZM_L3_D0_T1,06:12:00,06:12:00,L3_07,7
GZM_L3_D0_T1,06:14:00,06:14:00,L3_08,8
GZM_L3_D0_T1,06:16:00,06:16:00,L3_09,9
GZM_L3_D0_T1,06:18:00,06:18:00,L3_10,10
GZM_L3_D0_T1,06:20:00,06:20:00,L1_14,11
GZM_L3_D0_T1,06:22:00,06:22:00,L3_12,12
GZM_L3_D0_T1,06:24:00,06:24:00,L1_16,13
GZM_L3_D0_T1,06:26:00,06:26:00,L3_14,14
GZM_L3_D0_T1,06:28:00,06:28:00,L3_15,15
GZM_L3_D0_T1,06:30:00,06:30:00,L3_16,16
GZM_L3_D0_T1,06:32:00,06:32:00,L3_17,17
GZM_L3_D0_T1,06:34:00,06:34:00,L3_18,18
GZM_L3_D0_T1,06:36:00,06:36:00,L3_19,19
GZM_L3_D0_T1,06:38:00,06:38:00,L2_24,20
GZM_L3_D0_T1,06:40:00,06:40:00,L3_21,21
GZM_L3_D0_T1,06:42:00,06:42:00,L3_22,22
GZM_L3_D0_T1,06:44:00,06:44:00,L3_23,23
GZM_L3_D0_T1,06:46:00,06:46:00,L3_24,24
GZM_L3_D0_T1,06:48:00,06:48:00,L3_25,25
GZM_L3_D1_T1,06:00:00,06:00:00,L3_25,1
GZM_L3_D1_T1,06:02:00,06:02:00,L3_24,2
GZM_L3_D1_T1,06:04:00,06:04:00,L3_23,3
GZM_L3_D1_T1,06:06:00,06:06:00,L3_22,4
GZM_L3_D1_T1,06:08:00,06:08:00,L3_21,5
GZM_L3_D1_T1,06:10:00,06:10:00,L2_24,6
GZM_L3_D1_T1,06:12:00,06:12:00,L3_19,7
GZM_L3_D1_T1,06:14:00,06:14:00,L3_18,8
GZM_L3_D1_T1,06:16:00,06:16:00,L3_17,9
GZM_L3_D1_T1,06:18:00,06:18:00,L3_16,10
GZM_L3_D1_T1,06:20:00,06:20:00,L3_15,11
