stop_id,stop_name,stop_lat,stop_lon
HZ001,Chaoyang,30.124562,120.263755
HZ002,Caojiaqiao,30.136708,120.263259
HZ003,Panshui,30.150953,120.263365
HZ004,Renmin Road,30.161395,120.263092
HZ005,Hangfachang,30.173041,120.262395
HZ006,People Square,30.183358,120.262614
HZ007,Jiansheyi Road,30.196503,120.262051
HZ008,Jianshesan Road,30.206912,120.263908
HZ009,Zhenning Road,30.221209,120.26459
HZ010,Feihong Road,30.233394,120.258891
HZ011,Yingfeng Road,30.239465,120.247907
HZ012,Qianjiang Century City,30.243378,120.239225
HZ013,Qianjiang Road,30.258098,120.208266
HZ014,Qingchun Square,30.260115,120.199954
HZ015,Qingling Road,30.260127,120.188435
HZ016,North Jianguo Road,30.266917,120.176901
HZ017,North Zhonghe Road,30.267024,120.167741
HZ018,Fengqi Road,30.266187,120.157936
HZ019,Wulinmen,30.272122,120.150699
HZ020,Shentangqiao,30.283873,120.144662
HZ021,Xianing Bridge,30.285621,120.13483
HZ022,Xueyuan Road,30.285122,120.124646
HZ023,Gucui Road,30.284535,120.11292
HZ024,Fengtan Road,30.284305,120.104609
HZ025,Wenxin,30.291428,120.093463
HZ026,Sanba,30.301683,120.093243
HZ027,Xialongwei,30.311754,120.091604
HZ028,Sandun,30.322512,120.088268
HZ029,Dunxiang Street,30.33404,120.082895
HZ030,Jinjiadu,30.341462,120.0792
HZ031,Baiyang,30.353693,120.067955
HZ032,Dufucun,30.361326,120.051625
HZ033,Liangzhu,30.361355,120.037389
HZ034,Xingqiao,30.391423,120.257781
HZ035,Huangheshan,30.383442,120.241891
HZ036,Huahejie,30.373167,120.233484
HZ037,Dingqiao,30.358111,120.229599
HZ038,Taohua Lake Park,30.353929,120.216753
HZ039,Tongxie Road,30.34683,120.207219
HZ040,Huafeng Road,30.342475,120.198036
HZ041,Qilun Square,30.337237,120.183613
HZ042,Xintiandi Street,30.323646,120.175069
HZ043,Shanxian,30.319402,120.155454
HZ044,Daguan,30.310398,120.144507
HZ045,Xiangjisi,30.302431,120.143911
HZ046,Chaowang Road,30.291726,120.15432
HZ047,West Lake Cultural Square,30.281967,120.160797
HZ048,Wulin Square,30.274973,120.159653
HZ049,Huanglongdong,30.26786,120.135883
HZ050,Huanglong Sports Center,30.270509,120.125135
HZ051,Gudang,30.273259,120.117461
HZ052,Gudangxincun,30.272873,120.10791
HZ053,Gudun Road,30.267593,120.097029
HZ054,Dongyue,30.264526,120.085208
HZ055,Huawu,30.263154,120.072013
HZ056,South Xixi Wetland,30.256026,120.056512
HZ057,Liuxia,30.243435,120.047173
HZ058,Pingfeng,30.22548,120.03266
HZ059,Xiaoheshan,30.214325,120.016274
HZ060,Shima,30.209235,120.006143
HZ061,Puyan,30.161158,120.149107
HZ062,Yangjiadun,30.170176,120.14421
HZ063,Zhejiang Chinese Medical University,30.17812,120.141832
HZ064,Lianzhuang,30.188554,120.147323
HZ065,Shuicheng Bridge,30.206268,120.147476
HZ066,Fuxing Road,30.212724,120.159245
HZ067,Nanxingqiao,30.219939,120.173416
HZ068,Yongjiang Road,30.226542,120.186139
HZ069,Jinjiang,30.233083,120.193357
HZ070,Chengxing Road,30.24183,120.202245
HZ071,Citizen Center,30.246647,120.206522
HZ072,Jiangjin Road,30.252109,120.211033
HZ073,Jingfang,30.268673,120.203215
HZ074,Xintang,30.278553,120.202643
HZ075,Xinfeng,30.289513,120.203317
HZ076,East Railway Station,30.293553,120.208146
HZ077,Pengbu,30.296452,120.219113
HZ078,Mingshi Road,30.306092,120.222808
HZ079,Liming,30.317748,120.219129
