trip_id,arrival_time,departure_time,stop_id,stop_sequence
HZM_L1_D0_t1,06:00:00,06:00:00,hz_1_01,1
HZM_L1_D0_t1,06:02:00,06:02:00,hz_1_02,2
HZM_L1_D0_t1,06:05:00,06:05:00,hz_1_03,3
HZM_L1_D0_t1,06:08:00,06:08:00,hz_1_04,4
HZM_L1_D0_t1,06:10:00,06:10:00,hz_1_05,5
HZM_L1_D0_t1,06:12:00,06:12:00,hz_1_06,6
HZM_L1_D0_t1,06:15:00,06:15:00,hz_1_07,7
HZM_L1_D0_t1,06:18:00,06:18:00,hz_1_08,8
HZM_L1_D0_t1,06:20:00,06:20:00,hz_1_09,9
HZM_L1_D0_t1,06:22:00,06:22:00,hz_1_10,10
HZM_L1_D0_t1,06:25:00,06:25:00,hz_1_11,11
HZM_L1_D0_t1,06:28:00,06:28:00,hz_1_12,12
HZM_L1_D0_t1,06:30:00,06:30:00,hz_1_13,13
HZM_L1_D0_t1,06:32:00,06:32:00,hz_1_14,14
HZM_L1_D0_t1,06:35:00,06:35:00,hz_1_15,15
HZM_L1_D0_t1,06:38:00,06:38:00,hz_1_16,16
HZM_L1_D0_t1,06:40:00,06:40:00,hz_1_17,17
HZM_L1_D0_t1,06:42:00,06:42:00,hz_1_18,18
HZM_L1_D0_t1,06:45:00,06:45:00,hz_1_19,19
HZM_L1_D0_t1,06:48:00,06:48:00,hz_1_20,20
HZM_L1_D0_t1,06:50:00,06:50:00,hz_1_21,21
HZM_L1_D0_t1,06:52:00,06:52:00,hz_1_22,22
HZM_L1_D0_t1,06:55:00,06:55:00,hz_1_23,23
HZM_L1_D0_t1,06:58:00,06:58:00,hz_1_24,24
HZM_L1_D0_t1,07:00:00,07:00:00,hz_1_25,25
HZM_L1_D0_t1,07:02:00,07:02:00,hz_1_26,26
HZM_L1_D0_t1,07:05:00,07:05:00,hz_1_27,27
HZM_L1_D0_t1,07:08:00,07:08:00,hz_1_28,28
HZM_L1_D0_t1,07:10:00,07:10:00,hz_1_29,29
HZM_L1_D0_t1,07:12:00,07:12:00,hz_1_30,30
HZM_L1_D0_t1,07:15:00,07:15:00,hz_1_31,31
HZM_L1_D0_t1,07:18:00,07:18:00,hz_1_32,32
HZM_L1_D0_t1,07:20:00,07:20:00,hz_1_33,33
HZM_L1_D0_t2,08:00:00,08:00:00,hz_1_01,1
HZM_L1_D0_t2,08:02:00,08:02:00,hz_1_02,2
HZM_L1_D0_t2,08:05:00,08:05:00,hz_1_03,3
HZM_L1_D0_t2,08:08:00,08:08:00,hz_1_04,4
HZM_L1_D0_t2,08:10:00,08:10:00,hz_1_05,5
HZM_L1_D0_t2,08:12:00,08:12:00,hz_1_06,6
HZM_L1_D0_t2,08:15:00,08:15:00,hz_1_07,7
HZM_L1_D0_t2,08:18:00,08:18:00,hz_1_08,8
HZM_L1_D0_t2,08:20:00,08:20:00,hz_1_09,9
HZM_L1_D0_t2,08:22:00,08:22:00,hz_1_10,10
HZM_L1_D0_t2,08:25:00,08:25:00,hz_1_11,11
HZM_L1_D0_t2,08:28:00,08:28:00,hz_1_12,12
HZM_L1_D0_t2,08:30:00,08:30:00,hz_1_13,13
HZM_L1_D0_t2,08:32:00,08:32:00,hz_1_14,14
HZM_L1_D0_t2,08:35:00,08:35:00,hz_1_15,15
HZM_L1_D0_t2,08:38:00,08:38:00,hz_1_16,16
HZM_L1_D0_t2,08:40:00,08:40:00,hz_1_17,17
