stop_id,stop_name,stop_lat,stop_lon
S000,Xianghu (湘湖),30.17018,120.230047
S001,Binkang Road (滨康路),30.186194,120.226689
S002,Xixing (西兴),30.189808,120.216181
S003,Binhe Road (滨和路),30.201925,120.213171
S004,Jiangling Road (江陵路),30.211593,120.212128
S005,Jinjiang (近江),30.233148,120.1933
S006,Wujiang Road (婺江路),30.239435,120.186259
S007,Chengzhan (城站),30.247031,120.176209
S008,Ding'an Road (定安路),30.248281,120.163312
S009,Longxiangqiao (龙翔桥),30.257114,120.159392
S010,Fengqi Road (凤起路),30.265469,120.159008
S011,Wulin Square,30.274809,120.159712
S012,West Lake Cultural Square (西湖文化广场),30.281955,120.160928
S013,Datieguan (打铁关),30.288541,120.172257
S014,Zhalongkou (闸弄口),30.286871,120.187816
S015,East Railway Station (火车东站),30.296175,120.211765
S016,Pengbu (彭埠),30.296473,120.219105
S017,Qibao (七堡),30.302313,120.236089
S018,Jiuhe Road (九和路),30.308364,120.248718
S019,Jiubao (九堡),30.310244,120.261797
S020,Coach Center (客运中心),30.313434,120.274069
S021,West Xiasha (下沙西),30.312248,120.30789
S022,Jinshahu (金沙湖),30.311626,120.321078
S023,Gaosha Road (高沙路),30.311761,120.330832
S024,Wenze Road (文泽路),30.312344,120.343772
S025,South Wenhai Road (文海南路),30.313263,120.371838
S026,Yunshui (云水),30.30507,120.37719
S027,Xiashajiangbin (下沙江滨),30.289993,120.377162
S028,Hangzhou Grand Convention and Exhibition Center (杭州大会展中心),30.273402,120.407429
S029,Gangcheng Avenue (港城大道),30.272966,120.420773
S030,Nanyang (南阳),30.27239,120.431115
S031,Xiangyang Road (向阳路),30.262637,120.438014
S032,Xiaoshan International Airport (萧山国际机场),30.23866,120.430178
S033,Chaoyang (朝阳),30.12456,120.263649
S034,Caojiaqiao (曹家桥),30.136708,120.26316
S035,Panshui (潘水),30.150943,120.263294
S036,Renmin Road (人民路),30.161368,120.263033
S037,Hangfachang (杭发厂),30.173044,120.26233
S038,People's Square (人民广场),30.18365,120.262534
S039,Jiansheyi Road (建设一路),30.19651,120.261983
S040,Jianshesan Road (建设三路),30.20691,120.26383
S041,Zhenning Road (振宁路),30.221199,120.26452
S042,Feihong Road (飞虹路),30.233316,120.258845
S043,Yingfeng Road (盈丰路),30.239387,120.247867
S044,Qianjiang Century City (钱江世纪城),30.242762,120.238773
S045,Qianjiang Road (钱江路),30.258053,120.20824
S046,Qingchun Square (庆春广场),30.260034,120.199952
S047,Qingling Road (庆菱路),30.260054,120.188435
S048,North Jianguo Road (建国北路),30.266831,120.176894
S049,North Zhonghe Road (中河北路),30.266959,120.167735
S050,Wulinmen (武林门),30.272109,120.150604
S051,Shentangqiao,30.280759,120.145188
S052,Xianing Bridge (下宁桥),30.285568,120.134838
S053,Xueyuan Road (学院路),30.285055,120.124662
S054,Gucui Road (古翠路),30.284451,120.11292
S055,Fengtan Road (丰潭路),30.284233,120.104605
S056,Wenxin (文新),30.291517,120.09336
S057,Sanba (三坝),30.301685,120.093163
S058,Xialongwei (虾龙圩),30.311746,120.091526
S059,Sandun (三墩),30.322487,120.088204
S060,Dunxiang Street (墩祥街),30.333999,120.082801
S061,Jinjiadu (金家渡),30.341162,120.078432
S062,Baiyang (白洋),30.353651,120.067903
S063,Dufucun (杜甫村),30.361259,120.051622
S064,Liangzhu (良渚),30.361296,120.037407
S065,Wushanqiancun (吴山前村),30.313037,119.975776
S066,West Railway Station (火车西站),30.300503,119.981894
S067,North Longzhou Road (龙舟北路),30.290459,119.978193
