route_id,route_short_name,route_long_name,route_type
R_1,1,Line 1: Fujin Road – Xinzhuang,1
R_2,2,Line 2: East Xujing – Pudong Airport Terminal 1&2,1
R_3,3,Line 3: Shanghai South Railway Station metro – North Jiangyang Road,1
R_4,4,Line 4: Baoshan Road – Shanghai Railway Station,1
R_5,5,Line 5: Minhang Development Zone – Pingzhuang Highway,1
R_6,6,Line 6: Gangcheng Road – Oriental Sports Center,1
R_7,7,Line 7: Meilan Lake – Huamu Road,1
R_8,8,Line 8: Shiguang Road – Shendu Highway,1
R_9,9,Line 9: Caolu – Shanghai Songjiang Railway Station metro,1
R_10,10,Line 10: Hangzhong Road – Jilong Road,1
R_11,11,Line 11: Disney Resort – Huaqiao,1
R_12,12,Line 12: Qixin Road – Jinhai Road,1
R_13,13,Line 13: Zhangjiang Road – Jinyun Road,1
R_14,14,Line 14: Fengbang – Guiqiao Road,1
R_15,15,Line 15: Gucun Park – Zizhu Hi-tech Park,1
R_16,16,Line 16: Longyang Road – Dishui Lake,1
R_17,17,Line 17: Hongqiao Railway Station – Xicen,1
R_18,18,Line 18: Kangwen Road – Hangtou,1
R_PJL,PJL,Pujiang line: Shendu Highway – Huizhen Road,1
