trip_id,arrival_time,departure_time,stop_id,stop_sequence
T1_d0_t1,06:10:00,06:10:00,shizishan,1
T1_d0_t1,06:13:00,06:13:00,xinqu_park,2
T1_d0_t1,06:16:00,06:16:00,heshan_lu,3
T1_d0_t1,06:19:00,06:19:00,baimajian,4
T1_d0_t1,06:22:00,06:22:00,majian_lu,5
T1_d0_t1,06:25:00,06:25:00,suzhou_ley,6
T1_d0_t1,06:28:00,06:28:00,snd_admin,7
T1_d0_t1,06:31:00,06:31:00,jiaxian_lu,8
T1_d0_t1,06:34:00,06:34:00,longshan_lu,9
T1_d0_t1,06:37:00,06:37:00,jialingjiang,10
T1_d0_t1,06:40:00,06:40:00,longkang_lu,11
T1_d0_t1,06:43:00,06:43:00,nju_south,12
T1_d0_t1,06:46:00,06:46:00,xiuan,13
T1_d0_t1,06:49:00,06:49:00,xiupinjie_n,14
T1_d0_t1,06:52:00,06:52:00,shifan,15
T1_d0_t1,06:55:00,06:55:00,xiyangshan,16
T1_d1_t1,06:10:00,06:10:00,xiyangshan,1
T1_d1_t1,06:13:00,06:13:00,shifan,2
T1_d1_t1,06:16:00,06:16:00,xiupinjie_n,3
T1_d1_t1,06:19:00,06:19:00,xiuan,4
T1_d1_t1,06:22:00,06:22:00,nju_south,5
T1_d1_t1,06:25:00,06:25:00,longkang_lu,6
T1_d1_t1,06:28:00,06:28:00,jialingjiang,7
T1_d1_t1,06:31:00,06:31:00,longshan_lu,8
T1_d1_t1,06:34:00,06:34:00,jiaxian_lu,9
T1_d1_t1,06:37:00,06:37:00,snd_admin,10
T1_d1_t1,06:40:00,06:40:00,suzhou_ley,11
T1_d1_t1,06:43:00,06:43:00,majian_lu,12
T1_d1_t1,06:46:00,06:46:00,baimajian,13
T1_d1_t1,06:49:00,06:49:00,heshan_lu,14
T1_d1_t1,06:52:00,06:52:00,xinqu_park,15
T1_d1_t1,06:55:00,06:55:00,shizishan,16
T2_d0_t1,06:15:00,06:15:00,nju_east,1
T2_d0_t1,06:18:00,06:18:00,longtanggang,2
T2_d0_t1,06:21:00,06:21:00,longkang_lu,3
T2_d0_t1,06:24:00,06:24:00,hangchuanbang,4
T2_d0_t1,06:27:00,06:27:00,lijiang_lu,5
T2_d0_t1,06:30:00,06:30:00,engushan,6
T2_d0_t1,06:33:00,06:33:00,bailongqiao,7
T2_d0_t1,06:36:00,06:36:00,shushan,8
T2_d0_t1,06:39:00,06:39:00,tongan,9
T2_d0_t1,06:42:00,06:42:00,huatong_s,10
T2_d0_t1,06:45:00,06:45:00,jiantongqiao,11
T2_d0_t1,06:48:00,06:48:00,huliu,12
T2_d0_t1,06:51:00,06:51:00,xingxianqiao_n,13
T2_d0_t1,06:54:00,06:54:00,hongfu_lu,14
T2_d0_t1,06:57:00,06:57:00,snd_station,15
T2_d0_t1,07:00:00,07:00:00,wenchang_lu,16
T2_d1_t1,06:15:00,06:15:00,wenchang_lu,1
T2_d1_t1,06:18:00,06:18:00,snd_station,2
T2_d1_t1,06:21:00,06:21:00,hongfu_lu,3
T2_d1_t1,06:24:00,06:24:00,xingxianqiao_n,4
T2_d1_t1,06:27:00,06:27:00,huliu,5
T2_d1_t1,06:30:00,06:30:00,jiantongqiao,6
T2_d1_t1,06:33:00,06:33:00,huatong_s,7
T2_d1_t1,06:36:00,06:36:00,tongan,8
T2_d1_t1,06:39:00,06:39:00,shushan,9
T2_d1_t1,06:42:00,06:42:00,bailongqiao,10
T2_d1_t1,06:45:00,06:45:00,engushan,11
T2_d1_t1,06:48:00,06:48:00,lijiang_lu,12
T2_d1_t1,06:51:00,06:51:00,hangchuanbang,13
T2_d1_t1,06:54:00,06:54:00,longkang_lu,14
T2_d1_t1,06:57:00,06:57:00,longtanggang,15
T2_d1_t1,07:00:00,07:00:00,nju_east,16
