stop_id,stop_name,stop_lat,stop_lon
l1_01,Henan University of Technology,34.828,113.536
l1_02,Zhengzhou University Sci-Tech Park,34.818,113.5356
l1_03,Zhengzhou University,34.808611,113.535278
l1_04,Wutongjie,34.795,113.534722
l1_05,Lanzhai,34.784444,113.534722
l1_06,Tielu,34.769167,113.534722
l1_07,Civic Center,34.763611,113.548333
l1_08,Xiliuhu,34.762222,113.563889
l1_09,Xisanhuan,34.761389,113.5825
l1_10,Qinlinglu,34.7578,113.5974
l1_11,Wuyigongyuan,34.756944,113.6075
l1_12,Bishagang,34.7562,113.6185
l1_13,Lvchengguangchang,34.748056,113.624167
l1_14,Yixueyuan,34.7475,113.638056
l1_15,Zhengzhou Railway Station,34.7475,113.65
l1_16,Erqi Square,34.7536,113.6597
l1_17,Renminlu,34.758611,113.667778
l1_18,Zijingshan,34.7632,113.676
l1_19,Yanzhuang,34.764639,113.697694
l1_20,Minhanglu,34.7643,113.7082
l1_21,Convention & Exhibition Center,34.7677,113.7193
l1_22,Huanghenanlu,34.7638,113.7382
l1_23,Nongyenanlu,34.7664,113.7489
l1_24,Dongfengnanlu,34.7653,113.7605
l1_25,Zhengzhou East Railway Station,34.7602,113.7698
l1_26,Boxuelu,34.7607,113.7866
l1_27,Zhengzhou Sports Center,34.7743,113.8042
l1_28,Longzihu,34.7937,113.8044
l1_29,Wenyuanbeilu,34.8099,113.8061
l1_30,New Campus of Henan University,34.81993,113.80661
l2_01,Jiahe,34.86848,113.5871
l2_02,Huijiquzhengfu,34.86719,113.6067
l2_03,Maozhuang,34.86762,113.6202
l2_04,Huanghe Yingbinguan,34.86834,113.63852
l2_05,Jinwa,34.86796,113.65664
l2_06,Jindalu,34.86303,113.67306
l2_07,Liuzhuang,34.8445,113.6727
l2_08,Liulin,34.8295,113.6751
l2_09,Shamen,34.8206,113.6755
l2_10,Beisanhuan,34.806,113.6754
l2_11,Dongfenglu,34.7978,113.6755
l2_12,Guanhutun,34.7902,113.6756
l2_13,Huanghelu,34.7756,113.676
l2_14,Zijingshan,34.7632,113.676
l2_15,Dongdajie,34.7497,113.6759
l2_16,Longhaidonglu,34.7394,113.676
l2_17,Erligang,34.7301,113.6759
l2_18,Nanwulibao,34.7216,113.6751
l2_19,Huazhai,34.7064,113.6761
l2_20,Nansanhuan,34.7002,113.6762
l2_21,Zhanmatun,34.68581,113.6764
l2_22,Nansihuan,34.6637,113.6757
l5_01,Yueji Gongyuan,34.7668,113.6167
l5_02,Shakou Lu,34.7716,113.6342
l5_03,Haitansi,34.7752,113.6438
l5_04,Zhengzhou People's Hospital,34.7757,113.6609
l5_05,Huanghelu,34.7756,113.676
l5_06,Henan People's Hospital,34.7746,113.6932
l5_07,Yaozhai,34.7758,113.7022
l5_08,Zhongyixilu,34.7773,113.7127
l5_09,Central Business District,34.779,113.7258
l5_10,Children's Hospital,34.7769,113.7452
l5_11,Zhacheng,34.7776,113.7609
l5_12,Jinshuidonglu,34.7704,113.7647
l5_13,Zhengzhou East Railway Station,34.7602,113.7698
l5_14,Kangning Jie,34.7516,113.7677
l5_15,Henan Orthopaedics Hospital,34.7454,113.7677
l5_16,Jingbei Erlu,34.728067,113.767394
l5_17,Jingkai Zhongxin Guangchang,34.722,113.7583
l5_18,Futa Dong,34.722,113.7408
l5_19,Zhongyuan Tower,34.722,113.726
l5_20,Qilihe,34.722,113.7162
l5_21,Hanghai Guangchang,34.722,113.7001
l5_22,Chengdongnanlu,34.7219,113.6842
l5_23,Nanwulibao,34.7216,113.6751
l5_24,Fengzhuang,34.7215,113.6618
l5_25,Jingguang Nanlu,34.7214,113.6509
l5_26,Zhengzhou No.2 People's Hospital,34.7216,113.6381
l5_27,Qiliyan,34.7215,113.6223
l5_28,Houhelu,34.7217,113.614
l5_29,Tonghuai,34.7301,113.6075
l5_30,Longhai Xilu,34.7375,113.6075
l5_31,Zhengzhou Central Hospital,34.7486,113.6075
l5_32,Wuyigongyuan,34.756944,113.6075
