route_id,service_id,trip_id,trip_headsign
C4C5,DAILY,C4C5_0_DAILY,Carretera Mella / La Pista
C4C5,DAILY,C4C5_1_DAILY,Km 9 1/2 Autopista Duarte
C1C2,DAILY,C1C2_0_DAILY,Las Americas / Hipodromo
C1C2,DAILY,C1C2_1_DAILY,Las Caobas
C10C11,DAILY,C10C11_0_DAILY,Mirador Del Este
C19,DAILY,C19_0_DAILY,Terminal OMSA (circular)
C6C7,DAILY,C6C7_0_DAILY,Av. Independencia
C6C7,DAILY,C6C7_1_DAILY,Los Alcarrizos
C8,DAILY,C8_0_DAILY,Zona Colonial / Independencia (circular)
C9,DAILY,C9_0_DAILY,Naco (circular)
C13,DAILY,C13_0_DAILY,Simon Bolivar (circular)
C17,DAILY,C17_0_DAILY,La Barquita (circular)
C18,DAILY,C18_0_DAILY,Ciudad Juan Bosch (circular)
C12,DAILY,C12_0_DAILY,Los Rios (circular)
C15C16,DAILY,C15C16_0_DAILY,Av. Jacobo Majluta
C15C16,DAILY,C15C16_1_DAILY,Av. Hipica / Las Americas
