stop_id,stop_name,stop_lat,stop_lon
lab,El Labrador,-0.153611,-78.486222
est,Estadio,-0.1665,-78.4878
ly,La Y,-0.1725,-78.4883
car,La Carolina,-0.1805,-78.4875
flo,Florón,-0.1865,-78.489
mdj,Mariana de Jesús,-0.1915,-78.49
cyc,Cuero y Caicedo,-0.1965,-78.491
col,La Colón,-0.201,-78.492
scl,Santa Clara,-0.2045,-78.4928
mar,Mariscal,-0.208,-78.4935
eji,El Ejido,-0.2115,-78.4942
ala,La Alameda,-0.2145,-78.495
bce,Banco Central,-0.2175,-78.497
sbl,San Blas,-0.2195,-78.5005
pte,Plaza del Teatro,-0.2208,-78.512
pgr,Plaza Grande,-0.2201,-78.5132
sdo,Santo Domingo,-0.222,-78.5145
cum,Cumandá,-0.2245,-78.5155
rec,La Recoleta,-0.2295,-78.514
jpe,Jefferson Pérez,-0.234,-78.5155
cli,La Colina,-0.2385,-78.5165
chi,Chimbacalle,-0.243,-78.5175
vfl,Villa Flora,-0.2485,-78.5195
rcr,Estación Sur El Recreo,-0.254417,-78.522333
cal,El Calzado,-0.2585,-78.5255
esp,España,-0.262,-78.5285
qsu,Quito Sur,-0.2655,-78.5315
int,Internacional,-0.2685,-78.534
aja,Ajaví,-0.2715,-78.5365
sol,Solanda,-0.2745,-78.5395
mmy,Mercado Mayorista,-0.277,-78.5425
qmg,Quimiag,-0.2788,-78.5455
rgc,Registro Civil,-0.2798,-78.547
mvl,Estación Morán Valverde,-0.280917,-78.54875
amn,Amaru Ñan,-0.286,-78.551
cdn,Cóndor Ñan,-0.291,-78.553
qui,Terminal Quitumbe,-0.295472,-78.555056
