trip_id,arrival_time,departure_time,stop_id,stop_sequence
R14_TO_TERMINAL,04:35:00,04:35:00,S_R14_01,1
R14_TO_TERMINAL,04:38:00,04:38:00,S_R14_02,2
R14_TO_TERMINAL,04:41:00,04:41:00,S_R14_03,3
R14_TO_TERMINAL,04:44:00,04:44:00,S_R14_04,4
R14_TO_TERMINAL,04:47:00,04:47:00,S_R14_05,5
R14_TO_TERMINAL,04:52:00,04:52:00,S_R14_06,6
R14_TO_TERMINAL,04:55:00,04:55:00,S_R14_07,7
R14_TO_TERMINAL,04:58:00,04:58:00,S_R14_08,8
R14_TO_TERMINAL,05:01:00,05:01:00,S_R14_09,9
R14_TO_TERMINAL,05:04:00,05:04:00,S_R14_10,10
R14_TO_TERMINAL,05:07:00,05:07:00,S_R14_11,11
R14_TO_TERMINAL,05:10:00,05:10:00,S_R14_12,12
R14_TO_TERMINAL,05:13:00,05:13:00,S_R14_13,13
R14_TO_TERMINAL,05:15:00,05:15:00,S_R14_14,14
R14_TO_TERMINAL,05:17:00,05:17:00,S_R14_15,15
R14_TO_TERMINAL,05:15:00,05:15:00,S_R14_16,16
R14_TO_TERMINAL,05:17:00,05:17:00,S_R14_17,17
R14_TO_COMUNIDAD,04:33:00,04:33:00,S_R14_17,1
R14_TO_COMUNIDAD,04:36:00,04:36:00,S_R14_16,2
R14_TO_COMUNIDAD,04:39:00,04:39:00,S_R14_15,3
R14_TO_COMUNIDAD,04:42:00,04:42:00,S_R14_14,4
R14_TO_COMUNIDAD,04:45:00,04:45:00,S_R14_13,5
R14_TO_COMUNIDAD,04:48:00,04:48:00,S_R14_12,6
R14_TO_COMUNIDAD,04:51:00,04:51:00,S_R14_11,7
R14_TO_COMUNIDAD,04:54:00,04:54:00,S_R14_10,8
R14_TO_COMUNIDAD,04:57:00,04:57:00,S_R14_09,9
R14_TO_COMUNIDAD,05:00:00,05:00:00,S_R14_08,10
R14_TO_COMUNIDAD,05:03:00,05:03:00,S_R14_07,11
R14_TO_COMUNIDAD,05:06:00,05:06:00,S_R14_06,12
R14_TO_COMUNIDAD,05:10:00,05:10:00,S_R14_05,13
R14_TO_COMUNIDAD,05:12:00,05:12:00,S_R14_04,14
R14_TO_COMUNIDAD,05:14:00,05:14:00,S_R14_03,15
R14_TO_COMUNIDAD,05:16:00,05:16:00,S_R14_02,16
R14_TO_COMUNIDAD,05:18:00,05:18:00,S_R14_01,17
R73_TO_CENTRO,05:30:00,05:30:00,S_R73_20,1
R73_TO_CENTRO,05:32:00,05:32:00,S_R73_19,2
R73_TO_CENTRO,05:34:00,05:34:00,S_R73_18,3
R73_TO_CENTRO,05:36:00,05:36:00,S_R73_17,4
R73_TO_CENTRO,05:38:00,05:38:00,S_R73_16,5
R73_TO_CENTRO,05:40:00,05:40:00,S_R73_15,6
R73_TO_CENTRO,05:42:00,05:42:00,S_R73_14,7
R73_TO_CENTRO,05:44:00,05:44:00,S_R73_13,8
R73_TO_CENTRO,05:46:00,05:46:00,S_R73_12,9
R73_TO_CENTRO,05:48:00,05:48:00,S_R73_11,10
R73_TO_CENTRO,05:50:00,05:50:00,S_R73_10,11
R73_TO_CENTRO,05:52:00,05:52:00,S_R73_09,12
R73_TO_CENTRO,05:54:00,05:54:00,S_R73_08,13
R73_TO_CENTRO,05:56:00,05:56:00,S_R73_07,14
R73_TO_CENTRO,05:58:00,05:58:00,S_R73_06,15
R73_TO_CENTRO,06:01:00,06:01:00,S_R73_05,16
R73_TO_CENTRO,06:04:00,06:04:00,S_R73_04,17
R73_TO_CENTRO,06:06:00,06:06:00,S_R73_03,18
R73_TO_CENTRO,06:08:00,06:08:00,S_R73_02,19
R73_TO_CENTRO,06:09:00,06:09:00,S_R73_01,20
R73_TO_MERCADO,05:33:00,05:33:00,S_R73_01,1
