trip_id,arrival_time,departure_time,stop_id,stop_sequence
MJT_K1_D0_1,04:40:00,04:40:00,S0001,1
MJT_K1_D0_1,04:42:00,04:42:00,S0002,2
MJT_K1_D0_1,04:44:00,04:44:00,S0003,3
MJT_K1_D0_1,04:46:00,04:46:00,S0004,4
MJT_K1_D0_1,04:48:00,04:48:00,S0005,5
MJT_K1_D0_1,04:50:00,04:50:00,S0006,6
MJT_K1_D0_1,04:52:00,04:52:00,S0007,7
MJT_K1_D0_1,04:54:00,04:54:00,S0008,8
MJT_K1_D0_1,04:56:00,04:56:00,S0009,9
MJT_K1_D0_1,04:58:00,04:58:00,S0010,10
MJT_K1_D1_1,04:40:00,04:40:00,S0010,1
MJT_K1_D1_1,04:42:00,04:42:00,S0009,2
MJT_K1_D1_1,04:44:00,04:44:00,S0008,3
MJT_K1_D1_1,04:46:00,04:46:00,S0007,4
MJT_K1_D1_1,04:48:00,04:48:00,S0006,5
MJT_K1_D1_1,04:50:00,04:50:00,S0005,6
MJT_K1_D1_1,04:52:00,04:52:00,S0004,7
MJT_K1_D1_1,04:54:00,04:54:00,S0003,8
MJT_K1_D1_1,04:56:00,04:56:00,S0002,9
MJT_K1_D1_1,04:58:00,04:58:00,S0001,10
MJT_K2_D0_1,04:30:00,04:30:00,S0011,1
MJT_K2_D0_1,04:32:00,04:32:00,S0012,2
MJT_K2_D0_1,04:34:00,04:34:00,S0013,3
MJT_K2_D0_1,04:36:00,04:36:00,S0014,4
MJT_K2_D0_1,04:38:00,04:38:00,S0015,5
MJT_K2_D0_1,04:40:00,04:40:00,S0016,6
MJT_K2_D0_1,04:42:00,04:42:00,S0017,7
MJT_K2_D0_1,04:44:00,04:44:00,S0018,8
MJT_K2_D0_1,04:46:00,04:46:00,S0019,9
MJT_K2_D0_1,04:48:00,04:48:00,S0020,10
MJT_K2_D0_1,04:50:00,04:50:00,S0021,11
MJT_K2_D0_1,04:52:00,04:52:00,S0022,12
MJT_K2_D0_1,04:54:00,04:54:00,S0023,13
MJT_K2_D0_1,04:56:00,04:56:00,S0024,14
MJT_K2_D0_1,04:58:00,04:58:00,S0025,15
MJT_K2_D0_1,05:00:00,05:00:00,S0026,16
MJT_K2_D0_1,05:02:00,05:02:00,S0027,17
MJT_K2_D0_1,05:04:00,05:04:00,S0028,18
MJT_K2_D0_1,05:06:00,05:06:00,S0029,19
MJT_K2_D0_1,05:08:00,05:08:00,S0030,20
MJT_K2_D0_1,05:10:00,05:10:00,S0031,21
