route_id,service_id,trip_id,trip_headsign
MJT_K1,DAILY,MJT_K1_D0_1,Leuwipanjang
MJT_K1,DAILY,MJT_K1_D1_1,Soreang
MJT_K2,DAILY,MJT_K2_D0_1,IKEA Kota Baru Parahyangan
MJT_K2,DAILY,MJT_K2_D1_1,Alun-alun Bandung
MJT_K3,DAILY,MJT_K3_D0_1,Baleendah
MJT_K3,DAILY,MJT_K3_D1_1,BEC
MJT_K4,DAILY,MJT_K4_D0_1,Leuwipanjang
MJT_K4,DAILY,MJT_K4_D1_1,Dago
MJT_K5,DAILY,MJT_K5_D0_1,UNPAD Dipatiukur
MJT_K5,DAILY,MJT_K5_D1_1,UNPAD Jatinangor
MJT_K6,DAILY,MJT_K6_D0_1,Majalaya
MJT_K6,DAILY,MJT_K6_D1_1,Leuwipanjang
MJT_FD1,DAILY,MJT_FD1_D0_1,Pasar Baru ABC
MJT_FD1,DAILY,MJT_FD1_D1_1,Simpang Soetta Kiaracondong
MJT_FD2,DAILY,MJT_FD2_D0_1,Elang (Plaza Telkom Rajawali)
MJT_FD2,DAILY,MJT_FD2_D1_1,Cicadas
