trip_id,arrival_time,departure_time,stop_id,stop_sequence
tmb_K1_d0,05:00:00,05:00:00,tmb_s001,1
tmb_K1_d0,05:03:00,05:03:00,tmb_s002,2
tmb_K1_d0,05:06:00,05:06:00,tmb_s003,3
tmb_K1_d0,05:09:00,05:09:00,tmb_s004,4
tmb_K1_d0,05:12:00,05:12:00,tmb_s005,5
tmb_K1_d0,05:15:00,05:15:00,tmb_s006,6
tmb_K1_d0,05:18:00,05:18:00,tmb_s007,7
tmb_K1_d0,05:21:00,05:21:00,tmb_s008,8
tmb_K1_d0,05:24:00,05:24:00,tmb_s009,9
tmb_K1_d0,05:27:00,05:27:00,tmb_s010,10
tmb_K1_d0,05:30:00,05:30:00,tmb_s011,11
tmb_K1_d0,05:33:00,05:33:00,tmb_s012,12
tmb_K1_d0,05:36:00,05:36:00,tmb_s013,13
tmb_K1_d0,05:39:00,05:39:00,tmb_s014,14
tmb_K1_d0,05:42:00,05:42:00,tmb_s015,15
tmb_K1_d0,05:45:00,05:45:00,tmb_s016,16
tmb_K1_d0,05:48:00,05:48:00,tmb_s017,17
tmb_K1_d0,05:51:00,05:51:00,tmb_s018,18
tmb_K1_d0,05:54:00,05:54:00,tmb_s019,19
tmb_K1_d0,05:57:00,05:57:00,tmb_s020,20
tmb_K1_d0,06:00:00,06:00:00,tmb_s021,21
tmb_K1_d0,06:03:00,06:03:00,tmb_s022,22
tmb_K1_d0,06:06:00,06:06:00,tmb_s023,23
tmb_K1_d0,06:09:00,06:09:00,tmb_s024,24
tmb_K1_d0,06:12:00,06:12:00,tmb_s025,25
tmb_K1_d0,06:15:00,06:15:00,tmb_s026,26
tmb_K1_d0,06:18:00,06:18:00,tmb_s027,27
tmb_K1_d0,06:21:00,06:21:00,tmb_s028,28
tmb_K1_d0,06:24:00,06:24:00,tmb_s029,29
tmb_K1_d0,06:27:00,06:27:00,tmb_s030,30
tmb_K1_d0,06:30:00,06:30:00,tmb_s031,31
tmb_K1_d0,06:33:00,06:33:00,tmb_s032,32
tmb_K1_d0,06:36:00,06:36:00,tmb_s033,33
tmb_K1_d0,06:39:00,06:39:00,tmb_s034,34
tmb_K1_d0,06:42:00,06:42:00,tmb_s035,35
tmb_K1_d0,06:45:00,06:45:00,tmb_s036,36
tmb_K1_d0,06:48:00,06:48:00,tmb_s037,37
tmb_K1_d1,05:00:00,05:00:00,tmb_s037,1
tmb_K1_d1,05:03:00,05:03:00,tmb_s038,2
tmb_K1_d1,05:06:00,05:06:00,tmb_s039,3
tmb_K1_d1,05:09:00,05:09:00,tmb_s040,4
tmb_K1_d1,05:12:00,05:12:00,tmb_s041,5
tmb_K1_d1,05:15:00,05:15:00,tmb_s042,6
tmb_K1_d1,05:18:00,05:18:00,tmb_s043,7
tmb_K1_d1,05:21:00,05:21:00,tmb_s044,8
tmb_K1_d1,05:24:00,05:24:00,tmb_s045,9
tmb_K1_d1,05:27:00,05:27:00,tmb_s046,10
tmb_K1_d1,05:30:00,05:30:00,tmb_s047,11
tmb_K1_d1,05:33:00,05:33:00,tmb_s048,12
tmb_K1_d1,05:36:00,05:36:00,tmb_s049,13
tmb_K1_d1,05:39:00,05:39:00,tmb_s050,14
tmb_K1_d1,05:42:00,05:42:00,tmb_s051,15
tmb_K1_d1,05:45:00,05:45:00,tmb_s052,16
tmb_K1_d1,05:48:00,05:48:00,tmb_s053,17
tmb_K1_d1,05:51:00,05:51:00,tmb_s054,18
tmb_K1_d1,05:54:00,05:54:00,tmb_s055,19
tmb_K1_d1,05:57:00,05:57:00,tmb_s056,20
tmb_K1_d1,06:00:00,06:00:00,tmb_s057,21
tmb_K1_d1,06:03:00,06:03:00,tmb_s058,22
tmb_K1_d1,06:06:00,06:06:00,tmb_s059,23
tmb_K1_d1,06:09:00,06:09:00,tmb_s060,24
tmb_K1_d1,06:12:00,06:12:00,tmb_s061,25
tmb_K1_d1,06:15:00,06:15:00,tmb_s062,26
