stop_id,stop_name,stop_lat,stop_lon
tmb_s001,Terminal Elang,-6.913537,107.575557
tmb_s002,Holis 1,-6.925204,107.575247
tmb_s003,Sumbersari 1,-6.931312,107.576305
tmb_s004,Sumber Sari Junction,-6.93239,107.576671
tmb_s005,Pasar Induk Caringin,-6.941902,107.583121
tmb_s006,Simpang Caringin,-6.943437,107.585041
tmb_s007,Leuwipanjang Soekarno Hatta,-6.946828,107.593434
tmb_s008,Simpang Inhoftank,-6.9478,107.60222
tmb_s009,Inhoftank,-6.947833,107.602821
tmb_s010,Seberang Ampera Soekarno Hatta,-6.947985,107.605138
tmb_s011,Karasak Utara,-6.948091,107.606711
tmb_s012,SPBU Karasak Utara,-6.948125,107.60723
tmb_s013,PLN UP3 Bandung B,-6.948492,107.612155
tmb_s014,PT LEN Industri B,-6.948988,107.619152
tmb_s015,LPKIA B,-6.94943,107.624814
tmb_s016,Timur Simpang Batununggal,-6.949433,107.626873
tmb_s017,Bangunan Mart B,-6.949331,107.628092
tmb_s018,Simpang Buah Batu Soekarno Hatta 1,-6.947494,107.634895
tmb_s019,Sekelimus 1,-6.946394,107.638452
tmb_s020,Simpang Samsat Kiaracondong,-6.945023,107.642812
tmb_s021,STT Mandala,-6.944662,107.643889
tmb_s022,SMK Medikacom,-6.943828,107.646487
tmb_s023,Unibi,-6.94254,107.650515
tmb_s024,Cidurian Utara,-6.941787,107.652869
tmb_s025,Cidurian 2,-6.941223,107.654686
tmb_s026,SMKN 9 Bandung,-6.940521,107.656912
tmb_s027,Jasa Raharja Jabar,-6.940092,107.658264
tmb_s028,Suparma,-6.939572,107.660151
tmb_s029,Kawaluyaan,-6.939021,107.663559
tmb_s030,Sanggar Hurip,-6.938728,107.667273
tmb_s031,Dinas Kehutanan Provinsi Jawa Barat,-6.938349,107.672505
tmb_s032,Guruminda,-6.937992,107.677599
tmb_s033,KPP Pratama Cicadas,-6.937863,107.679435
tmb_s034,Damri Bandung,-6.937413,107.685789
tmb_s035,Depan Pasar Gedebage,-6.936567,107.697306
tmb_s036,Universitas Bhakti Kencana,-6.935629,107.709956
tmb_s037,Bundaran Cibiru,-6.935267,107.717591
tmb_s038,Panyileukan,-6.935729,107.712155
tmb_s039,Cimincrang,-6.936147,107.706423
tmb_s040,Shakti,-6.936831,107.697087
tmb_s041,Simpang Gedebage,-6.937228,107.691561
tmb_s042,Dinas Koperasi Provinsi Jawa Barat,-6.937639,107.685904
tmb_s043,Ranca Mekar,-6.938094,107.679414
tmb_s044,Cipamokolan,-6.938279,107.67684
tmb_s045,Komplek Aria Graha,-6.938563,107.672912
tmb_s046,RS Al Islam,-6.938816,107.66933
tmb_s047,Metro Soekarno Hatta,-6.939003,107.666655
tmb_s048,Rancabolang,-6.939264,107.663309
