stop_id,stop_name,stop_lat,stop_lon
LEBAKBULUS,Lebak Bulus Bank Syariah Indonesia,-6.2892744,106.7749355
FATMAWATI,Fatmawati Indomaret,-6.2924511,106.7924644
CIPETE,Cipete Raya,-6.2783596,106.7973159
HAJINAWI,Haji Nawi,-6.2666947,106.7973262
BLOKA,Blok A,-6.2557793,106.7971403
BLOKM,Blok M BCA,-6.2444643,106.7981332
ASEAN,ASEAN,-6.2387737,106.7984457
SENAYAN,Senayan Mastercard,-6.2267337,106.8024926
ISTORA,Istora Mandiri,-6.22239,106.8086229
BENHIL,Bendungan Hilir,-6.2150263,106.8179484
SETIABUDI,Setiabudi Astra,-6.2090648,106.8216945
DUKUHATAS,Dukuh Atas BNI,-6.2007957,106.822788
BUNDARANHI,Bundaran HI Bank Jakarta,-6.1918644,106.8230084
