stop_id,stop_name,stop_lat,stop_lon
ST_abd_dg_sirua,Jl. Abdullah Daeng Sirua,-5.145,119.455
ST_abdul_kadir,Jl. Abdul Kadir,-5.177,119.433
ST_agus_salim,Jl. KH. Agus Salim (Makassar Mall),-5.1345,119.414
ST_ahmad_yani,Jl. Jenderal Ahmad Yani (Balaikota),-5.132,119.408
ST_andalas,Jl. Andalas,-5.133,119.416
ST_andi_tonro,Jl. Andi Tonro,-5.169,119.4295
ST_antang,Perumnas Antang,-5.1655,119.501
ST_arief_rate,Jl. Arief Rate,-5.15,119.408
ST_bandang,Jl. Bandang,-5.13,119.42
ST_batua_raya,Jl. Batua Raya,-5.156,119.468
ST_bawakaraeng,Jl. Bawakaraeng,-5.142,119.423
ST_borong,Jl. Borong,-5.162,119.47
ST_buru,Jl. Buru,-5.133,119.413
ST_cakalang,Jl. Cakalang,-5.113,119.418
ST_cendrawasih,Jl. Cendrawasih,-5.156,119.409
ST_daeng_tata,Jl. Daeng Tata,-5.18,119.44
ST_emmy_saelan,Jl. Emmy Saelan,-5.165,119.44
ST_gatot_subroto,Jl. Gatot Subroto,-5.115,119.435
ST_gunung_sari,Jl. Gunung Sari,-5.172,119.44
ST_hertasning,Jl. Hertasning,-5.172,119.455
ST_hos_cokro,Jl. HOS Cokroaminoto,-5.136,119.4145
ST_ir_sutami,Jl. Ir. Sutami (Tol),-5.1,119.47
ST_jend_sudirman,Jl. Jenderal Sudirman,-5.147,119.416
ST_juanda,Jl. Ir. H. Juanda,-5.115,119.44
ST_kalimantan,Jl. Kalimantan,-5.125,119.411
ST_kima,Kawasan Industri Makassar (KIMA),-5.095,119.495
ST_korban40,Korban 40 Ribu,-5.112,119.43
ST_kumala,Jl. Kumala,-5.165,119.425
ST_latimojong,Jl. Latimojong,-5.138,119.418
ST_maccini,Jl. Maccini Raya,-5.14,119.433
ST_malengkeri,Jl. Malengkeri,-5.185,119.446
ST_masjid_raya,Jl. Masjid Raya,-5.129,119.423
ST_minasa_upa,BTN Minasa Upa,-5.193,119.436
ST_nusakambangan,Nusakambangan,-5.131,119.4098
ST_pasar_baru,Pasar Baru (Makassar Mall),-5.1345,119.4133
ST_pasar_butung,Pasar Butung,-5.1288,119.4083
ST_pasar_sentral,Pasar Sentral / Makassar Mall,-5.1338,119.4127
ST_pattimura,Jl. Pattimura,-5.136,119.408
ST_perintis,Jl. Perintis Kemerdekaan,-5.12,119.47
ST_pettarani,Jl. AP. Pettarani,-5.158,119.436
ST_pongtiku,Jl. Pongtiku,-5.118,119.429
ST_rappokalling,Rappokalling,-5.1075,119.436
ST_ratulangi,Jl. Dr. Ratulangi,-5.156,119.418
ST_riburane,Jl. Riburane,-5.131,119.4085
ST_sudiang,Sudiang,-5.082,119.53
ST_sultan_alauddin,Jl. Sultan Alauddin,-5.178,119.436
ST_sultan_hasanuddin,Jl. Sultan Hasanuddin,-5.1355,119.409
ST_sungai_saddang,Jl. Sungai Saddang,-5.145,119.421
ST_syech_yusuf,Jl. Syech Yusuf,-5.1855,119.439
ST_tamalate_st,Jl. Tamalate,-5.165,119.446
ST_tentara_pelajar,Jl. Tentara Pelajar,-5.118,119.415
ST_term_daya,Terminal Regional Daya,-5.093,119.5127
ST_term_panakkukang,Terminal Panakkukang,-5.1585,119.453
ST_term_tamalate,Terminal Tamalate / Malengkeri,-5.1888,119.4497
ST_tinumbu,Jl. Tinumbu,-5.115,119.43
ST_toddopuli,Jl. Toddopuli Raya,-5.162,119.462
ST_ujungpandang,Jl. Ujung Pandang,-5.134,119.406
ST_ujungpandang_baru,Jl. Ujung Pandang Baru,-5.11,119.433
ST_unhas,Kampus Unhas Tamalanrea,-5.1322,119.4884
ST_urip,Jl. Urip Sumoharjo,-5.135,119.44
ST_veteran,Jl. Veteran,-5.145,119.418
ST_wahid_hasyim,KH. Wahid Hasyim (Pasar Sentral),-5.1348,119.414
ST_wahidin,Jl. Dr. Wahidin Sudirohusodo,-5.133,119.412
ST_yos_sudarso,Jl. Yos Sudarso,-5.12,119.412
