trip_id,arrival_time,departure_time,stop_id,stop_sequence
K11_out_1,05:00:00,05:00:00,teladan,1
K11_out_1,05:08:00,05:08:00,pusat_pasar,2
K11_out_1,05:18:00,05:18:00,asia,3
K11_out_1,05:30:00,05:30:00,sisingamangaraja,4
K11_out_1,05:52:00,05:52:00,jl_medan_tj_morawa,5
K11_out_1,06:18:00,06:18:00,tanjung_morawa,6
K11_out_1,06:40:00,06:40:00,term_lubuk_pakam,7
K11_in_1,07:00:00,07:00:00,term_lubuk_pakam,1
K11_in_1,07:22:00,07:22:00,tanjung_morawa,2
K11_in_1,07:48:00,07:48:00,jl_medan_tj_morawa,3
K11_in_1,08:10:00,08:10:00,sisingamangaraja,4
K11_in_1,08:24:00,08:24:00,sutomo,5
K11_in_1,08:30:00,08:30:00,mt_haryono,6
K11_in_1,08:35:00,08:35:00,pusat_pasar,7
K11_in_1,08:40:00,08:40:00,teladan,8
K12_out_1,05:00:00,05:00:00,simpang_barat,1
K12_out_1,05:06:00,05:06:00,pusat_pasar,2
K12_out_1,05:10:00,05:10:00,sutomo,3
K12_out_1,05:14:00,05:14:00,mt_haryono,4
K12_out_1,05:18:00,05:18:00,stasiun,5
K12_out_1,05:21:00,05:21:00,balai_kota,6
K12_out_1,05:24:00,05:24:00,raden_saleh,7
K12_out_1,05:28:00,05:28:00,s_parman,8
K12_out_1,05:32:00,05:32:00,gajah_mada,9
K12_out_1,05:36:00,05:36:00,iskandar_muda,10
K12_out_1,05:42:00,05:42:00,gatot_subroto,11
K12_out_1,06:12:00,06:12:00,soekarno_hatta,12
K12_out_1,06:30:00,06:30:00,term_binjai,13
K12_in_1,07:00:00,07:00:00,term_binjai,1
K12_in_1,07:18:00,07:18:00,soekarno_hatta,2
K12_in_1,07:48:00,07:48:00,gatot_subroto,3
K12_in_1,07:54:00,07:54:00,iskandar_muda,4
K12_in_1,07:58:00,07:58:00,gajah_mada,5
K12_in_1,08:02:00,08:02:00,s_parman,6
K12_in_1,08:06:00,08:06:00,raden_saleh,7
K12_in_1,08:09:00,08:09:00,balai_kota,8
K12_in_1,08:12:00,08:12:00,stasiun,9
K12_in_1,08:16:00,08:16:00,mt_haryono,10
K12_in_1,08:20:00,08:20:00,sutomo,11
K12_in_1,08:24:00,08:24:00,pusat_pasar,12
K12_in_1,08:30:00,08:30:00,simpang_barat,13
