stop_id,stop_name,stop_lat,stop_lon
term_binjai,Terminal Binjai,3.6089,98.4963
soekarno_hatta,Jalan Soekarno-Hatta,3.589,98.535
gatot_subroto,Jalan Gatot Subroto,3.5872,98.6355
iskandar_muda,Jalan Iskandar Muda,3.5833,98.6533
gajah_mada,Jalan Gajah Mada,3.585,98.6597
s_parman,Jalan Letjen S Parman,3.5817,98.6633
raden_saleh,Jalan Raden Saleh,3.5873,98.673
balai_kota,Jalan Balai Kota,3.5886,98.6784
stasiun,Jalan Stasiun (Medan Station),3.5908,98.6798
mt_haryono,Jalan MT Haryono,3.5864,98.6842
sutomo,Jalan Sutomo,3.5849,98.6883
pusat_pasar,Pusat Pasar Medan,3.5833,98.687
teladan,Teladan,3.5699,98.6919
perintis,Jalan Perintis Kemerdekaan,3.5952,98.689
asia,Jalan Asia,3.5772,98.697
sisingamangaraja,Jalan Sisingamangaraja (SM Raja),3.558,98.706
jl_medan_tj_morawa,Jalan Medan - Tanjung Morawa,3.531,98.787
tanjung_morawa,Tanjung Morawa,3.5323,98.8176
term_lubuk_pakam,Terminal Lubuk Pakam,3.5663,98.8751
simpang_barat,Simpang Barat,3.584,98.669
