stop_id,stop_name,stop_lat,stop_lon
S001,Terminal Porong,-7.53966,112.68565
S002,Gedang,,
S003,Tanggulangin,-7.482,112.698
S004,Keramean,,
S005,Terminal Larangan,-7.4585,112.719
S006,Lemah Putro,,
S007,Alun-alun Sidoarjo,-7.4478,112.7183
S008,Sun City,-7.452,112.717
S009,Pondok Mutiara,-7.438,112.71
S010,Medaeng,-7.345,112.729
S011,Terminal Purabaya,-7.35111,112.72444
S012,Bungurasih Luar,-7.3505,112.725
S013,Segoromadu,,
S014,Gelora Joko Samudro,-7.1666,112.626
S015,BNI,,
S016,RS Semen Gresik,,
S017,Universitas Muhammadiyah Gresik,-7.1573,112.651
S018,Polres Gresik,,
S019,Kantor Bupati Gresik,,
S020,Terminal Bunder,-7.17054,112.58446
S021,Gelora Joko Samudera,-7.1666,112.626
S022,Siwalankerto,-7.335,112.736
S023,Kemendung,,
S024,Trosobo Pos,,
S025,Bypass Timur,,
S026,Klenteng Krian,,
S027,Jabaran,,
S028,Bypass Barat,,
S029,Bakung,,
S030,Ciro,,
S031,Singkalan,,
S032,Mlirip,-7.463,112.49
S033,Mertex,,
S034,Sekar Putih,-7.472,112.455
S035,Gunung Gedangan,-7.46,112.47
S036,Terminal Kertajaya,-7.4808,112.4436
S037,Sekarputih,-7.472,112.455
S038,Bakalan,,
S039,Terminal Krian,-7.4104,112.5792
S040,Dukuh Menanggal,-7.339,112.733
S041,Pahlawan,,
S042,Cokro Aminoto,,
S043,Lespandangan,,
S044,Pasar Terusan,,
S045,Sidoharjo,,
S046,Ngabar,,
S047,Kupang,,
S048,Bukit Kayu Putih,,
S049,Desa Suru,,
S050,Sekiping,,
S051,Jatirowo,,
S052,Pulorejo,,
S053,Dawarblandong,,
S054,Beru,,
S055,Dapet,,
S056,Wonorejo,,
S057,RS Walisongo,,
S058,Wahas,,
S059,Wates,,
S060,RS Husada,,
S061,Pasar Balong Panggang,,
S062,Balongpanggang,-7.282,112.467
S063,Kalipang,,
S064,SDN Ngabar,,
S065,Lespadangan,,
S066,Terusan,,
S067,Empunala,,
S068,Kedungsari,,
S069,Betoyo,,
S070,Karangrejo,,
S071,Bungah,-7.077,112.567
S072,Sidayu,-7.033,112.523
S073,Ujungpangkah,,
S074,Golokan,,
S075,Wadeng,,
S076,Moedhar Arifin Center,,
S077,Sekapuk,,
S078,Panceng,,
S079,Tlogo Sadang,,
S080,Shorebase,,
S081,Kemantren,,
S082,Pasar Kranji,,
S083,Tunggul,,
S084,Depan Terminal Paciran,,
S085,Pelabuhan Paciran,,
S086,Manyar,-7.12,112.606
S087,Morokrembangan,-7.228,112.718
S088,Barunawati,,
S089,Perak Timur,-7.22,112.728
S090,Al Irsyad,,
S091,Sarwajala,,
S092,Semampir 1,-7.226,112.744
S093,Sidotopo 1,-7.234,112.753
S094,Simokerto 1,-7.241,112.753
S095,Kenjeran 1,-7.2318,112.783
S096,Pogot,-7.228,112.766
S097,Kedung Cowek 1,-7.217,112.775
S098,IKM 1,,
S099,Morkepek 1,,
S100,Petapan 1,,
S101,Tangkel 1,,
S102,Burneh 1,,
S103,Tunjung,-7,112.79
S104,SMAN 1 Bangkalan,,
S105,Jokotole,,
S106,Mayjen Sungkono,,
S107,Alun-Alun Bangkalan,-7.02531,112.75193
S108,Rambu M. Cholil 1,,
S109,Merlin,,
S110,Gelora Bangkalan 1,-7.04339,112.73947
S111,Ir Soekarno 1,-7.044,112.7385
S112,Pertigaan Martadinata,,
S113,Kantor Dishub,,
S114,Mlajah,-7.049,112.739
S115,Syaikhona Kholil,,
S116,SMKN 3 Bangkalan,-7.047,112.74
S117,Kinabalu,-7.048,112.7395
S118,Terminal Bangkalan,-7.049,112.739
S119,Ir Soekarno 2,-7.044,112.7385
S120,Gelora Bangkalan 2,-7.04339,112.73947
S121,Pasar Senenan,,
S122,Pecinan,,
S123,PDAM,,
S124,Trunojoyo,,
S125,Pemuda Kaffah,,
S126,Tunjung 2,,
S127,Burneh 2,,
