route_id,service_id,trip_id,trip_headsign
K1,DAILY,K1_0_01,Terminal Bunder (Gresik)
K1,DAILY,K1_0_02,Terminal Bunder (Gresik)
K1,DAILY,K1_0_03,Terminal Bunder (Gresik)
K1,DAILY,K1_0_04,Terminal Bunder (Gresik)
K1,DAILY,K1_0_05,Terminal Bunder (Gresik)
K1,DAILY,K1_1_01,Terminal Porong (Sidoarjo)
K1,DAILY,K1_1_02,Terminal Porong (Sidoarjo)
K1,DAILY,K1_1_03,Terminal Porong (Sidoarjo)
K1,DAILY,K1_1_04,Terminal Porong (Sidoarjo)
K1,DAILY,K1_1_05,Terminal Porong (Sidoarjo)
K2,DAILY,K2_0_01,Terminal Kertajaya (Mojokerto)
K2,DAILY,K2_0_02,Terminal Kertajaya (Mojokerto)
K2,DAILY,K2_0_03,Terminal Kertajaya (Mojokerto)
K2,DAILY,K2_0_04,Terminal Kertajaya (Mojokerto)
K2,DAILY,K2_0_05,Terminal Kertajaya (Mojokerto)
K2,DAILY,K2_1_01,Surabaya
K2,DAILY,K2_1_02,Surabaya
K2,DAILY,K2_1_03,Surabaya
K2,DAILY,K2_1_04,Surabaya
K2,DAILY,K2_1_05,Surabaya
K3,DAILY,K3_0_01,Terminal Bunder (Gresik)
K3,DAILY,K3_0_02,Terminal Bunder (Gresik)
K3,DAILY,K3_0_03,Terminal Bunder (Gresik)
K3,DAILY,K3_0_04,Terminal Bunder (Gresik)
K3,DAILY,K3_0_05,Terminal Bunder (Gresik)
K3,DAILY,K3_1_01,Terminal Kertajaya (Mojokerto)
K3,DAILY,K3_1_02,Terminal Kertajaya (Mojokerto)
K3,DAILY,K3_1_03,Terminal Kertajaya (Mojokerto)
K3,DAILY,K3_1_04,Terminal Kertajaya (Mojokerto)
K3,DAILY,K3_1_05,Terminal Kertajaya (Mojokerto)
K4,DAILY,K4_0_01,Paciran (Lamongan pesisir)
K4,DAILY,K4_0_02,Paciran (Lamongan pesisir)
K4,DAILY,K4_0_03,Paciran (Lamongan pesisir)
K4,DAILY,K4_0_04,Paciran (Lamongan pesisir)
K4,DAILY,K4_0_05,Paciran (Lamongan pesisir)
K4,DAILY,K4_1_01,Terminal Bunder (Gresik)
K4,DAILY,K4_1_02,Terminal Bunder (Gresik)
K4,DAILY,K4_1_03,Terminal Bunder (Gresik)
K4,DAILY,K4_1_04,Terminal Bunder (Gresik)
K4,DAILY,K4_1_05,Terminal Bunder (Gresik)
K5,DAILY,K5_0_01,Terminal Bangkalan
K5,DAILY,K5_0_02,Terminal Bangkalan
K5,DAILY,K5_0_03,Terminal Bangkalan
K5,DAILY,K5_0_04,Terminal Bangkalan
K5,DAILY,K5_0_05,Terminal Bangkalan
K5,DAILY,K5_1_01,Terminal Purabaya (Surabaya)
K5,DAILY,K5_1_02,Terminal Purabaya (Surabaya)
K5,DAILY,K5_1_03,Terminal Purabaya (Surabaya)
K5,DAILY,K5_1_04,Terminal Purabaya (Surabaya)
K5,DAILY,K5_1_05,Terminal Purabaya (Surabaya)
K6,DAILY,K6_0_01,Terminal Kertajaya (Mojokerto)
K6,DAILY,K6_0_02,Terminal Kertajaya (Mojokerto)
K6,DAILY,K6_0_03,Terminal Kertajaya (Mojokerto)
K6,DAILY,K6_0_04,Terminal Kertajaya (Mojokerto)
K6,DAILY,K6_0_05,Terminal Kertajaya (Mojokerto)
K6,DAILY,K6_1_01,Terminal Porong (Sidoarjo)
K6,DAILY,K6_1_02,Terminal Porong (Sidoarjo)
K6,DAILY,K6_1_03,Terminal Porong (Sidoarjo)
K6,DAILY,K6_1_04,Terminal Porong (Sidoarjo)
K6,DAILY,K6_1_05,Terminal Porong (Sidoarjo)
K7,DAILY,K7_0_01,Terminal Paciran
K7,DAILY,K7_0_02,Terminal Paciran
K7,DAILY,K7_0_03,Terminal Paciran
K7,DAILY,K7_0_04,Terminal Paciran
K7,DAILY,K7_0_05,Terminal Paciran
K7,DAILY,K7_1_01,Terminal Lamongan
K7,DAILY,K7_1_02,Terminal Lamongan
K7,DAILY,K7_1_03,Terminal Lamongan
K7,DAILY,K7_1_04,Terminal Lamongan
K7,DAILY,K7_1_05,Terminal Lamongan
