stop_id,stop_name,stop_lat,stop_lon
agra-28.58878-77.25424,Agra stop,28.588784,77.254236
agra-27.15973-77.99051,Agra stop,27.159727,77.990509
agra-27.15894-77.99030,Agra stop,27.158936,77.990304
agra-26.21634-78.18259,Agra stop,26.216342,78.182593
agra-26.21551-78.18183,Agra stop,26.21551,78.181825
agra-25.44635-78.55290,Agra stop,25.446348,78.552905
agra-25.44514-78.55300,Agra stop,25.445144,78.553003
agra-23.26796-77.41387,Agra stop,23.267955,77.413868
agra-21.01832-75.56350,Agra stop,21.018318,75.563503
agra-21.01830-75.56288,Agra stop,21.018305,75.562881
agra-19.94896-73.84259,Agra stop,19.948962,73.842589
agra-19.94797-73.84245,Agra stop,19.947965,73.842454
agra-19.23486-73.12982,Agra stop,19.234863,73.129816
agra-19.23497-73.13040,Agra stop,19.234968,73.1304
agra-18.94459-72.83786,Agra stop,18.944592,72.83786
agra-18.94518-72.83786,Agra stop,18.945181,72.837865
agra-19.23513-73.13034,Agra stop,19.235132,73.130336
agra-19.94801-73.84228,Agra stop,19.948007,73.842281
agra-21.01849-75.56294,Agra stop,21.018485,75.562945
agra-23.26675-77.41319,Agra stop,23.266746,77.413187
agra-23.26827-77.41374,Agra stop,23.268268,77.413745
agra-25.44583-78.55271,Agra stop,25.445831,78.552707
agra-25.44514-78.55276,Agra stop,25.44514,78.552764
agra-26.21599-78.18194,Agra stop,26.215989,78.181938
agra-26.21559-78.18171,Agra stop,26.215592,78.181712
agra-27.15718-77.98987,Agra stop,27.157177,77.989867
agra-27.15895-77.99016,Agra stop,27.158947,77.990156
agra-28.58801-77.25448,Agra stop,28.588008,77.254475
agra-28.58902-77.25435,Agra stop,28.589022,77.254354
