route_id,service_id,trip_id,trip_headsign
ahmedabad-r1,daily,ahmedabad-1d0-t1,Blue Line: Vastral Gam → Thaltej Gam
ahmedabad-r1,daily,ahmedabad-1d0-t2,Blue Line: Vastral Gam → Thaltej Gam
ahmedabad-r1,daily,ahmedabad-1d0-t3,Blue Line: Vastral Gam → Thaltej Gam
ahmedabad-r1,daily,ahmedabad-1d0-t4,Blue Line: Vastral Gam → Thaltej Gam
ahmedabad-r1,daily,ahmedabad-1d0-t5,Blue Line: Vastral Gam → Thaltej Gam
ahmedabad-r1,daily,ahmedabad-1d0-t6,Blue Line: Vastral Gam → Thaltej Gam
ahmedabad-r1,daily,ahmedabad-1d0-t7,Blue Line: Vastral Gam → Thaltej Gam
ahmedabad-r1,daily,ahmedabad-1d0-t8,Blue Line: Vastral Gam → Thaltej Gam
ahmedabad-r1,daily,ahmedabad-1d0-t9,Blue Line: Vastral Gam → Thaltej Gam
ahmedabad-r1,daily,ahmedabad-1d0-t10,Blue Line: Vastral Gam → Thaltej Gam
ahmedabad-r1,daily,ahmedabad-1d0-t11,Blue Line: Vastral Gam → Thaltej Gam
ahmedabad-r1,daily,ahmedabad-1d0-t12,Blue Line: Vastral Gam → Thaltej Gam
ahmedabad-r1,daily,ahmedabad-1d0-t13,Blue Line: Vastral Gam → Thaltej Gam
ahmedabad-r1,daily,ahmedabad-1d0-t14,Blue Line: Vastral Gam → Thaltej Gam
ahmedabad-r1,daily,ahmedabad-1d0-t15,Blue Line: Vastral Gam → Thaltej Gam
ahmedabad-r1,daily,ahmedabad-1d0-t16,Blue Line: Vastral Gam → Thaltej Gam
ahmedabad-r1,daily,ahmedabad-1d0-t17,Blue Line: Vastral Gam → Thaltej Gam
ahmedabad-r1,daily,ahmedabad-1d0-t18,Blue Line: Vastral Gam → Thaltej Gam
ahmedabad-r1,daily,ahmedabad-1d0-t19,Blue Line: Vastral Gam → Thaltej Gam
ahmedabad-r1,daily,ahmedabad-1d0-t20,Blue Line: Vastral Gam → Thaltej Gam
ahmedabad-r1,daily,ahmedabad-1d0-t21,Blue Line: Vastral Gam → Thaltej Gam
ahmedabad-r1,daily,ahmedabad-1d0-t22,Blue Line: Vastral Gam → Thaltej Gam
ahmedabad-r1,daily,ahmedabad-1d0-t23,Blue Line: Vastral Gam → Thaltej Gam
ahmedabad-r1,daily,ahmedabad-1d0-t24,Blue Line: Vastral Gam → Thaltej Gam
ahmedabad-r1,daily,ahmedabad-1d0-t25,Blue Line: Vastral Gam → Thaltej Gam
ahmedabad-r1,daily,ahmedabad-1d0-t26,Blue Line: Vastral Gam → Thaltej Gam
ahmedabad-r1,daily,ahmedabad-1d0-t27,Blue Line: Vastral Gam → Thaltej Gam
ahmedabad-r1,daily,ahmedabad-1d0-t28,Blue Line: Vastral Gam → Thaltej Gam
ahmedabad-r1,daily,ahmedabad-1d0-t29,Blue Line: Vastral Gam → Thaltej Gam
ahmedabad-r1,daily,ahmedabad-1d0-t30,Blue Line: Vastral Gam → Thaltej Gam
ahmedabad-r1,daily,ahmedabad-1d0-t31,Blue Line: Vastral Gam → Thaltej Gam
ahmedabad-r1,daily,ahmedabad-1d0-t32,Blue Line: Vastral Gam → Thaltej Gam
ahmedabad-r1,daily,ahmedabad-1d0-t33,Blue Line: Vastral Gam → Thaltej Gam
ahmedabad-r1,daily,ahmedabad-1d0-t34,Blue Line: Vastral Gam → Thaltej Gam
ahmedabad-r1,daily,ahmedabad-1d0-t35,Blue Line: Vastral Gam → Thaltej Gam
ahmedabad-r1,daily,ahmedabad-1d0-t36,Blue Line: Vastral Gam → Thaltej Gam
ahmedabad-r1,daily,ahmedabad-1d0-t37,Blue Line: Vastral Gam → Thaltej Gam
ahmedabad-r1,daily,ahmedabad-1d0-t38,Blue Line: Vastral Gam → Thaltej Gam
ahmedabad-r1,daily,ahmedabad-1d0-t39,Blue Line: Vastral Gam → Thaltej Gam
ahmedabad-r1,daily,ahmedabad-1d0-t40,Blue Line: Vastral Gam → Thaltej Gam
ahmedabad-r1,daily,ahmedabad-1d0-t41,Blue Line: Vastral Gam → Thaltej Gam
ahmedabad-r1,daily,ahmedabad-1d0-t42,Blue Line: Vastral Gam → Thaltej Gam
ahmedabad-r1,daily,ahmedabad-1d0-t43,Blue Line: Vastral Gam → Thaltej Gam
ahmedabad-r1,daily,ahmedabad-1d0-t44,Blue Line: Vastral Gam → Thaltej Gam
ahmedabad-r1,daily,ahmedabad-1d0-t45,Blue Line: Vastral Gam → Thaltej Gam
ahmedabad-r1,daily,ahmedabad-1d0-t46,Blue Line: Vastral Gam → Thaltej Gam
ahmedabad-r1,daily,ahmedabad-1d0-t47,Blue Line: Vastral Gam → Thaltej Gam
ahmedabad-r1,daily,ahmedabad-1d0-t48,Blue Line: Vastral Gam → Thaltej Gam
ahmedabad-r1,daily,ahmedabad-1d0-t49,Blue Line: Vastral Gam → Thaltej Gam
ahmedabad-r1,daily,ahmedabad-1d0-t50,Blue Line: Vastral Gam → Thaltej Gam
ahmedabad-r1,daily,ahmedabad-1d0-t51,Blue Line: Vastral Gam → Thaltej Gam
ahmedabad-r1,daily,ahmedabad-1d0-t52,Blue Line: Vastral Gam → Thaltej Gam
ahmedabad-r1,daily,ahmedabad-1d0-t53,Blue Line: Vastral Gam → Thaltej Gam
ahmedabad-r1,daily,ahmedabad-1d0-t54,Blue Line: Vastral Gam → Thaltej Gam
ahmedabad-r1,daily,ahmedabad-1d0-t55,Blue Line: Vastral Gam → Thaltej Gam
ahmedabad-r1,daily,ahmedabad-1d0-t56,Blue Line: Vastral Gam → Thaltej Gam
ahmedabad-r1,daily,ahmedabad-1d0-t57,Blue Line: Vastral Gam → Thaltej Gam
ahmedabad-r1,daily,ahmedabad-1d0-t58,Blue Line: Vastral Gam → Thaltej Gam
ahmedabad-r1,daily,ahmedabad-1d0-t59,Blue Line: Vastral Gam → Thaltej Gam
ahmedabad-r1,daily,ahmedabad-1d0-t60,Blue Line: Vastral Gam → Thaltej Gam
ahmedabad-r1,daily,ahmedabad-1d0-t61,Blue Line: Vastral Gam → Thaltej Gam
ahmedabad-r1,daily,ahmedabad-1d0-t62,Blue Line: Vastral Gam → Thaltej Gam
ahmedabad-r1,daily,ahmedabad-1d0-t63,Blue Line: Vastral Gam → Thaltej Gam
ahmedabad-r1,daily,ahmedabad-1d0-t64,Blue Line: Vastral Gam → Thaltej Gam
ahmedabad-r1,daily,ahmedabad-1d0-t65,Blue Line: Vastral Gam → Thaltej Gam
ahmedabad-r1,daily,ahmedabad-1d0-t66,Blue Line: Vastral Gam → Thaltej Gam
ahmedabad-r1,daily,ahmedabad-1d0-t67,Blue Line: Vastral Gam → Thaltej Gam
ahmedabad-r1,daily,ahmedabad-1d0-t68,Blue Line: Vastral Gam → Thaltej Gam
ahmedabad-r1,daily,ahmedabad-1d0-t69,Blue Line: Vastral Gam → Thaltej Gam
ahmedabad-r1,daily,ahmedabad-1d0-t70,Blue Line: Vastral Gam → Thaltej Gam
ahmedabad-r1,daily,ahmedabad-1d0-t71,Blue Line: Vastral Gam → Thaltej Gam
ahmedabad-r1,daily,ahmedabad-1d0-t72,Blue Line: Vastral Gam → Thaltej Gam
ahmedabad-r1,daily,ahmedabad-1d0-t73,Blue Line: Vastral Gam → Thaltej Gam
ahmedabad-r1,daily,ahmedabad-1d0-t74,Blue Line: Vastral Gam → Thaltej Gam
ahmedabad-r1,daily,ahmedabad-1d0-t75,Blue Line: Vastral Gam → Thaltej Gam
ahmedabad-r1,daily,ahmedabad-1d0-t76,Blue Line: Vastral Gam → Thaltej Gam
ahmedabad-r1,daily,ahmedabad-1d0-t77,Blue Line: Vastral Gam → Thaltej Gam
ahmedabad-r1,daily,ahmedabad-1d0-t78,Blue Line: Vastral Gam → Thaltej Gam
ahmedabad-r1,daily,ahmedabad-1d0-t79,Blue Line: Vastral Gam → Thaltej Gam
ahmedabad-r1,daily,ahmedabad-1d0-t80,Blue Line: Vastral Gam → Thaltej Gam
ahmedabad-r1,daily,ahmedabad-1d0-t81,Blue Line: Vastral Gam → Thaltej Gam
ahmedabad-r1,daily,ahmedabad-1d0-t82,Blue Line: Vastral Gam → Thaltej Gam
ahmedabad-r1,daily,ahmedabad-1d0-t83,Blue Line: Vastral Gam → Thaltej Gam
ahmedabad-r1,daily,ahmedabad-1d0-t84,Blue Line: Vastral Gam → Thaltej Gam
ahmedabad-r1,daily,ahmedabad-1d0-t85,Blue Line: Vastral Gam → Thaltej Gam
ahmedabad-r1,daily,ahmedabad-1d0-t86,Blue Line: Vastral Gam → Thaltej Gam
ahmedabad-r1,daily,ahmedabad-1d0-t87,Blue Line: Vastral Gam → Thaltej Gam
ahmedabad-r1,daily,ahmedabad-1d0-t88,Blue Line: Vastral Gam → Thaltej Gam
ahmedabad-r1,daily,ahmedabad-1d0-t89,Blue Line: Vastral Gam → Thaltej Gam
ahmedabad-r1,daily,ahmedabad-1d0-t90,Blue Line: Vastral Gam → Thaltej Gam
ahmedabad-r1,daily,ahmedabad-1d0-t91,Blue Line: Vastral Gam → Thaltej Gam
ahmedabad-r1,daily,ahmedabad-1d0-t92,Blue Line: Vastral Gam → Thaltej Gam
ahmedabad-r1,daily,ahmedabad-1d0-t93,Blue Line: Vastral Gam → Thaltej Gam
ahmedabad-r1,daily,ahmedabad-1d0-t94,Blue Line: Vastral Gam → Thaltej Gam
ahmedabad-r1,daily,ahmedabad-1d0-t95,Blue Line: Vastral Gam → Thaltej Gam
ahmedabad-r1,daily,ahmedabad-1d0-t96,Blue Line: Vastral Gam → Thaltej Gam
ahmedabad-r1,daily,ahmedabad-1d0-t97,Blue Line: Vastral Gam → Thaltej Gam
ahmedabad-r1,daily,ahmedabad-1d0-t98,Blue Line: Vastral Gam → Thaltej Gam
ahmedabad-r1,daily,ahmedabad-1d0-t99,Blue Line: Vastral Gam → Thaltej Gam
ahmedabad-r1,daily,ahmedabad-1d1-t1,Blue Line: Vastral Gam → Thaltej Gam
ahmedabad-r1,daily,ahmedabad-1d1-t2,Blue Line: Vastral Gam → Thaltej Gam
ahmedabad-r1,daily,ahmedabad-1d1-t3,Blue Line: Vastral Gam → Thaltej Gam
ahmedabad-r1,daily,ahmedabad-1d1-t4,Blue Line: Vastral Gam → Thaltej Gam
ahmedabad-r1,daily,ahmedabad-1d1-t5,Blue Line: Vastral Gam → Thaltej Gam
ahmedabad-r1,daily,ahmedabad-1d1-t6,Blue Line: Vastral Gam → Thaltej Gam
ahmedabad-r1,daily,ahmedabad-1d1-t7,Blue Line: Vastral Gam → Thaltej Gam
ahmedabad-r1,daily,ahmedabad-1d1-t8,Blue Line: Vastral Gam → Thaltej Gam
