stop_id,stop_name,stop_lat,stop_lon
vadaj,Vadaj,23.068085,72.564424
sanjivani_hospital,Sanjivani Hospital,23.056664,72.57083
tulsishyam_society,Tulsishyam Society,23.058034,72.56912
bhimjipura,Bhimjipura,23.0593,72.568
kiran_park,Kiran Park,23.05999,72.563469
vijaynagar_railway_crossing,Vijaynagar Railway Crossing,23.05986,72.561028
patrakar_colony,Patrakar Colony (Vijaynagar),,
ankur_society,Ankur Society,23.058789,72.5555
rangjyot_society,Rangjyot Society,23.056776,72.55762
sundarnagar,Sundarnagar (Sundarvan Society),,
naranpura_char_rasta,Naranpura Char Rasta,23.052309,72.559534
amikunj_society,Amikunj Society,23.00261,72.593364
devendra_society,Devendra Society,23.052201,72.553858
paliyadnagar,Paliyadnagar,23.049627,72.553373
darpan_six_roads,Darpan Six Roads,23.0488,72.5547
memnagar_tubewell_station,Memnagar Tubewell Station,23.045142,72.550828
suchita_apartment,Suchita Apartment (Vijay Char Rasta),,
dada_sahebna_pagala,Dada Sahebna Pagala,23.039391,72.548677
gujarat_university,Gujarat University,23.034497,72.548844
shaifali_society,Shaifali Society,23.0055,72.5262
panjarapol,Panjarapol,23.025624,72.541618
sahajanand_college,Sahajanand College,23.0274,72.544
l_colony,L Colony,23.0244,72.5429
tagor_park,Tagor Park,,
manekbag_hall,Manekbag Hall,23.01791,72.544005
sanyojannagar,Sanyojannagar (Juna Octroi Naka),,
kameshwar_twins,Kameshwar Twins,,
shyamal_char_rasta,Shyamal Char Rasta,23.014902,72.530599
shyamal_cross,Shyamal Cross,23.014902,72.530599
dr_shyamaprasad_overbridge,Dr. Shyamaprasad Overbridge,,
jivraj_park,Jivraj Park,23.006661,72.532965
gyanada_society,Gyanada Society,,
malav_talav,Malav Talav,23.007768,72.538549
dr_jivraj_mehta_hospital,Dr. Jivraj Mehta Hospital,23.009213,72.542703
lavanya_society,Lavanya Society,23.007801,72.544258
keshariyajinagar_society,Keshariyajinagar Society,,
vasna,Vasna,23.003992,72.546074
jawaharnagar,Jawaharnagar,23.0035,72.5517
anjali_cinema,Anjali Cinema,23.004,72.5536
dungarshinagar,Dungarshinagar,23.001981,72.555765
chandranagar,Chandranagar,23.000157,72.557901
sabar_flats,Sabar Flats,,
samast_brahamkshatriya_society,Samast Brahamkshatriya Society,23.0022,72.562
