stop_id,stop_name,stop_lat,stop_lon
alwar-28.64417-77.21921,Alwar stop,28.644168,77.219215
alwar-28.64236-77.21964,Alwar stop,28.64236,77.219637
alwar-28.61217-77.11588,Alwar stop,28.61217,77.115877
alwar-28.48946-77.01135,Alwar stop,28.48946,77.01135
alwar-28.48916-77.01098,Alwar stop,28.489159,77.01098
alwar-26.91993-75.78711,Alwar stop,26.919927,75.787106
alwar-26.92036-75.78650,Alwar stop,26.92036,75.786502
alwar-26.45680-74.63780,Alwar stop,26.456804,74.637803
alwar-26.45741-74.63779,Alwar stop,26.457407,74.637785
alwar-25.23564-73.23479,Alwar stop,25.235643,73.234792
alwar-25.23603-73.23492,Alwar stop,25.236026,73.234923
alwar-24.48137-72.78556,Alwar stop,24.481372,72.785563
alwar-24.17482-72.43069,Alwar stop,24.174823,72.430694
alwar-23.60224-72.38915,Alwar stop,23.602245,72.389147
alwar-23.60181-72.38907,Alwar stop,23.601805,72.389067
alwar-23.07670-72.58907,Alwar stop,23.076697,72.589069
alwar-23.07781-72.58852,Alwar stop,23.077813,72.588515
alwar-23.60194-72.38892,Alwar stop,23.601944,72.388921
alwar-24.17512-72.43049,Alwar stop,24.17512,72.430494
alwar-25.23465-73.23401,Alwar stop,25.23465,73.234015
alwar-25.23606-73.23483,Alwar stop,25.236059,73.234829
alwar-26.45862-74.63723,Alwar stop,26.458618,74.63723
alwar-26.45736-74.63739,Alwar stop,26.457356,74.637389
alwar-26.92043-75.78676,Alwar stop,26.920433,75.786758
alwar-28.48951-77.01106,Alwar stop,28.489512,77.01106
alwar-28.61283-77.11598,Alwar stop,28.612828,77.115975
alwar-28.61241-77.11574,Alwar stop,28.612411,77.115736
