trip_id,arrival_time,departure_time,stop_id,stop_sequence
bengaluru-bangalore-me-r1-1d0-t1,06:00:00,06:00:00,bengaluru-12.81976-77.68800,1
bengaluru-bangalore-me-r1-1d0-t1,06:02:08,06:02:08,bengaluru-12.82944-77.68123,2
bengaluru-bangalore-me-r1-1d0-t1,06:04:07,06:04:07,bengaluru-12.83943-77.67714,3
bengaluru-bangalore-me-r1-1d0-t1,06:05:55,06:05:55,bengaluru-12.84680-77.67092,4
bengaluru-bangalore-me-r1-1d0-t1,06:08:10,06:08:10,bengaluru-12.85680-77.66324,5
bengaluru-bangalore-me-r1-1d0-t1,06:09:55,06:09:55,bengaluru-12.86423-77.65758,6
bengaluru-bangalore-me-r1-1d0-t1,06:11:35,06:11:35,bengaluru-12.87108-77.65215,7
bengaluru-bangalore-me-r1-1d0-t1,06:13:50,06:13:50,bengaluru-12.88118-77.64461,8
bengaluru-bangalore-me-r1-1d0-t1,06:15:48,06:15:48,bengaluru-12.89032-77.63895,9
bengaluru-bangalore-me-r1-1d0-t1,06:18:15,06:18:15,bengaluru-12.90212-77.63170,10
bengaluru-bangalore-me-r1-1d0-t1,06:20:12,06:20:12,bengaluru-12.91120-77.62613,11
bengaluru-bangalore-me-r1-1d0-t1,06:21:44,06:21:44,bengaluru-12.91640-77.62012,12
bengaluru-bangalore-me-r1-1d0-t1,06:23:56,06:23:56,bengaluru-12.91657-77.60763,13
bengaluru-bangalore-me-r1-1d0-t1,06:25:27,06:25:27,bengaluru-12.91673-77.59973,14
bengaluru-bangalore-me-r1-1d0-t1,06:27:34,06:27:34,bengaluru-12.91707-77.58778,15
bengaluru-bangalore-me-r1-1d0-t2,08:00:00,08:00:00,bengaluru-12.81976-77.68800,1
bengaluru-bangalore-me-r1-1d0-t2,08:02:08,08:02:08,bengaluru-12.82944-77.68123,2
bengaluru-bangalore-me-r1-1d0-t2,08:04:07,08:04:07,bengaluru-12.83943-77.67714,3
bengaluru-bangalore-me-r1-1d0-t2,08:05:55,08:05:55,bengaluru-12.84680-77.67092,4
bengaluru-bangalore-me-r1-1d0-t2,08:08:10,08:08:10,bengaluru-12.85680-77.66324,5
bengaluru-bangalore-me-r1-1d0-t2,08:09:55,08:09:55,bengaluru-12.86423-77.65758,6
bengaluru-bangalore-me-r1-1d0-t2,08:11:35,08:11:35,bengaluru-12.87108-77.65215,7
bengaluru-bangalore-me-r1-1d0-t2,08:13:50,08:13:50,bengaluru-12.88118-77.64461,8
bengaluru-bangalore-me-r1-1d0-t2,08:15:48,08:15:48,bengaluru-12.89032-77.63895,9
bengaluru-bangalore-me-r1-1d0-t2,08:18:15,08:18:15,bengaluru-12.90212-77.63170,10
bengaluru-bangalore-me-r1-1d0-t2,08:20:12,08:20:12,bengaluru-12.91120-77.62613,11
bengaluru-bangalore-me-r1-1d0-t2,08:21:44,08:21:44,bengaluru-12.91640-77.62012,12
bengaluru-bangalore-me-r1-1d0-t2,08:23:56,08:23:56,bengaluru-12.91657-77.60763,13
bengaluru-bangalore-me-r1-1d0-t2,08:25:27,08:25:27,bengaluru-12.91673-77.59973,14
bengaluru-bangalore-me-r1-1d0-t2,08:27:34,08:27:34,bengaluru-12.91707-77.58778,15
bengaluru-bangalore-me-r1-1d0-t3,12:00:00,12:00:00,bengaluru-12.81976-77.68800,1
bengaluru-bangalore-me-r1-1d0-t3,12:02:08,12:02:08,bengaluru-12.82944-77.68123,2
bengaluru-bangalore-me-r1-1d0-t3,12:04:07,12:04:07,bengaluru-12.83943-77.67714,3
bengaluru-bangalore-me-r1-1d0-t3,12:05:55,12:05:55,bengaluru-12.84680-77.67092,4
bengaluru-bangalore-me-r1-1d0-t3,12:08:10,12:08:10,bengaluru-12.85680-77.66324,5
bengaluru-bangalore-me-r1-1d0-t3,12:09:55,12:09:55,bengaluru-12.86423-77.65758,6
