trip_id,arrival_time,departure_time,stop_id,stop_sequence
bengaluru-bengaluru-ci-r1-1d0-t1,06:00:00,06:00:00,bengaluru-13.01462-77.58527,1
bengaluru-bengaluru-ci-r1-1d0-t1,06:03:25,06:03:25,bengaluru-13.00672-77.59292,2
bengaluru-bengaluru-ci-r1-1d0-t1,06:07:42,06:07:42,bengaluru-12.99348-77.59722,3
bengaluru-bengaluru-ci-r1-1d0-t1,06:09:15,06:09:15,bengaluru-12.98975-77.59937,4
bengaluru-bengaluru-ci-r1-1d0-t1,06:11:40,06:11:40,bengaluru-12.98341-77.60310,5
bengaluru-bengaluru-ci-r1-1d0-t1,06:26:09,06:26:09,bengaluru-13.01511-77.56389,6
bengaluru-bengaluru-ci-r1-1d0-t2,08:00:00,08:00:00,bengaluru-13.01462-77.58527,1
bengaluru-bengaluru-ci-r1-1d0-t2,08:03:25,08:03:25,bengaluru-13.00672-77.59292,2
bengaluru-bengaluru-ci-r1-1d0-t2,08:07:42,08:07:42,bengaluru-12.99348-77.59722,3
bengaluru-bengaluru-ci-r1-1d0-t2,08:09:15,08:09:15,bengaluru-12.98975-77.59937,4
bengaluru-bengaluru-ci-r1-1d0-t2,08:11:40,08:11:40,bengaluru-12.98341-77.60310,5
bengaluru-bengaluru-ci-r1-1d0-t2,08:26:09,08:26:09,bengaluru-13.01511-77.56389,6
bengaluru-bengaluru-ci-r1-1d0-t3,12:00:00,12:00:00,bengaluru-13.01462-77.58527,1
bengaluru-bengaluru-ci-r1-1d0-t3,12:03:25,12:03:25,bengaluru-13.00672-77.59292,2
bengaluru-bengaluru-ci-r1-1d0-t3,12:07:42,12:07:42,bengaluru-12.99348-77.59722,3
bengaluru-bengaluru-ci-r1-1d0-t3,12:09:15,12:09:15,bengaluru-12.98975-77.59937,4
bengaluru-bengaluru-ci-r1-1d0-t3,12:11:40,12:11:40,bengaluru-12.98341-77.60310,5
bengaluru-bengaluru-ci-r1-1d0-t3,12:26:09,12:26:09,bengaluru-13.01511-77.56389,6
bengaluru-bengaluru-ci-r1-1d0-t4,17:00:00,17:00:00,bengaluru-13.01462-77.58527,1
bengaluru-bengaluru-ci-r1-1d0-t4,17:03:25,17:03:25,bengaluru-13.00672-77.59292,2
bengaluru-bengaluru-ci-r1-1d0-t4,17:07:42,17:07:42,bengaluru-12.99348-77.59722,3
bengaluru-bengaluru-ci-r1-1d0-t4,17:09:15,17:09:15,bengaluru-12.98975-77.59937,4
bengaluru-bengaluru-ci-r1-1d0-t4,17:11:40,17:11:40,bengaluru-12.98341-77.60310,5
bengaluru-bengaluru-ci-r1-1d0-t4,17:26:09,17:26:09,bengaluru-13.01511-77.56389,6
bengaluru-bengaluru-ci-r1-1d0-t5,20:00:00,20:00:00,bengaluru-13.01462-77.58527,1
bengaluru-bengaluru-ci-r1-1d0-t5,20:03:25,20:03:25,bengaluru-13.00672-77.59292,2
bengaluru-bengaluru-ci-r1-1d0-t5,20:07:42,20:07:42,bengaluru-12.99348-77.59722,3
bengaluru-bengaluru-ci-r1-1d0-t5,20:09:15,20:09:15,bengaluru-12.98975-77.59937,4
bengaluru-bengaluru-ci-r1-1d0-t5,20:11:40,20:11:40,bengaluru-12.98341-77.60310,5
bengaluru-bengaluru-ci-r1-1d0-t5,20:26:09,20:26:09,bengaluru-13.01511-77.56389,6
bengaluru-bengaluru-ci-r1-1d1-t1,06:00:00,06:00:00,bengaluru-13.01511-77.56389,1
bengaluru-bengaluru-ci-r1-1d1-t1,06:14:29,06:14:29,bengaluru-12.98341-77.60310,2
bengaluru-bengaluru-ci-r1-1d1-t1,06:16:54,06:16:54,bengaluru-12.98975-77.59937,3
bengaluru-bengaluru-ci-r1-1d1-t1,06:18:27,06:18:27,bengaluru-12.99348-77.59722,4
bengaluru-bengaluru-ci-r1-1d1-t1,06:22:44,06:22:44,bengaluru-13.00672-77.59292,5
bengaluru-bengaluru-ci-r1-1d1-t1,06:26:09,06:26:09,bengaluru-13.01462-77.58527,6
bengaluru-bengaluru-ci-r1-1d1-t2,08:00:00,08:00:00,bengaluru-13.01511-77.56389,1
bengaluru-bengaluru-ci-r1-1d1-t2,08:14:29,08:14:29,bengaluru-12.98341-77.60310,2
bengaluru-bengaluru-ci-r1-1d1-t2,08:16:54,08:16:54,bengaluru-12.98975-77.59937,3
bengaluru-bengaluru-ci-r1-1d1-t2,08:18:27,08:18:27,bengaluru-12.99348-77.59722,4
bengaluru-bengaluru-ci-r1-1d1-t2,08:22:44,08:22:44,bengaluru-13.00672-77.59292,5
bengaluru-bengaluru-ci-r1-1d1-t2,08:26:09,08:26:09,bengaluru-13.01462-77.58527,6
bengaluru-bengaluru-ci-r1-1d1-t3,12:00:00,12:00:00,bengaluru-13.01511-77.56389,1
bengaluru-bengaluru-ci-r1-1d1-t3,12:14:29,12:14:29,bengaluru-12.98341-77.60310,2
bengaluru-bengaluru-ci-r1-1d1-t3,12:16:54,12:16:54,bengaluru-12.98975-77.59937,3
bengaluru-bengaluru-ci-r1-1d1-t3,12:18:27,12:18:27,bengaluru-12.99348-77.59722,4
