route_id,service_id,trip_id,trip_headsign
bengaluru-bengaluru-me-r1,daily,bengaluru-bengaluru-me-r1-1d0-t1,G2: Sarjapura Bus Stand => Mayo Hall
bengaluru-bengaluru-me-r1,daily,bengaluru-bengaluru-me-r1-1d0-t2,G2: Sarjapura Bus Stand => Mayo Hall
bengaluru-bengaluru-me-r1,daily,bengaluru-bengaluru-me-r1-1d0-t3,G2: Sarjapura Bus Stand => Mayo Hall
bengaluru-bengaluru-me-r1,daily,bengaluru-bengaluru-me-r1-1d0-t4,G2: Sarjapura Bus Stand => Mayo Hall
bengaluru-bengaluru-me-r1,daily,bengaluru-bengaluru-me-r1-1d0-t5,G2: Sarjapura Bus Stand => Mayo Hall
bengaluru-bengaluru-me-r1,daily,bengaluru-bengaluru-me-r1-1d1-t1,G2: Sarjapura Bus Stand => Mayo Hall
bengaluru-bengaluru-me-r1,daily,bengaluru-bengaluru-me-r1-1d1-t2,G2: Sarjapura Bus Stand => Mayo Hall
bengaluru-bengaluru-me-r1,daily,bengaluru-bengaluru-me-r1-1d1-t3,G2: Sarjapura Bus Stand => Mayo Hall
bengaluru-bengaluru-me-r1,daily,bengaluru-bengaluru-me-r1-1d1-t4,G2: Sarjapura Bus Stand => Mayo Hall
bengaluru-bengaluru-me-r1,daily,bengaluru-bengaluru-me-r1-1d1-t5,G2: Sarjapura Bus Stand => Mayo Hall
bengaluru-bengaluru-me-r2,daily,bengaluru-bengaluru-me-r2-2d0-t1,G9: 5th Phase Yalahanka New Town => MG Road Metro Station
bengaluru-bengaluru-me-r2,daily,bengaluru-bengaluru-me-r2-2d0-t2,G9: 5th Phase Yalahanka New Town => MG Road Metro Station
bengaluru-bengaluru-me-r2,daily,bengaluru-bengaluru-me-r2-2d0-t3,G9: 5th Phase Yalahanka New Town => MG Road Metro Station
bengaluru-bengaluru-me-r2,daily,bengaluru-bengaluru-me-r2-2d0-t4,G9: 5th Phase Yalahanka New Town => MG Road Metro Station
bengaluru-bengaluru-me-r2,daily,bengaluru-bengaluru-me-r2-2d0-t5,G9: 5th Phase Yalahanka New Town => MG Road Metro Station
bengaluru-bengaluru-me-r2,daily,bengaluru-bengaluru-me-r2-2d1-t1,G9: 5th Phase Yalahanka New Town => MG Road Metro Station
bengaluru-bengaluru-me-r2,daily,bengaluru-bengaluru-me-r2-2d1-t2,G9: 5th Phase Yalahanka New Town => MG Road Metro Station
bengaluru-bengaluru-me-r2,daily,bengaluru-bengaluru-me-r2-2d1-t3,G9: 5th Phase Yalahanka New Town => MG Road Metro Station
bengaluru-bengaluru-me-r2,daily,bengaluru-bengaluru-me-r2-2d1-t4,G9: 5th Phase Yalahanka New Town => MG Road Metro Station
bengaluru-bengaluru-me-r2,daily,bengaluru-bengaluru-me-r2-2d1-t5,G9: 5th Phase Yalahanka New Town => MG Road Metro Station
bengaluru-bengaluru-me-r3,daily,bengaluru-bengaluru-me-r3-3d0-t1,141K: Shivajinagara Bus Station => Koramangala 1st Block
bengaluru-bengaluru-me-r3,daily,bengaluru-bengaluru-me-r3-3d0-t2,141K: Shivajinagara Bus Station => Koramangala 1st Block
bengaluru-bengaluru-me-r3,daily,bengaluru-bengaluru-me-r3-3d0-t3,141K: Shivajinagara Bus Station => Koramangala 1st Block
bengaluru-bengaluru-me-r3,daily,bengaluru-bengaluru-me-r3-3d0-t4,141K: Shivajinagara Bus Station => Koramangala 1st Block
bengaluru-bengaluru-me-r3,daily,bengaluru-bengaluru-me-r3-3d0-t5,141K: Shivajinagara Bus Station => Koramangala 1st Block
bengaluru-bengaluru-me-r3,daily,bengaluru-bengaluru-me-r3-3d1-t1,141K: Shivajinagara Bus Station => Koramangala 1st Block
bengaluru-bengaluru-me-r3,daily,bengaluru-bengaluru-me-r3-3d1-t2,141K: Shivajinagara Bus Station => Koramangala 1st Block
bengaluru-bengaluru-me-r3,daily,bengaluru-bengaluru-me-r3-3d1-t3,141K: Shivajinagara Bus Station => Koramangala 1st Block
bengaluru-bengaluru-me-r3,daily,bengaluru-bengaluru-me-r3-3d1-t4,141K: Shivajinagara Bus Station => Koramangala 1st Block
bengaluru-bengaluru-me-r3,daily,bengaluru-bengaluru-me-r3-3d1-t5,141K: Shivajinagara Bus Station => Koramangala 1st Block
bengaluru-bengaluru-me-r4,daily,bengaluru-bengaluru-me-r4-4d0-t1,141K: Koramangala 1st Block => Shivajinagara Bus Station
bengaluru-bengaluru-me-r4,daily,bengaluru-bengaluru-me-r4-4d0-t2,141K: Koramangala 1st Block => Shivajinagara Bus Station
bengaluru-bengaluru-me-r4,daily,bengaluru-bengaluru-me-r4-4d0-t3,141K: Koramangala 1st Block => Shivajinagara Bus Station
bengaluru-bengaluru-me-r4,daily,bengaluru-bengaluru-me-r4-4d0-t4,141K: Koramangala 1st Block => Shivajinagara Bus Station
bengaluru-bengaluru-me-r4,daily,bengaluru-bengaluru-me-r4-4d0-t5,141K: Koramangala 1st Block => Shivajinagara Bus Station
bengaluru-bengaluru-me-r4,daily,bengaluru-bengaluru-me-r4-4d1-t1,141K: Koramangala 1st Block => Shivajinagara Bus Station
bengaluru-bengaluru-me-r4,daily,bengaluru-bengaluru-me-r4-4d1-t2,141K: Koramangala 1st Block => Shivajinagara Bus Station
bengaluru-bengaluru-me-r4,daily,bengaluru-bengaluru-me-r4-4d1-t3,141K: Koramangala 1st Block => Shivajinagara Bus Station
bengaluru-bengaluru-me-r4,daily,bengaluru-bengaluru-me-r4-4d1-t4,141K: Koramangala 1st Block => Shivajinagara Bus Station
bengaluru-bengaluru-me-r4,daily,bengaluru-bengaluru-me-r4-4d1-t5,141K: Koramangala 1st Block => Shivajinagara Bus Station
