route_id,service_id,trip_id,trip_headsign
bengaluru-bengaluru-me-r1,daily,bengaluru-bengaluru-me-r1-1d0-t1,G2: Mayo Hall => Sarjapura Bus Stand
bengaluru-bengaluru-me-r1,daily,bengaluru-bengaluru-me-r1-1d0-t2,G2: Mayo Hall => Sarjapura Bus Stand
bengaluru-bengaluru-me-r1,daily,bengaluru-bengaluru-me-r1-1d0-t3,G2: Mayo Hall => Sarjapura Bus Stand
bengaluru-bengaluru-me-r1,daily,bengaluru-bengaluru-me-r1-1d0-t4,G2: Mayo Hall => Sarjapura Bus Stand
bengaluru-bengaluru-me-r1,daily,bengaluru-bengaluru-me-r1-1d0-t5,G2: Mayo Hall => Sarjapura Bus Stand
bengaluru-bengaluru-me-r1,daily,bengaluru-bengaluru-me-r1-1d1-t1,G2: Mayo Hall => Sarjapura Bus Stand
bengaluru-bengaluru-me-r1,daily,bengaluru-bengaluru-me-r1-1d1-t2,G2: Mayo Hall => Sarjapura Bus Stand
bengaluru-bengaluru-me-r1,daily,bengaluru-bengaluru-me-r1-1d1-t3,G2: Mayo Hall => Sarjapura Bus Stand
bengaluru-bengaluru-me-r1,daily,bengaluru-bengaluru-me-r1-1d1-t4,G2: Mayo Hall => Sarjapura Bus Stand
bengaluru-bengaluru-me-r1,daily,bengaluru-bengaluru-me-r1-1d1-t5,G2: Mayo Hall => Sarjapura Bus Stand
bengaluru-bengaluru-me-r2,daily,bengaluru-bengaluru-me-r2-2d0-t1,Bus 341C: Kodandaramanagara => KR Market
bengaluru-bengaluru-me-r2,daily,bengaluru-bengaluru-me-r2-2d0-t2,Bus 341C: Kodandaramanagara => KR Market
bengaluru-bengaluru-me-r2,daily,bengaluru-bengaluru-me-r2-2d0-t3,Bus 341C: Kodandaramanagara => KR Market
bengaluru-bengaluru-me-r2,daily,bengaluru-bengaluru-me-r2-2d0-t4,Bus 341C: Kodandaramanagara => KR Market
bengaluru-bengaluru-me-r2,daily,bengaluru-bengaluru-me-r2-2d0-t5,Bus 341C: Kodandaramanagara => KR Market
bengaluru-bengaluru-me-r2,daily,bengaluru-bengaluru-me-r2-2d1-t1,Bus 341C: Kodandaramanagara => KR Market
bengaluru-bengaluru-me-r2,daily,bengaluru-bengaluru-me-r2-2d1-t2,Bus 341C: Kodandaramanagara => KR Market
bengaluru-bengaluru-me-r2,daily,bengaluru-bengaluru-me-r2-2d1-t3,Bus 341C: Kodandaramanagara => KR Market
bengaluru-bengaluru-me-r2,daily,bengaluru-bengaluru-me-r2-2d1-t4,Bus 341C: Kodandaramanagara => KR Market
bengaluru-bengaluru-me-r2,daily,bengaluru-bengaluru-me-r2-2d1-t5,Bus 341C: Kodandaramanagara => KR Market
bengaluru-bengaluru-me-r3,daily,bengaluru-bengaluru-me-r3-3d0-t1,Bus 341C: KR Market => Kodandaramanagara
bengaluru-bengaluru-me-r3,daily,bengaluru-bengaluru-me-r3-3d0-t2,Bus 341C: KR Market => Kodandaramanagara
bengaluru-bengaluru-me-r3,daily,bengaluru-bengaluru-me-r3-3d0-t3,Bus 341C: KR Market => Kodandaramanagara
bengaluru-bengaluru-me-r3,daily,bengaluru-bengaluru-me-r3-3d0-t4,Bus 341C: KR Market => Kodandaramanagara
bengaluru-bengaluru-me-r3,daily,bengaluru-bengaluru-me-r3-3d0-t5,Bus 341C: KR Market => Kodandaramanagara
bengaluru-bengaluru-me-r3,daily,bengaluru-bengaluru-me-r3-3d1-t1,Bus 341C: KR Market => Kodandaramanagara
bengaluru-bengaluru-me-r3,daily,bengaluru-bengaluru-me-r3-3d1-t2,Bus 341C: KR Market => Kodandaramanagara
bengaluru-bengaluru-me-r3,daily,bengaluru-bengaluru-me-r3-3d1-t3,Bus 341C: KR Market => Kodandaramanagara
bengaluru-bengaluru-me-r3,daily,bengaluru-bengaluru-me-r3-3d1-t4,Bus 341C: KR Market => Kodandaramanagara
bengaluru-bengaluru-me-r3,daily,bengaluru-bengaluru-me-r3-3d1-t5,Bus 341C: KR Market => Kodandaramanagara
bengaluru-bengaluru-me-r4,daily,bengaluru-bengaluru-me-r4-4d0-t1,290E: Shivajinagara Bus Station => Yelahanka Old Town
bengaluru-bengaluru-me-r4,daily,bengaluru-bengaluru-me-r4-4d0-t2,290E: Shivajinagara Bus Station => Yelahanka Old Town
bengaluru-bengaluru-me-r4,daily,bengaluru-bengaluru-me-r4-4d0-t3,290E: Shivajinagara Bus Station => Yelahanka Old Town
bengaluru-bengaluru-me-r4,daily,bengaluru-bengaluru-me-r4-4d0-t4,290E: Shivajinagara Bus Station => Yelahanka Old Town
bengaluru-bengaluru-me-r4,daily,bengaluru-bengaluru-me-r4-4d0-t5,290E: Shivajinagara Bus Station => Yelahanka Old Town
bengaluru-bengaluru-me-r4,daily,bengaluru-bengaluru-me-r4-4d1-t1,290E: Shivajinagara Bus Station => Yelahanka Old Town
bengaluru-bengaluru-me-r4,daily,bengaluru-bengaluru-me-r4-4d1-t2,290E: Shivajinagara Bus Station => Yelahanka Old Town
bengaluru-bengaluru-me-r4,daily,bengaluru-bengaluru-me-r4-4d1-t3,290E: Shivajinagara Bus Station => Yelahanka Old Town
bengaluru-bengaluru-me-r4,daily,bengaluru-bengaluru-me-r4-4d1-t4,290E: Shivajinagara Bus Station => Yelahanka Old Town
bengaluru-bengaluru-me-r4,daily,bengaluru-bengaluru-me-r4-4d1-t5,290E: Shivajinagara Bus Station => Yelahanka Old Town
bengaluru-bengaluru-me-r5,daily,bengaluru-bengaluru-me-r5-5d0-t1,G10: KR Market => Yelahanka Old Town
bengaluru-bengaluru-me-r5,daily,bengaluru-bengaluru-me-r5-5d0-t2,G10: KR Market => Yelahanka Old Town
bengaluru-bengaluru-me-r5,daily,bengaluru-bengaluru-me-r5-5d0-t3,G10: KR Market => Yelahanka Old Town
bengaluru-bengaluru-me-r5,daily,bengaluru-bengaluru-me-r5-5d0-t4,G10: KR Market => Yelahanka Old Town
bengaluru-bengaluru-me-r5,daily,bengaluru-bengaluru-me-r5-5d0-t5,G10: KR Market => Yelahanka Old Town
bengaluru-bengaluru-me-r5,daily,bengaluru-bengaluru-me-r5-5d1-t1,G10: KR Market => Yelahanka Old Town
bengaluru-bengaluru-me-r5,daily,bengaluru-bengaluru-me-r5-5d1-t2,G10: KR Market => Yelahanka Old Town
bengaluru-bengaluru-me-r5,daily,bengaluru-bengaluru-me-r5-5d1-t3,G10: KR Market => Yelahanka Old Town
bengaluru-bengaluru-me-r5,daily,bengaluru-bengaluru-me-r5-5d1-t4,G10: KR Market => Yelahanka Old Town
bengaluru-bengaluru-me-r5,daily,bengaluru-bengaluru-me-r5-5d1-t5,G10: KR Market => Yelahanka Old Town
