route_id,service_id,trip_id,trip_headsign
bengaluru-bmtc-r1,daily,bengaluru-bmtc-r1-1d0-t1,333P
bengaluru-bmtc-r1,daily,bengaluru-bmtc-r1-1d0-t2,333P
bengaluru-bmtc-r1,daily,bengaluru-bmtc-r1-1d0-t3,333P
bengaluru-bmtc-r1,daily,bengaluru-bmtc-r1-1d0-t4,333P
bengaluru-bmtc-r1,daily,bengaluru-bmtc-r1-1d0-t5,333P
bengaluru-bmtc-r1,daily,bengaluru-bmtc-r1-1d1-t1,333P
bengaluru-bmtc-r1,daily,bengaluru-bmtc-r1-1d1-t2,333P
bengaluru-bmtc-r1,daily,bengaluru-bmtc-r1-1d1-t3,333P
bengaluru-bmtc-r1,daily,bengaluru-bmtc-r1-1d1-t4,333P
bengaluru-bmtc-r1,daily,bengaluru-bmtc-r1-1d1-t5,333P
bengaluru-bmtc-r2,daily,bengaluru-bmtc-r2-2d0-t1,276: Majestic => Vidyaranyapura
bengaluru-bmtc-r2,daily,bengaluru-bmtc-r2-2d0-t2,276: Majestic => Vidyaranyapura
bengaluru-bmtc-r2,daily,bengaluru-bmtc-r2-2d0-t3,276: Majestic => Vidyaranyapura
bengaluru-bmtc-r2,daily,bengaluru-bmtc-r2-2d0-t4,276: Majestic => Vidyaranyapura
bengaluru-bmtc-r2,daily,bengaluru-bmtc-r2-2d0-t5,276: Majestic => Vidyaranyapura
bengaluru-bmtc-r2,daily,bengaluru-bmtc-r2-2d1-t1,276: Majestic => Vidyaranyapura
bengaluru-bmtc-r2,daily,bengaluru-bmtc-r2-2d1-t2,276: Majestic => Vidyaranyapura
bengaluru-bmtc-r2,daily,bengaluru-bmtc-r2-2d1-t3,276: Majestic => Vidyaranyapura
bengaluru-bmtc-r2,daily,bengaluru-bmtc-r2-2d1-t4,276: Majestic => Vidyaranyapura
bengaluru-bmtc-r2,daily,bengaluru-bmtc-r2-2d1-t5,276: Majestic => Vidyaranyapura
bengaluru-bmtc-r3,daily,bengaluru-bmtc-r3-3d0-t1,Bus 335E: Kadugodi Bus Station => Kempegowda Bus Station
bengaluru-bmtc-r3,daily,bengaluru-bmtc-r3-3d0-t2,Bus 335E: Kadugodi Bus Station => Kempegowda Bus Station
bengaluru-bmtc-r3,daily,bengaluru-bmtc-r3-3d0-t3,Bus 335E: Kadugodi Bus Station => Kempegowda Bus Station
bengaluru-bmtc-r3,daily,bengaluru-bmtc-r3-3d0-t4,Bus 335E: Kadugodi Bus Station => Kempegowda Bus Station
bengaluru-bmtc-r3,daily,bengaluru-bmtc-r3-3d0-t5,Bus 335E: Kadugodi Bus Station => Kempegowda Bus Station
bengaluru-bmtc-r3,daily,bengaluru-bmtc-r3-3d1-t1,Bus 335E: Kadugodi Bus Station => Kempegowda Bus Station
bengaluru-bmtc-r3,daily,bengaluru-bmtc-r3-3d1-t2,Bus 335E: Kadugodi Bus Station => Kempegowda Bus Station
bengaluru-bmtc-r3,daily,bengaluru-bmtc-r3-3d1-t3,Bus 335E: Kadugodi Bus Station => Kempegowda Bus Station
bengaluru-bmtc-r3,daily,bengaluru-bmtc-r3-3d1-t4,Bus 335E: Kadugodi Bus Station => Kempegowda Bus Station
bengaluru-bmtc-r3,daily,bengaluru-bmtc-r3-3d1-t5,Bus 335E: Kadugodi Bus Station => Kempegowda Bus Station
bengaluru-bmtc-r4,daily,bengaluru-bmtc-r4-4d0-t1,KIA8: Electronic City => Kempegowda International Airport Limited
