stop_id,stop_name,stop_lat,stop_lon
bengaluru-13.00015-77.64090,Bengaluru stop,13.000146,77.640904
bengaluru-12.99973-77.64126,Bengaluru stop,12.999733,77.641258
bengaluru-13.10447-77.59206,Bengaluru stop,13.104474,77.592059
bengaluru-13.10403-77.59214,Bengaluru stop,13.104032,77.592144
bengaluru-14.68640-77.59486,Bengaluru stop,14.686397,77.594859
bengaluru-15.17330-77.36954,Bengaluru stop,15.173304,77.369535
bengaluru-15.17464-77.36716,Bengaluru stop,15.174642,77.367155
bengaluru-15.94462-77.29795,Bengaluru stop,15.944615,77.297951
bengaluru-16.19372-77.33945,Bengaluru stop,16.193721,77.339447
bengaluru-16.19330-77.33938,Bengaluru stop,16.193304,77.339384
bengaluru-16.74415-77.12976,Bengaluru stop,16.744154,77.129755
bengaluru-17.31470-76.82487,Bengaluru stop,17.314696,76.82487
