stop_id,stop_name,stop_lat,stop_lon
bengaluru-12.92096-77.58009,Bengaluru stop,12.92096,77.580095
bengaluru-12.91709-77.58870,Bengaluru stop,12.917089,77.588698
bengaluru-12.91676-77.60044,Bengaluru stop,12.916764,77.600442
bengaluru-12.91660-77.60862,Bengaluru stop,12.916598,77.608622
bengaluru-12.91673-77.62103,Bengaluru stop,12.916734,77.621026
bengaluru-12.91030-77.62670,Bengaluru stop,12.910304,77.626704
bengaluru-12.90133-77.63224,Bengaluru stop,12.901332,77.632242
bengaluru-12.88956-77.63947,Bengaluru stop,12.889561,77.63947
bengaluru-12.88043-77.64511,Bengaluru stop,12.880432,77.645107
bengaluru-12.87040-77.65275,Bengaluru stop,12.8704,77.652746
bengaluru-12.86357-77.65820,Bengaluru stop,12.863566,77.658196
bengaluru-12.85628-77.66374,Bengaluru stop,12.856279,77.663735
bengaluru-12.84609-77.67145,Bengaluru stop,12.846089,77.671452
bengaluru-12.83872-77.67773,Bengaluru stop,12.838717,77.677734
bengaluru-12.82859-77.68155,Bengaluru stop,12.828587,77.68155
bengaluru-12.81909-77.68866,Bengaluru stop,12.819088,77.688657
