route_id,service_id,trip_id,trip_headsign
bengaluru-namma-metro-r1,daily,bengaluru-namma-metro-r1-1d0-t1,Yellow Line (Rashtreeya Vidyalaya Road → Delta Electronics Bommasandra)
bengaluru-namma-metro-r1,daily,bengaluru-namma-metro-r1-1d0-t2,Yellow Line (Rashtreeya Vidyalaya Road → Delta Electronics Bommasandra)
bengaluru-namma-metro-r1,daily,bengaluru-namma-metro-r1-1d0-t3,Yellow Line (Rashtreeya Vidyalaya Road → Delta Electronics Bommasandra)
bengaluru-namma-metro-r1,daily,bengaluru-namma-metro-r1-1d0-t4,Yellow Line (Rashtreeya Vidyalaya Road → Delta Electronics Bommasandra)
bengaluru-namma-metro-r1,daily,bengaluru-namma-metro-r1-1d0-t5,Yellow Line (Rashtreeya Vidyalaya Road → Delta Electronics Bommasandra)
bengaluru-namma-metro-r1,daily,bengaluru-namma-metro-r1-1d1-t1,Yellow Line (Rashtreeya Vidyalaya Road → Delta Electronics Bommasandra)
bengaluru-namma-metro-r1,daily,bengaluru-namma-metro-r1-1d1-t2,Yellow Line (Rashtreeya Vidyalaya Road → Delta Electronics Bommasandra)
bengaluru-namma-metro-r1,daily,bengaluru-namma-metro-r1-1d1-t3,Yellow Line (Rashtreeya Vidyalaya Road → Delta Electronics Bommasandra)
bengaluru-namma-metro-r1,daily,bengaluru-namma-metro-r1-1d1-t4,Yellow Line (Rashtreeya Vidyalaya Road → Delta Electronics Bommasandra)
bengaluru-namma-metro-r1,daily,bengaluru-namma-metro-r1-1d1-t5,Yellow Line (Rashtreeya Vidyalaya Road → Delta Electronics Bommasandra)
