stop_id,stop_name,stop_lat,stop_lon
bengaluru-28.58878-77.25424,Bengaluru stop,28.588784,77.254236
bengaluru-27.15973-77.99051,Bengaluru stop,27.159727,77.990509
bengaluru-27.15894-77.99030,Bengaluru stop,27.158936,77.990304
bengaluru-26.21634-78.18259,Bengaluru stop,26.216342,78.182593
bengaluru-26.21551-78.18183,Bengaluru stop,26.21551,78.181825
bengaluru-25.44635-78.55290,Bengaluru stop,25.446348,78.552905
bengaluru-25.44514-78.55300,Bengaluru stop,25.445144,78.553003
bengaluru-23.26796-77.41387,Bengaluru stop,23.267955,77.413868
bengaluru-22.60753-77.76559,Bengaluru stop,22.607529,77.765586
bengaluru-22.60787-77.76660,Bengaluru stop,22.607871,77.766604
bengaluru-21.15189-79.08859,Bengaluru stop,21.151891,79.088587
bengaluru-21.15229-79.08851,Bengaluru stop,21.152293,79.08851
bengaluru-19.85032-79.34729,Bengaluru stop,19.850324,79.347288
bengaluru-17.97314-79.50969,Bengaluru stop,17.973142,79.509687
bengaluru-17.97441-79.51146,Bengaluru stop,17.974405,79.511461
bengaluru-17.43291-78.50287,Bengaluru stop,17.432906,78.502866
bengaluru-17.18089-77.28469,Bengaluru stop,17.180894,77.284689
bengaluru-16.19357-77.33962,Bengaluru stop,16.193568,77.339625
bengaluru-15.17507-77.36649,Bengaluru stop,15.17507,77.366488
bengaluru-15.17476-77.36722,Bengaluru stop,15.174759,77.367221
bengaluru-14.42565-77.71665,Bengaluru stop,14.425652,77.716654
bengaluru-14.42618-77.71566,Bengaluru stop,14.426179,77.715656
bengaluru-14.16128-77.75870,Bengaluru stop,14.16128,77.758702
bengaluru-14.16163-77.75899,Bengaluru stop,14.161626,77.758988
bengaluru-12.97854-77.56813,Bengaluru stop,12.978544,77.568131
bengaluru-16.19372-77.33945,Bengaluru stop,16.193721,77.339447
bengaluru-16.19330-77.33938,Bengaluru stop,16.193304,77.339384
bengaluru-17.18109-77.28436,Bengaluru stop,17.181088,77.284357
bengaluru-17.18123-77.28494,Bengaluru stop,17.181233,77.28494
bengaluru-17.43344-78.50135,Bengaluru stop,17.433443,78.501354
bengaluru-17.97363-79.50999,Bengaluru stop,17.973631,79.509994
bengaluru-17.97454-79.51134,Bengaluru stop,17.974542,79.511343
bengaluru-19.84996-79.34714,Bengaluru stop,19.84996,79.347141
bengaluru-19.84934-79.34776,Bengaluru stop,19.849341,79.347758
bengaluru-21.15220-79.08835,Bengaluru stop,21.1522,79.088352
bengaluru-22.60800-77.76622,Bengaluru stop,22.608002,77.766215
bengaluru-23.26675-77.41319,Bengaluru stop,23.266746,77.413187
bengaluru-23.26827-77.41374,Bengaluru stop,23.268268,77.413745
bengaluru-25.44583-78.55271,Bengaluru stop,25.445831,78.552707
bengaluru-25.44514-78.55276,Bengaluru stop,25.44514,78.552764
bengaluru-26.21599-78.18194,Bengaluru stop,26.215989,78.181938
bengaluru-26.21559-78.18171,Bengaluru stop,26.215592,78.181712
bengaluru-27.15718-77.98987,Bengaluru stop,27.157177,77.989867
bengaluru-27.15895-77.99016,Bengaluru stop,27.158947,77.990156
bengaluru-28.58801-77.25448,Bengaluru stop,28.588008,77.254475
bengaluru-28.58902-77.25435,Bengaluru stop,28.589022,77.254354
bengaluru-11.87144-75.36805,Bengaluru stop,11.871439,75.368045
bengaluru-11.87225-75.36731,Bengaluru stop,11.87225,75.367309
bengaluru-12.09134-75.19541,Bengaluru stop,12.091338,75.195412
bengaluru-12.25588-75.13580,Bengaluru stop,12.255877,75.135796
bengaluru-12.32010-75.08474,Bengaluru stop,12.320099,75.084744
bengaluru-12.49183-74.98732,Bengaluru stop,12.491833,74.987317
bengaluru-12.86179-74.84353,Bengaluru stop,12.861791,74.843532
bengaluru-12.86250-74.84347,Bengaluru stop,12.862502,74.843466
bengaluru-12.86651-74.87979,Bengaluru stop,12.866511,74.879792
bengaluru-12.87806-75.03394,Bengaluru stop,12.87806,75.033944
bengaluru-12.76875-75.20495,Bengaluru stop,12.768754,75.204952
bengaluru-12.73173-75.55789,Bengaluru stop,12.731734,75.557891
bengaluru-12.94553-75.77892,Bengaluru stop,12.94553,75.778916
bengaluru-13.00331-76.11738,Bengaluru stop,13.003313,76.117385
bengaluru-12.89246-76.39389,Bengaluru stop,12.892458,76.393886
bengaluru-12.87159-76.46578,Bengaluru stop,12.87159,76.465783
bengaluru-12.96860-76.73308,Bengaluru stop,12.968599,76.733083
bengaluru-13.01642-77.01116,Bengaluru stop,13.016415,77.011165
bengaluru-13.02367-77.55152,Bengaluru stop,13.023672,77.551522
