route_id,service_id,trip_id,trip_headsign
bengaluru-south-wester-r1,daily,bengaluru-south-wester-r1-1d0-t1,Train Rajdhani Express 22692: Hazrat Nizamuddin → Bengaluru
bengaluru-south-wester-r1,daily,bengaluru-south-wester-r1-1d0-t2,Train Rajdhani Express 22692: Hazrat Nizamuddin → Bengaluru
bengaluru-south-wester-r1,daily,bengaluru-south-wester-r1-1d0-t3,Train Rajdhani Express 22692: Hazrat Nizamuddin → Bengaluru
bengaluru-south-wester-r1,daily,bengaluru-south-wester-r1-1d0-t4,Train Rajdhani Express 22692: Hazrat Nizamuddin → Bengaluru
bengaluru-south-wester-r1,daily,bengaluru-south-wester-r1-1d0-t5,Train Rajdhani Express 22692: Hazrat Nizamuddin → Bengaluru
bengaluru-south-wester-r1,daily,bengaluru-south-wester-r1-1d1-t1,Train Rajdhani Express 22692: Hazrat Nizamuddin → Bengaluru
bengaluru-south-wester-r1,daily,bengaluru-south-wester-r1-1d1-t2,Train Rajdhani Express 22692: Hazrat Nizamuddin → Bengaluru
bengaluru-south-wester-r1,daily,bengaluru-south-wester-r1-1d1-t3,Train Rajdhani Express 22692: Hazrat Nizamuddin → Bengaluru
bengaluru-south-wester-r1,daily,bengaluru-south-wester-r1-1d1-t4,Train Rajdhani Express 22692: Hazrat Nizamuddin → Bengaluru
bengaluru-south-wester-r1,daily,bengaluru-south-wester-r1-1d1-t5,Train Rajdhani Express 22692: Hazrat Nizamuddin → Bengaluru
bengaluru-south-wester-r2,daily,bengaluru-south-wester-r2-2d0-t1,Train Rajdhani Express 22691: Bengaluru → Hazrat Nizamuddin
bengaluru-south-wester-r2,daily,bengaluru-south-wester-r2-2d0-t2,Train Rajdhani Express 22691: Bengaluru → Hazrat Nizamuddin
bengaluru-south-wester-r2,daily,bengaluru-south-wester-r2-2d0-t3,Train Rajdhani Express 22691: Bengaluru → Hazrat Nizamuddin
bengaluru-south-wester-r2,daily,bengaluru-south-wester-r2-2d0-t4,Train Rajdhani Express 22691: Bengaluru → Hazrat Nizamuddin
bengaluru-south-wester-r2,daily,bengaluru-south-wester-r2-2d0-t5,Train Rajdhani Express 22691: Bengaluru → Hazrat Nizamuddin
bengaluru-south-wester-r2,daily,bengaluru-south-wester-r2-2d1-t1,Train Rajdhani Express 22691: Bengaluru → Hazrat Nizamuddin
bengaluru-south-wester-r2,daily,bengaluru-south-wester-r2-2d1-t2,Train Rajdhani Express 22691: Bengaluru → Hazrat Nizamuddin
bengaluru-south-wester-r2,daily,bengaluru-south-wester-r2-2d1-t3,Train Rajdhani Express 22691: Bengaluru → Hazrat Nizamuddin
bengaluru-south-wester-r2,daily,bengaluru-south-wester-r2-2d1-t4,Train Rajdhani Express 22691: Bengaluru → Hazrat Nizamuddin
bengaluru-south-wester-r2,daily,bengaluru-south-wester-r2-2d1-t5,Train Rajdhani Express 22691: Bengaluru → Hazrat Nizamuddin
bengaluru-south-wester-r3,daily,bengaluru-south-wester-r3-3d0-t1,Daily Express 16512: Kannur → KSR Bengaluru
bengaluru-south-wester-r3,daily,bengaluru-south-wester-r3-3d0-t2,Daily Express 16512: Kannur → KSR Bengaluru
bengaluru-south-wester-r3,daily,bengaluru-south-wester-r3-3d0-t3,Daily Express 16512: Kannur → KSR Bengaluru
bengaluru-south-wester-r3,daily,bengaluru-south-wester-r3-3d0-t4,Daily Express 16512: Kannur → KSR Bengaluru
bengaluru-south-wester-r3,daily,bengaluru-south-wester-r3-3d0-t5,Daily Express 16512: Kannur → KSR Bengaluru
bengaluru-south-wester-r3,daily,bengaluru-south-wester-r3-3d1-t1,Daily Express 16512: Kannur → KSR Bengaluru
bengaluru-south-wester-r3,daily,bengaluru-south-wester-r3-3d1-t2,Daily Express 16512: Kannur → KSR Bengaluru
bengaluru-south-wester-r3,daily,bengaluru-south-wester-r3-3d1-t3,Daily Express 16512: Kannur → KSR Bengaluru
bengaluru-south-wester-r3,daily,bengaluru-south-wester-r3-3d1-t4,Daily Express 16512: Kannur → KSR Bengaluru
bengaluru-south-wester-r3,daily,bengaluru-south-wester-r3-3d1-t5,Daily Express 16512: Kannur → KSR Bengaluru
