stop_id,stop_name,stop_lat,stop_lon
bengaluru-12.99240-77.60233,Bengaluru stop,12.992399,77.602332
bengaluru-12.71768-77.82304,Bengaluru stop,12.717679,77.823039
bengaluru-12.12639-78.15414,Bengaluru stop,12.126385,78.154144
bengaluru-11.67009-78.11354,Bengaluru stop,11.67009,78.113544
bengaluru-11.67051-78.11347,Bengaluru stop,11.670506,78.113466
bengaluru-11.32734-77.72511,Bengaluru stop,11.327342,77.725112
bengaluru-11.32796-77.72605,Bengaluru stop,11.327963,77.726053
bengaluru-11.10841-77.33868,Bengaluru stop,11.108408,77.338684
bengaluru-11.10866-77.33967,Bengaluru stop,11.108655,77.339666
bengaluru-10.99748-76.96660,Bengaluru stop,10.997485,76.966601
