stop_id,stop_name,stop_lat,stop_lon
bengaluru-12.99240-77.60233,Bengaluru stop,12.992399,77.602332
bengaluru-13.00058-77.67382,Bengaluru stop,13.000585,77.673818
bengaluru-13.00080-77.67555,Bengaluru stop,13.000799,77.675553
bengaluru-11.67009-78.11354,Bengaluru stop,11.67009,78.113544
bengaluru-11.67051-78.11347,Bengaluru stop,11.670506,78.113466
bengaluru-11.22474-78.17921,Bengaluru stop,11.224743,78.179208
bengaluru-11.22594-78.17944,Bengaluru stop,11.225936,78.179441
bengaluru-10.96633-78.08448,Bengaluru stop,10.966334,78.084482
bengaluru-10.96587-78.08622,Bengaluru stop,10.965869,78.086222
bengaluru-10.79407-78.68581,Bengaluru stop,10.794071,78.685812
bengaluru-10.79443-78.68625,Bengaluru stop,10.794427,78.686252
bengaluru-10.35294-77.98487,Bengaluru stop,10.352938,77.984865
bengaluru-9.92079-78.11071,Bengaluru stop,9.92079,78.110714
bengaluru-9.91928-78.11020,Bengaluru stop,9.919278,78.110205
