stop_id,stop_name,stop_lat,stop_lon
bhopal-23.20985-77.45607,Bhopal stop,23.209851,77.456069
bhopal-23.21650-77.45104,Bhopal stop,23.216499,77.451038
bhopal-23.21618-77.44327,Bhopal stop,23.216182,77.44327
bhopal-23.22128-77.43837,Bhopal stop,23.22128,77.438371
bhopal-23.22766-77.43522,Bhopal stop,23.227658,77.435223
bhopal-23.23248-77.43168,Bhopal stop,23.232477,77.431682
bhopal-23.24024-77.43161,Bhopal stop,23.240239,77.431606
bhopal-23.24781-77.43001,Bhopal stop,23.247812,77.430012
bhopal-23.24778-77.42998,Bhopal stop,23.247783,77.429985
bhopal-23.24025-77.43156,Bhopal stop,23.240249,77.431561
bhopal-23.23245-77.43165,Bhopal stop,23.232451,77.431651
bhopal-23.22765-77.43518,Bhopal stop,23.227645,77.435182
bhopal-23.22126-77.43833,Bhopal stop,23.221264,77.438327
bhopal-23.21613-77.44327,Bhopal stop,23.21613,77.443273
bhopal-23.21647-77.45104,Bhopal stop,23.21647,77.45104
bhopal-23.20984-77.45603,Bhopal stop,23.209836,77.456028
