trip_id,arrival_time,departure_time,stop_id,stop_sequence
bhopal-south-wester-r1-1d0-t1,06:00:00,06:00:00,bhopal-28.58878-77.25424,1
bhopal-south-wester-r1-1d0-t1,10:02:50,10:02:50,bhopal-27.15973-77.99051,2
bhopal-south-wester-r1-1d0-t1,10:04:00,10:04:00,bhopal-27.15894-77.99030,3
bhopal-south-wester-r1-1d0-t1,12:32:18,12:32:18,bhopal-26.21634-78.18259,4
bhopal-south-wester-r1-1d0-t1,12:33:28,12:33:28,bhopal-26.21551-78.18183,5
bhopal-south-wester-r1-1d0-t1,14:43:18,14:43:18,bhopal-25.44635-78.55290,6
bhopal-south-wester-r1-1d0-t1,14:44:28,14:44:28,bhopal-25.44514-78.55300,7
bhopal-south-wester-r1-1d0-t1,20:57:16,20:57:16,bhopal-23.26796-77.41387,8
bhopal-south-wester-r1-1d0-t1,22:51:12,22:51:12,bhopal-22.60753-77.76559,9
bhopal-south-wester-r1-1d0-t1,22:52:22,22:52:22,bhopal-22.60787-77.76660,10
bhopal-south-wester-r1-1d0-t1,27:46:43,27:46:43,bhopal-21.15189-79.08859,11
bhopal-south-wester-r1-1d0-t1,27:47:53,27:47:53,bhopal-21.15229-79.08851,12
bhopal-south-wester-r1-1d0-t1,31:12:44,31:12:44,bhopal-19.85032-79.34729,13
bhopal-south-wester-r1-1d0-t1,36:03:56,36:03:56,bhopal-17.97314-79.50969,14
bhopal-south-wester-r1-1d0-t1,36:05:06,36:05:06,bhopal-17.97441-79.51146,15
bhopal-south-wester-r1-1d0-t1,38:55:45,38:55:45,bhopal-17.43291-78.50287,16
bhopal-south-wester-r1-1d0-t1,41:59:51,41:59:51,bhopal-17.18089-77.28469,17
bhopal-south-wester-r1-1d0-t1,44:32:52,44:32:52,bhopal-16.19357-77.33962,18
bhopal-south-wester-r1-1d0-t1,47:10:32,47:10:32,bhopal-15.17507-77.36649,19
bhopal-south-wester-r1-1d0-t1,47:11:42,47:11:42,bhopal-15.17476-77.36722,20
bhopal-south-wester-r1-1d0-t1,49:18:56,49:18:56,bhopal-14.42565-77.71665,21
bhopal-south-wester-r1-1d0-t1,49:20:06,49:20:06,bhopal-14.42618-77.71566,22
bhopal-south-wester-r1-1d0-t1,50:01:50,50:01:50,bhopal-14.16128-77.75870,23
bhopal-south-wester-r1-1d0-t1,50:03:00,50:03:00,bhopal-14.16163-77.75899,24
bhopal-south-wester-r1-1d0-t1,53:08:16,53:08:16,bhopal-12.97854-77.56813,25
bhopal-south-wester-r1-1d0-t2,08:00:00,08:00:00,bhopal-28.58878-77.25424,1
bhopal-south-wester-r1-1d0-t2,12:02:50,12:02:50,bhopal-27.15973-77.99051,2
bhopal-south-wester-r1-1d0-t2,12:04:00,12:04:00,bhopal-27.15894-77.99030,3
bhopal-south-wester-r1-1d0-t2,14:32:18,14:32:18,bhopal-26.21634-78.18259,4
bhopal-south-wester-r1-1d0-t2,14:33:28,14:33:28,bhopal-26.21551-78.18183,5
bhopal-south-wester-r1-1d0-t2,16:43:18,16:43:18,bhopal-25.44635-78.55290,6
bhopal-south-wester-r1-1d0-t2,16:44:28,16:44:28,bhopal-25.44514-78.55300,7
bhopal-south-wester-r1-1d0-t2,22:57:16,22:57:16,bhopal-23.26796-77.41387,8
bhopal-south-wester-r1-1d0-t2,24:51:12,24:51:12,bhopal-22.60753-77.76559,9
bhopal-south-wester-r1-1d0-t2,24:52:22,24:52:22,bhopal-22.60787-77.76660,10
bhopal-south-wester-r1-1d0-t2,29:46:43,29:46:43,bhopal-21.15189-79.08859,11
bhopal-south-wester-r1-1d0-t2,29:47:53,29:47:53,bhopal-21.15229-79.08851,12
bhopal-south-wester-r1-1d0-t2,33:12:44,33:12:44,bhopal-19.85032-79.34729,13
bhopal-south-wester-r1-1d0-t2,38:03:56,38:03:56,bhopal-17.97314-79.50969,14
bhopal-south-wester-r1-1d0-t2,38:05:06,38:05:06,bhopal-17.97441-79.51146,15
bhopal-south-wester-r1-1d0-t2,40:55:45,40:55:45,bhopal-17.43291-78.50287,16
bhopal-south-wester-r1-1d0-t2,43:59:51,43:59:51,bhopal-17.18089-77.28469,17
bhopal-south-wester-r1-1d0-t2,46:32:52,46:32:52,bhopal-16.19357-77.33962,18
bhopal-south-wester-r1-1d0-t2,49:10:32,49:10:32,bhopal-15.17507-77.36649,19
bhopal-south-wester-r1-1d0-t2,49:11:42,49:11:42,bhopal-15.17476-77.36722,20
bhopal-south-wester-r1-1d0-t2,51:18:56,51:18:56,bhopal-14.42565-77.71665,21
bhopal-south-wester-r1-1d0-t2,51:20:06,51:20:06,bhopal-14.42618-77.71566,22
bhopal-south-wester-r1-1d0-t2,52:01:50,52:01:50,bhopal-14.16128-77.75870,23
bhopal-south-wester-r1-1d0-t2,52:03:00,52:03:00,bhopal-14.16163-77.75899,24
bhopal-south-wester-r1-1d0-t2,55:08:16,55:08:16,bhopal-12.97854-77.56813,25
bhopal-south-wester-r1-1d0-t3,12:00:00,12:00:00,bhopal-28.58878-77.25424,1
bhopal-south-wester-r1-1d0-t3,16:02:50,16:02:50,bhopal-27.15973-77.99051,2
bhopal-south-wester-r1-1d0-t3,16:04:00,16:04:00,bhopal-27.15894-77.99030,3
bhopal-south-wester-r1-1d0-t3,18:32:18,18:32:18,bhopal-26.21634-78.18259,4
bhopal-south-wester-r1-1d0-t3,18:33:28,18:33:28,bhopal-26.21551-78.18183,5
bhopal-south-wester-r1-1d0-t3,20:43:18,20:43:18,bhopal-25.44635-78.55290,6
