stop_id,stop_name,stop_lat,stop_lon
bulandshahr-28.64157-77.22068,Bulandshahr stop,28.641571,77.220684
bulandshahr-28.64251-77.22061,Bulandshahr stop,28.642512,77.220615
bulandshahr-26.45435-80.35093,Bulandshahr stop,26.454355,80.350925
bulandshahr-25.44577-81.82704,Bulandshahr stop,25.445771,81.827041
bulandshahr-25.44535-81.82975,Bulandshahr stop,25.445352,81.829754
bulandshahr-25.27933-83.12035,Bulandshahr stop,25.279329,83.120352
bulandshahr-25.27887-83.11974,Bulandshahr stop,25.278866,83.119735
bulandshahr-25.60342-85.13795,Bulandshahr stop,25.60342,85.137949
bulandshahr-25.60321-85.13748,Bulandshahr stop,25.603215,85.137483
bulandshahr-24.51543-86.64402,Bulandshahr stop,24.51543,86.644022
bulandshahr-24.51501-86.64419,Bulandshahr stop,24.515005,86.644186
bulandshahr-24.27121-86.64233,Bulandshahr stop,24.271207,86.642327
bulandshahr-24.27086-86.64261,Bulandshahr stop,24.270855,86.642612
bulandshahr-23.25009-87.86994,Bulandshahr stop,23.250094,87.869945
bulandshahr-22.58494-88.33967,Bulandshahr stop,22.584944,88.339669
bulandshahr-22.58383-88.34245,Bulandshahr stop,22.583829,88.342448
bulandshahr-22.58501-88.33914,Bulandshahr stop,22.585008,88.339145
bulandshahr-22.58355-88.34231,Bulandshahr stop,22.583553,88.342315
bulandshahr-23.69121-86.97518,Bulandshahr stop,23.691206,86.975176
bulandshahr-23.69113-86.97575,Bulandshahr stop,23.691127,86.975746
bulandshahr-23.79172-86.42867,Bulandshahr stop,23.791724,86.428669
bulandshahr-23.79110-86.42964,Bulandshahr stop,23.791098,86.429636
bulandshahr-23.98796-86.03758,Bulandshahr stop,23.98796,86.037577
bulandshahr-23.98751-86.03786,Bulandshahr stop,23.987506,86.037856
bulandshahr-24.80412-84.99985,Bulandshahr stop,24.804124,84.999848
bulandshahr-24.80344-84.99953,Bulandshahr stop,24.803445,84.999526
bulandshahr-25.27816-83.11963,Bulandshahr stop,25.278161,83.119626
bulandshahr-25.27836-83.12002,Bulandshahr stop,25.278361,83.120024
bulandshahr-25.44561-81.82456,Bulandshahr stop,25.445613,81.824563
bulandshahr-25.44550-81.82616,Bulandshahr stop,25.445499,81.826161
bulandshahr-26.45426-80.35194,Bulandshahr stop,26.454261,80.351936
bulandshahr-26.45409-80.35129,Bulandshahr stop,26.454093,80.35129
bulandshahr-28.64372-77.21977,Bulandshahr stop,28.643724,77.219774
bulandshahr-28.64242-77.21996,Bulandshahr stop,28.642417,77.21996
bulandshahr-26.45440-80.35039,Bulandshahr stop,26.454401,80.35039
bulandshahr-26.45454-80.35116,Bulandshahr stop,26.454537,80.351162
bulandshahr-25.27909-83.11959,Bulandshahr stop,25.279094,83.119593
bulandshahr-24.80189-84.99921,Bulandshahr stop,24.80189,84.99921
bulandshahr-24.80347-84.99935,Bulandshahr stop,24.803466,84.999349
bulandshahr-23.98803-86.03776,Bulandshahr stop,23.98803,86.037759
bulandshahr-23.98752-86.03790,Bulandshahr stop,23.98752,86.037899
bulandshahr-23.79159-86.42947,Bulandshahr stop,23.791589,86.429471
bulandshahr-23.79131-86.42978,Bulandshahr stop,23.791312,86.429777
bulandshahr-23.69147-86.97491,Bulandshahr stop,23.691472,86.974907
bulandshahr-23.69118-86.97576,Bulandshahr stop,23.69118,86.975757
bulandshahr-23.24985-87.86966,Bulandshahr stop,23.249846,87.869662
bulandshahr-23.24925-87.87011,Bulandshahr stop,23.24925,87.870114
bulandshahr-24.27075-86.64241,Bulandshahr stop,24.270753,86.642411
bulandshahr-24.51584-86.64349,Bulandshahr stop,24.515839,86.643486
bulandshahr-24.51497-86.64404,Bulandshahr stop,24.514973,86.644042
bulandshahr-25.60303-85.13817,Bulandshahr stop,25.603033,85.138173
bulandshahr-25.60290-85.13760,Bulandshahr stop,25.602897,85.137597
