stop_id,stop_name,stop_lat,stop_lon
S_AADHITHANAR_SALAI_PUTHUPET,Aadhithanar Salai Puthupet,13.068,80.261
S_AATHI_NAGAR,Aathi Nagar,12.92,80.135
S_ABIRAMI_THEATRE,Abirami Theatre,13.087,80.256
S_ADYAR_DEPOT,Adyar Depot,13.0055,80.257
S_ADYAR_OLD_DEPOT,Adyar Old Depot,13.006,80.257
S_ADYAR_O_T,Adyar O.T.,13.006,80.257
S_ALANDUR_CEMENT_ROAD,Alandur Cement Road,12.992,80.196
S_ALANDUR_DEPOT,Alandur Depot,12.995,80.198
S_AMINJIKARAI,Aminjikarai,13.074,80.226
S_AMINJIKARAI_TOLL_GATE,Aminjikarai Toll Gate,13.072,80.232
S_AMPA_SKYWALK,Ampa Skywalk,13.071,80.224
S_ANAND_THEATRE,Anand Theatre,13.05,80.25
S_ANNA_SQUARE,Anna Square,13.062,80.283
S_ANNA_UNIVERSITY,Anna University,13.011,80.235
S_ARIGNAR_ANNA_ARCH,Arignar Anna Arch,13.072,80.22
S_ARMY_CAMP,Army Camp,12.97,80.15
S_ARUMBAKKAM_POST_OFFICE,Arumbakkam Post Office,13.073,80.21
S_ASAN_COLLEGE,Asan College,12.935,80.195
S_BALAJI_DENTAL_COLLEGE,Balaji Dental College,12.964,80.203
S_BALAJI_NAGAR,Balaji Nagar,12.97,80.208
S_BEACH_STATION,Beach Station,13.092,80.292
S_BESANT_NAGAR,Besant Nagar,13,80.267
S_BREEZE_HOTEL,Breeze Hotel,13.08,80.256
S_BROADWAY,Broadway,13.0925,80.287
S_CAMP_ROAD_JUNCTION_SELAIYUR,Camp Road Junction Selaiyur,12.918,80.142
S_CANTONMENT_BOARD_ST_THOMAS_MOUNT,Cantonment Board St Thomas Mount,12.998,80.197
S_CENTRAL_STATION,Central Station,13.0827,80.275
S_CHELLAMMAL_COLLEGE,Chellammal College,13.009,80.22
S_CHINNA_MALAI,Chinna Malai,13.013,80.235
S_CHROMEPET,Chromepet,12.951,80.14
S_CHROMEPET_MIT_FLYOVER,Chromepet MIT Flyover,12.948,80.139
S_CHURCH_PARK_SCHOOL,Church Park School,13.048,80.248
S_CMBT,CMBT,13.069,80.199
S_C_L_R_I,C.L.R.I.,13.009,80.247
S_DASAPRAKASH,Dasaprakash,13.079,80.26
S_DEFENCE_QUARTERS,Defence Quarters,13.033,80.242
S_D_G_P_OFFICE,D.G.P. Office,13.043,80.279
S_D_G_VAISHNAVA_COLLEGE,D.G. Vaishnava College,13.073,80.215
S_D_M_S,D.M.S.,13.044,80.249
S_EGMORE_BUS_STOP,Egmore Bus Stop,13.076,80.261
S_EGMORE_COURT,Egmore Court,13.074,80.262
S_EGMORE_M_M_D_A,Egmore M.M.D.A.,13.079,80.26
S_FLOWER_MARKET,Flower Market,13.09,80.284
S_FORESHORE_ESTATE,Foreshore Estate,13.025,80.276
S_GANDHI_MANDAPAM,Gandhi Mandapam,13.011,80.24
S_GANDHI_MANDAPAM_GUINDY_PARK,Gandhi Mandapam Guindy Park,13.008,80.236
S_GANDHI_NAGAR,Gandhi Nagar,13.008,80.256
S_GUINDY_INDUSTRIAL_ESTATE,Guindy Industrial Estate,13.01,80.211
S_HOTEL_EVEREST,Hotel Everest,13.082,80.272
S_ISLAND_GROUND,Island Ground,13.074,80.282
S_KADAPERI,Kadaperi,12.928,80.122
S_KALIYAPPA_HOSPITAL,Kaliyappa Hospital,13.023,80.26
S_KALYANI_HOSPITAL,Kalyani Hospital,13.041,80.27
S_KAMARAJAPURAM,Kamarajapuram,12.925,80.14
S_KAMATCHI_HOSPITAL,Kamatchi Hospital,12.966,80.205
S_KANNAGI_STATUE,Kannagi Statue,13.05,80.281
S_KOTTURPURAM,Kotturpuram,13.015,80.241
S_K_M_C_HOSPITAL,K.M.C. Hospital,13.076,80.244
S_LAKSHMI_THEATRE,Lakshmi Theatre,13.073,80.229
S_LIGHT_HOUSE,Light House,13.041,80.279
S_LUZ_CORNER,Luz Corner,13.0335,80.265
S_L_I_C,L.I.C.,13.062,80.272
S_MADHYA_KAILASH,Madhya Kailash,13.011,80.252
S_MANDAVELI,Mandaveli,13.026,80.264
S_MANDAVELI_MARKET,Mandaveli Market,13.027,80.266
S_MARINA_BEACH,Marina Beach,13.055,80.282
S_MEDAVAKKAM_COLONY,Medavakkam Colony,12.92,80.192
S_MEDAVAKKAM_JUNCTION,Medavakkam Junction,12.917,80.19
S_MEDAVAKKAM_KOOT_ROAD,Medavakkam Koot Road,12.915,80.188
S_MEDAVAKKAM_MENTAL_HOSPITAL,Medavakkam Mental Hospital,13.092,80.24
S_MEDAVAKKAM_PURASAWALKAM,Medavakkam Purasawalkam,13.09,80.245
S_MEDAVAKKAM_TANK,Medavakkam Tank,13.095,80.238
S_MEENAMBAKKAM_OLD_AIRPORT,Meenambakkam Old Airport,12.983,80.165
S_MEPZ,MEPZ,12.935,80.125
S_MINT,Mint,13.105,80.283
S_MRC_NAGAR,MRC Nagar,13.017,80.272
S_MYLAPORE_TANK,Mylapore Tank,13.033,80.268
S_NANDANAM_KOTTURPURAM_BRIDGE,Nandanam Kotturpuram Bridge,13.017,80.244
S_NARAYANAPURAM,Narayanapuram,12.96,80.205
S_OIL_MILL,Oil Mill,12.94,80.205
S_OLD_AIRPORT,Old Airport,12.982,80.17
S_PALAVANTHANGAL_GST_JUNCTION,Palavanthangal GST Junction,12.985,80.192
S_PALLAVARAM,Pallavaram,12.967,80.15
S_PALLIKARANAI,Pallikaranai,12.943,80.21
S_PALLIKARANAI_GOVERNMENT_SCHOOL,Pallikaranai Government School,12.938,80.2
S_PARK_SHERATON,Park Sheraton,13.018,80.253
S_PARK_STATION,Park Station,13.082,80.277
S_PONDS_COMPANY,Ponds Company,12.955,80.142
S_PRANIPALAI,Pranipalai,13.005,80.201
S_PUDUPET,Pudupet,13.066,80.262
S_PULIYAMARA,Puliyamara,12.925,80.19
S_PURASAWALKAM,Purasawalkam,13.085,80.256
