route_id,route_short_name,route_long_name,route_type
delhi-delhi-city-t-r1,740,740: Anand Vihar ISBT -> Uttam Nagar Terminal,3
delhi-delhi-city-t-r2,740,740: Uttam Nagar Terminal -> Anand Vihar ISBT,3
delhi-delhi-city-t-r3,85,Bus 85: Anand Vihar ISBT → Punjabi Bagh Terminal,3
delhi-delhi-city-t-r4,534,534: Anand Vihar ISBT -> Mehrauli,3
delhi-delhi-city-t-r5,534,534: Mehrauli -> Anand Vihar ISBT,3
delhi-delhi-city-t-r6,85EXT,Bus 85EXT: West Enclave → Anand Vihar ISBT,3
delhi-delhi-city-t-r7,85EXT,Bus 85EXT: Anand Vihar ISBT -> West Enclave,3
delhi-delhi-city-t-r8,534A,534A: Anand Vihar ISBT -> IGI Airport,3
delhi-delhi-city-t-r9,534A,534A: IGI Airport -> Anand Vihar ISBT,3
delhi-delhi-city-t-r10,740A,740A: Manglapuri -> Anand Vihar ISBT,3
delhi-delhi-city-t-r11,740A,740A: Anand Vihar ISBT -> Manglapuri,3
delhi-delhi-city-t-r12,740EXT,740Extra: Uttam Nagar Terminal => Anand Vihar ISBT,3
delhi-delhi-city-t-r13,73,Bus 73: Hari Nagar Clock Tower → Anand Vihar ISBT,3
delhi-delhi-city-t-r14,73,Bus 73: Anand Vihar ISBT → Hari Nagar Clock Tower,3
delhi-delhi-city-t-r15,604,604: Lado Sarai Terminal -> New Delhi Railway Station Gate Number 2,3
delhi-delhi-city-t-r16,604,604: New Delhi Railway Station Gate Number 2 -> Lado Sarai Terminal,3
delhi-delhi-city-t-r17,RL-79,RL-79: Dwarka Sector 23 -> New Delhi Railway Station Gate #2,3
delhi-delhi-city-t-r18,RL-77,RL-77: Manglapuri Terminal -> New Delhi Railway Station Gate Number 2,3
delhi-delhi-city-t-r19,Gr. Mudrika,(-) Gr. Mudrika: Uttam Nagar Terminal => Anand Vihar ISBT,3
delhi-delhi-city-t-r20,790,790: Kapashera Border => Najafgarh Terminal,3
delhi-delhi-city-t-r21,773,773 (2),3
delhi-delhi-city-t-r22,770A,770A: Delhi Secretariat,3
delhi-delhi-city-t-r23,740EXT,740EXT: Uttam Nagar Terminal -> Anand Vihar ISBT,3
delhi-delhi-city-t-r24,729,729: Kapashera Border → Kashmere Gate,3
delhi-delhi-city-t-r25,723,723: Manglapuri Terminal => Anand Vihar ISBT,3
delhi-delhi-city-t-r26,722,722 (2),3
delhi-delhi-city-t-r27,706,706 (2),3
delhi-delhi-city-t-r28,RL-79,RL-79: New Delhi Railway Station Gate #2 -> Dwarka Sector 23,3
delhi-delhi-city-t-r29,RL-77,RL-77: New Delhi Railway Station Gate Number 2 -> Manglapuri Terminal,3
delhi-delhi-city-t-r30,790,790: Najafgarh Terminal => Kapashera Border,3
delhi-delhi-city-t-r31,740EXT,740EXT: Anand Vihar ISBT -> Uttam Nagar Terminal,3
delhi-delhi-city-t-r32,729,729: Kashmere Gate → Kapashera Border,3
delhi-delhi-city-t-r33,781,781: New Delhi Railway Station Gate Number 2 => Dwarka Sector 16C,3
delhi-delhi-city-t-r34,680,680: Kendriya Terminal -> Ambedkar Nagar Sector 4,3
