route_id,service_id,trip_id,trip_headsign
delhi-delhi-transp-r1,daily,delhi-delhi-transp-r1-1d0-t1,764: Najafgarh Sai Baba Mandir → Nehru Place
delhi-delhi-transp-r1,daily,delhi-delhi-transp-r1-1d0-t2,764: Najafgarh Sai Baba Mandir → Nehru Place
delhi-delhi-transp-r1,daily,delhi-delhi-transp-r1-1d0-t3,764: Najafgarh Sai Baba Mandir → Nehru Place
delhi-delhi-transp-r1,daily,delhi-delhi-transp-r1-1d0-t4,764: Najafgarh Sai Baba Mandir → Nehru Place
delhi-delhi-transp-r1,daily,delhi-delhi-transp-r1-1d0-t5,764: Najafgarh Sai Baba Mandir → Nehru Place
delhi-delhi-transp-r1,daily,delhi-delhi-transp-r1-1d1-t1,764: Najafgarh Sai Baba Mandir → Nehru Place
delhi-delhi-transp-r1,daily,delhi-delhi-transp-r1-1d1-t2,764: Najafgarh Sai Baba Mandir → Nehru Place
delhi-delhi-transp-r1,daily,delhi-delhi-transp-r1-1d1-t3,764: Najafgarh Sai Baba Mandir → Nehru Place
delhi-delhi-transp-r1,daily,delhi-delhi-transp-r1-1d1-t4,764: Najafgarh Sai Baba Mandir → Nehru Place
delhi-delhi-transp-r1,daily,delhi-delhi-transp-r1-1d1-t5,764: Najafgarh Sai Baba Mandir → Nehru Place
delhi-delhi-transp-r2,daily,delhi-delhi-transp-r2-2d0-t1,620: Shivaji Stadium -> Hauz Khas Metro Station
delhi-delhi-transp-r2,daily,delhi-delhi-transp-r2-2d0-t2,620: Shivaji Stadium -> Hauz Khas Metro Station
delhi-delhi-transp-r2,daily,delhi-delhi-transp-r2-2d0-t3,620: Shivaji Stadium -> Hauz Khas Metro Station
delhi-delhi-transp-r2,daily,delhi-delhi-transp-r2-2d0-t4,620: Shivaji Stadium -> Hauz Khas Metro Station
delhi-delhi-transp-r2,daily,delhi-delhi-transp-r2-2d0-t5,620: Shivaji Stadium -> Hauz Khas Metro Station
delhi-delhi-transp-r2,daily,delhi-delhi-transp-r2-2d1-t1,620: Shivaji Stadium -> Hauz Khas Metro Station
delhi-delhi-transp-r2,daily,delhi-delhi-transp-r2-2d1-t2,620: Shivaji Stadium -> Hauz Khas Metro Station
delhi-delhi-transp-r2,daily,delhi-delhi-transp-r2-2d1-t3,620: Shivaji Stadium -> Hauz Khas Metro Station
delhi-delhi-transp-r2,daily,delhi-delhi-transp-r2-2d1-t4,620: Shivaji Stadium -> Hauz Khas Metro Station
delhi-delhi-transp-r2,daily,delhi-delhi-transp-r2-2d1-t5,620: Shivaji Stadium -> Hauz Khas Metro Station
delhi-delhi-transp-r3,daily,delhi-delhi-transp-r3-3d0-t1,765
delhi-delhi-transp-r3,daily,delhi-delhi-transp-r3-3d0-t2,765
delhi-delhi-transp-r3,daily,delhi-delhi-transp-r3-3d0-t3,765
delhi-delhi-transp-r3,daily,delhi-delhi-transp-r3-3d0-t4,765
delhi-delhi-transp-r3,daily,delhi-delhi-transp-r3-3d0-t5,765
delhi-delhi-transp-r3,daily,delhi-delhi-transp-r3-3d1-t1,765
delhi-delhi-transp-r3,daily,delhi-delhi-transp-r3-3d1-t2,765
delhi-delhi-transp-r3,daily,delhi-delhi-transp-r3-3d1-t3,765
delhi-delhi-transp-r3,daily,delhi-delhi-transp-r3-3d1-t4,765
