route_id,route_short_name,route_long_name,route_type
ML-05,ML-05,Shastri Park - Mayur Vihar Phase III,3
ML-11,ML-11,Netaji Subhash Place - Azadpur,3
ML-12,ML-12,Netaji Subhash Place - Awantika,3
ML-15,ML-15,Pitampura - Rithala Circular,3
ML-17,ML-17,Rohini West - Rama Vihar,3
ML-19,ML-19,Pitampura - West Enclave,3
ML-20,ML-20,Kirti Nagar - Pushpanjali/West Enclave,3
ML-24,ML-24,Kirti Nagar - Sagarpur,3
ML-35,ML-35,Dwarka Sector-10 - Najafgarh,3
ML-39,ML-39,Shadipur - Naraina Vihar Gurudwara,3
ML-57,ML-57,Chhattarpur - Aerocity,3
MLL-96,MLL-96,Jahangirpuri - Singhu Border,3
