trip_id,arrival_time,departure_time,stop_id,stop_sequence
ML-05_0,06:00:00,06:00:00,stp_shastri_park,1
ML-05_0,06:03:00,06:03:00,stp_geeta_colony,2
ML-05_0,06:06:00,06:06:00,stp_akshardham_mandir,3
ML-05_0,06:09:00,06:09:00,stp_noida_link_road,4
ML-05_0,06:12:00,06:12:00,stp_mayur_vihar_ph_1_metro_station,5
ML-05_0,06:15:00,06:15:00,stp_mayur_vihar_ph_1,6
ML-05_0,06:18:00,06:18:00,stp_chilla_saroda_bangar,7
ML-05_0,06:21:00,06:21:00,stp_dharmshila_cancer_hospital,8
ML-05_0,06:24:00,06:24:00,stp_vasundhara_enclave,9
ML-05_0,06:27:00,06:27:00,stp_chilla_sports_complex,10
ML-05_0,06:30:00,06:30:00,stp_crpf_camp,11
ML-05_0,06:33:00,06:33:00,stp_mayur_vihar_phase_iii,12
ML-05_1,06:00:00,06:00:00,stp_mayur_vihar_phase_iii,1
ML-05_1,06:03:00,06:03:00,stp_crpf_camp,2
ML-05_1,06:06:00,06:06:00,stp_chilla_sports_complex,3
ML-05_1,06:09:00,06:09:00,stp_vasundhara_enclave,4
ML-05_1,06:12:00,06:12:00,stp_dharmshila_cancer_hospital,5
ML-05_1,06:15:00,06:15:00,stp_chilla_saroda_bangar,6
ML-05_1,06:18:00,06:18:00,stp_mayur_vihar_ph_1,7
ML-05_1,06:21:00,06:21:00,stp_mayur_vihar_ph_1_metro_station,8
ML-05_1,06:24:00,06:24:00,stp_noida_link_road,9
ML-05_1,06:27:00,06:27:00,stp_akshardham_mandir,10
ML-05_1,06:30:00,06:30:00,stp_geeta_colony,11
ML-05_1,06:33:00,06:33:00,stp_shastri_park,12
ML-11_0,06:00:00,06:00:00,stp_nshp_netaji_subhash_place,1
ML-11_0,06:03:00,06:03:00,stp_guru_govind_singh_marg,2
ML-11_0,06:06:00,06:06:00,stp_gopal_mandir,3
ML-11_0,06:09:00,06:09:00,stp_city_park_hotel,4
ML-11_0,06:12:00,06:12:00,stp_ju_ku_nu_qu_block,5
ML-11_0,06:15:00,06:15:00,stp_green_apartments,6
ML-11_0,06:18:00,06:18:00,stp_gian_shakti_mandir,7
ML-11_0,06:21:00,06:21:00,stp_jhulelal_mandir,8
ML-11_0,06:24:00,06:24:00,stp_prabhu_dayal_school,9
ML-11_0,06:27:00,06:27:00,stp_azadpur_metro_station,10
ML-11_1,06:00:00,06:00:00,stp_azadpur_metro_station,1
ML-11_1,06:03:00,06:03:00,stp_prabhu_dayal_school,2
ML-11_1,06:06:00,06:06:00,stp_jhulelal_mandir,3
ML-11_1,06:09:00,06:09:00,stp_gian_shakti_mandir,4
ML-11_1,06:12:00,06:12:00,stp_green_apartments,5
ML-11_1,06:15:00,06:15:00,stp_ju_ku_nu_qu_block,6
ML-11_1,06:18:00,06:18:00,stp_city_park_hotel,7
ML-11_1,06:21:00,06:21:00,stp_gopal_mandir,8
ML-11_1,06:24:00,06:24:00,stp_guru_govind_singh_marg,9
ML-11_1,06:27:00,06:27:00,stp_nshp_netaji_subhash_place,10
ML-12_0,06:00:00,06:00:00,stp_netaji_subhash_place,1
ML-12_0,06:03:00,06:03:00,stp_britannia_chowk,2
ML-12_0,06:06:00,06:06:00,stp_shakurpur,3
