stop_id,stop_name,stop_lat,stop_lon
delhi-19.22961-72.85704,Delhi stop,19.229606,72.857044
delhi-19.22824-72.85672,Delhi stop,19.228238,72.856716
delhi-21.20599-72.84061,Delhi stop,21.205994,72.840605
delhi-21.20520-72.84084,Delhi stop,21.2052,72.84084
delhi-22.31009-73.18055,Delhi stop,22.310087,73.180549
delhi-22.77710-73.60316,Delhi stop,22.777097,73.603158
delhi-22.84414-74.25297,Delhi stop,22.844137,74.252967
delhi-23.33837-75.04906,Delhi stop,23.338366,75.049065
delhi-22.90622-74.53774,Delhi stop,22.906217,74.537741
delhi-23.34029-75.05005,Delhi stop,23.340287,75.05005
delhi-23.45629-75.41266,Delhi stop,23.456294,75.412659
delhi-24.19047-75.64270,Delhi stop,24.190466,75.642704
delhi-24.41884-75.82905,Delhi stop,24.418838,75.829048
delhi-24.64391-75.93947,Delhi stop,24.643909,75.939474
delhi-25.22539-75.88078,Delhi stop,25.225394,75.880778
delhi-25.22435-75.88106,Delhi stop,25.224348,75.881055
delhi-26.01805-76.35617,Delhi stop,26.018051,76.356173
delhi-26.46830-76.72730,Delhi stop,26.468298,76.727297
delhi-26.68248-76.96602,Delhi stop,26.682484,76.966018
delhi-26.75610-77.03139,Delhi stop,26.756099,77.031387
delhi-26.91587-77.29643,Delhi stop,26.915869,77.296427
delhi-27.23727-77.48595,Delhi stop,27.237265,77.485954
delhi-27.23695-77.48841,Delhi stop,27.236955,77.488412
delhi-27.48346-77.67346,Delhi stop,27.483461,77.673455
delhi-28.41058-77.30738,Delhi stop,28.410583,77.307378
delhi-28.58996-77.25363,Delhi stop,28.589964,77.25363
delhi-28.65323-77.42831,Delhi stop,28.653227,77.42831
delhi-28.65357-77.42805,Delhi stop,28.653569,77.428052
delhi-28.97727-77.67470,Delhi stop,28.977272,77.674701
delhi-29.01633-77.68681,Delhi stop,29.016331,77.686808
delhi-29.19261-77.71850,Delhi stop,29.192609,77.718502
delhi-29.46934-77.70810,Delhi stop,29.469341,77.708101
delhi-29.96160-77.54026,Delhi stop,29.961599,77.540256
delhi-29.96113-77.54107,Delhi stop,29.961134,77.541075
delhi-30.11813-77.28575,Delhi stop,30.118129,77.285749
delhi-30.11783-77.28619,Delhi stop,30.117832,77.286191
delhi-30.33830-76.82815,Delhi stop,30.3383,76.828146
delhi-19.06170-72.84115,Delhi stop,19.061695,72.841152
