route_id,service_id,trip_id,trip_headsign
delhi-nmrc-r1,daily,delhi-nmrc-r1-1d0-t1,103B+: Botanical Garden Metro Station -> Greater Noida Authority
delhi-nmrc-r1,daily,delhi-nmrc-r1-1d0-t2,103B+: Botanical Garden Metro Station -> Greater Noida Authority
delhi-nmrc-r1,daily,delhi-nmrc-r1-1d0-t3,103B+: Botanical Garden Metro Station -> Greater Noida Authority
delhi-nmrc-r1,daily,delhi-nmrc-r1-1d0-t4,103B+: Botanical Garden Metro Station -> Greater Noida Authority
delhi-nmrc-r1,daily,delhi-nmrc-r1-1d0-t5,103B+: Botanical Garden Metro Station -> Greater Noida Authority
delhi-nmrc-r1,daily,delhi-nmrc-r1-1d1-t1,103B+: Botanical Garden Metro Station -> Greater Noida Authority
delhi-nmrc-r1,daily,delhi-nmrc-r1-1d1-t2,103B+: Botanical Garden Metro Station -> Greater Noida Authority
delhi-nmrc-r1,daily,delhi-nmrc-r1-1d1-t3,103B+: Botanical Garden Metro Station -> Greater Noida Authority
delhi-nmrc-r1,daily,delhi-nmrc-r1-1d1-t4,103B+: Botanical Garden Metro Station -> Greater Noida Authority
delhi-nmrc-r1,daily,delhi-nmrc-r1-1d1-t5,103B+: Botanical Garden Metro Station -> Greater Noida Authority
delhi-nmrc-r2,daily,delhi-nmrc-r2-2d0-t1,103B: Greater Noida Authority -> Botanical Garden Metro Station
delhi-nmrc-r2,daily,delhi-nmrc-r2-2d0-t2,103B: Greater Noida Authority -> Botanical Garden Metro Station
delhi-nmrc-r2,daily,delhi-nmrc-r2-2d0-t3,103B: Greater Noida Authority -> Botanical Garden Metro Station
delhi-nmrc-r2,daily,delhi-nmrc-r2-2d0-t4,103B: Greater Noida Authority -> Botanical Garden Metro Station
delhi-nmrc-r2,daily,delhi-nmrc-r2-2d0-t5,103B: Greater Noida Authority -> Botanical Garden Metro Station
delhi-nmrc-r2,daily,delhi-nmrc-r2-2d1-t1,103B: Greater Noida Authority -> Botanical Garden Metro Station
delhi-nmrc-r2,daily,delhi-nmrc-r2-2d1-t2,103B: Greater Noida Authority -> Botanical Garden Metro Station
delhi-nmrc-r2,daily,delhi-nmrc-r2-2d1-t3,103B: Greater Noida Authority -> Botanical Garden Metro Station
delhi-nmrc-r2,daily,delhi-nmrc-r2-2d1-t4,103B: Greater Noida Authority -> Botanical Garden Metro Station
delhi-nmrc-r2,daily,delhi-nmrc-r2-2d1-t5,103B: Greater Noida Authority -> Botanical Garden Metro Station
