route_id,service_id,trip_id,trip_headsign
delhi-northeast-fr-r1,daily,delhi-northeast-fr-r1-1d0-t1,Train Rajdhani Express 20501: Agartala → Anand Vihar Terminal
delhi-northeast-fr-r1,daily,delhi-northeast-fr-r1-1d0-t2,Train Rajdhani Express 20501: Agartala → Anand Vihar Terminal
delhi-northeast-fr-r1,daily,delhi-northeast-fr-r1-1d0-t3,Train Rajdhani Express 20501: Agartala → Anand Vihar Terminal
delhi-northeast-fr-r1,daily,delhi-northeast-fr-r1-1d0-t4,Train Rajdhani Express 20501: Agartala → Anand Vihar Terminal
delhi-northeast-fr-r1,daily,delhi-northeast-fr-r1-1d0-t5,Train Rajdhani Express 20501: Agartala → Anand Vihar Terminal
delhi-northeast-fr-r1,daily,delhi-northeast-fr-r1-1d1-t1,Train Rajdhani Express 20501: Agartala → Anand Vihar Terminal
delhi-northeast-fr-r1,daily,delhi-northeast-fr-r1-1d1-t2,Train Rajdhani Express 20501: Agartala → Anand Vihar Terminal
delhi-northeast-fr-r1,daily,delhi-northeast-fr-r1-1d1-t3,Train Rajdhani Express 20501: Agartala → Anand Vihar Terminal
delhi-northeast-fr-r1,daily,delhi-northeast-fr-r1-1d1-t4,Train Rajdhani Express 20501: Agartala → Anand Vihar Terminal
delhi-northeast-fr-r1,daily,delhi-northeast-fr-r1-1d1-t5,Train Rajdhani Express 20501: Agartala → Anand Vihar Terminal
delhi-northeast-fr-r2,daily,delhi-northeast-fr-r2-2d0-t1,Train Rajdhani Express 20502: Anand Vihar Terminal → Agartala
delhi-northeast-fr-r2,daily,delhi-northeast-fr-r2-2d0-t2,Train Rajdhani Express 20502: Anand Vihar Terminal → Agartala
delhi-northeast-fr-r2,daily,delhi-northeast-fr-r2-2d0-t3,Train Rajdhani Express 20502: Anand Vihar Terminal → Agartala
delhi-northeast-fr-r2,daily,delhi-northeast-fr-r2-2d0-t4,Train Rajdhani Express 20502: Anand Vihar Terminal → Agartala
delhi-northeast-fr-r2,daily,delhi-northeast-fr-r2-2d0-t5,Train Rajdhani Express 20502: Anand Vihar Terminal → Agartala
delhi-northeast-fr-r2,daily,delhi-northeast-fr-r2-2d1-t1,Train Rajdhani Express 20502: Anand Vihar Terminal → Agartala
delhi-northeast-fr-r2,daily,delhi-northeast-fr-r2-2d1-t2,Train Rajdhani Express 20502: Anand Vihar Terminal → Agartala
delhi-northeast-fr-r2,daily,delhi-northeast-fr-r2-2d1-t3,Train Rajdhani Express 20502: Anand Vihar Terminal → Agartala
delhi-northeast-fr-r2,daily,delhi-northeast-fr-r2-2d1-t4,Train Rajdhani Express 20502: Anand Vihar Terminal → Agartala
delhi-northeast-fr-r2,daily,delhi-northeast-fr-r2-2d1-t5,Train Rajdhani Express 20502: Anand Vihar Terminal → Agartala
