trip_id,arrival_time,departure_time,stop_id,stop_sequence
delhi-rapid-metro--r1-1d0-t1,06:00:00,06:00:00,delhi-28.42330-77.10509,1
delhi-rapid-metro--r1-1d0-t1,06:01:49,06:01:49,delhi-28.43296-77.10481,2
delhi-rapid-metro--r1-1d0-t1,06:04:18,06:04:18,delhi-28.44638-77.10044,3
delhi-rapid-metro--r1-1d0-t1,06:06:24,06:06:24,delhi-28.45742-77.09693,4
delhi-rapid-metro--r1-1d0-t1,06:08:56,06:08:56,delhi-28.47143-77.09394,5
delhi-rapid-metro--r1-1d0-t1,06:10:44,06:10:44,delhi-28.48100-77.09442,6
delhi-rapid-metro--r1-1d0-t1,06:12:05,06:12:05,delhi-28.48754-77.09297,7
delhi-rapid-metro--r1-1d0-t1,06:13:20,06:13:20,delhi-28.49170-77.08813,8
delhi-rapid-metro--r1-1d0-t1,06:14:39,06:14:39,delhi-28.49806-77.08916,9
delhi-rapid-metro--r1-1d0-t1,06:15:50,06:15:50,delhi-28.50078-77.09463,10
delhi-rapid-metro--r1-1d0-t1,06:17:17,06:17:17,delhi-28.49357-77.09366,11
delhi-rapid-metro--r1-1d0-t1,06:18:32,06:18:32,delhi-28.48758-77.09301,12
delhi-rapid-metro--r1-1d0-t1,06:19:54,06:19:54,delhi-28.48099-77.09445,13
delhi-rapid-metro--r1-1d0-t2,08:00:00,08:00:00,delhi-28.42330-77.10509,1
delhi-rapid-metro--r1-1d0-t2,08:01:49,08:01:49,delhi-28.43296-77.10481,2
delhi-rapid-metro--r1-1d0-t2,08:04:18,08:04:18,delhi-28.44638-77.10044,3
delhi-rapid-metro--r1-1d0-t2,08:06:24,08:06:24,delhi-28.45742-77.09693,4
delhi-rapid-metro--r1-1d0-t2,08:08:56,08:08:56,delhi-28.47143-77.09394,5
delhi-rapid-metro--r1-1d0-t2,08:10:44,08:10:44,delhi-28.48100-77.09442,6
delhi-rapid-metro--r1-1d0-t2,08:12:05,08:12:05,delhi-28.48754-77.09297,7
delhi-rapid-metro--r1-1d0-t2,08:13:20,08:13:20,delhi-28.49170-77.08813,8
delhi-rapid-metro--r1-1d0-t2,08:14:39,08:14:39,delhi-28.49806-77.08916,9
delhi-rapid-metro--r1-1d0-t2,08:15:50,08:15:50,delhi-28.50078-77.09463,10
delhi-rapid-metro--r1-1d0-t2,08:17:17,08:17:17,delhi-28.49357-77.09366,11
delhi-rapid-metro--r1-1d0-t2,08:18:32,08:18:32,delhi-28.48758-77.09301,12
delhi-rapid-metro--r1-1d0-t2,08:19:54,08:19:54,delhi-28.48099-77.09445,13
delhi-rapid-metro--r1-1d0-t3,12:00:00,12:00:00,delhi-28.42330-77.10509,1
delhi-rapid-metro--r1-1d0-t3,12:01:49,12:01:49,delhi-28.43296-77.10481,2
delhi-rapid-metro--r1-1d0-t3,12:04:18,12:04:18,delhi-28.44638-77.10044,3
