stop_id,stop_name,stop_lat,stop_lon
durgapur-22.60131-88.38426,Durgapur stop,22.601311,88.384262
durgapur-23.24925-87.87011,Durgapur stop,23.24925,87.870114
durgapur-23.24816-87.87098,Durgapur stop,23.248157,87.870979
durgapur-23.49478-87.31853,Durgapur stop,23.494779,87.318528
durgapur-23.69113-86.97575,Durgapur stop,23.691127,86.975746
durgapur-23.69121-86.97518,Durgapur stop,23.691206,86.975176
durgapur-23.79110-86.42964,Durgapur stop,23.791098,86.429636
durgapur-23.79172-86.42867,Durgapur stop,23.791724,86.428669
durgapur-24.80344-84.99953,Durgapur stop,24.803445,84.999526
durgapur-24.80412-84.99985,Durgapur stop,24.804124,84.999848
durgapur-25.27836-83.12002,Durgapur stop,25.278361,83.120024
durgapur-25.27816-83.11963,Durgapur stop,25.278161,83.119626
durgapur-25.32706-82.98634,Durgapur stop,25.327057,82.986344
durgapur-25.32637-82.98531,Durgapur stop,25.326372,82.985307
durgapur-25.33474-83.01465,Durgapur stop,25.33474,83.014651
durgapur-25.33405-83.01563,Durgapur stop,25.334054,83.015635
durgapur-25.58378-83.56802,Durgapur stop,25.58378,83.568021
durgapur-25.58375-83.56863,Durgapur stop,25.583752,83.568626
