trip_id,arrival_time,departure_time,stop_id,stop_sequence
erode-southern-rai-r1-1d0-t1,06:00:00,06:00:00,erode-12.99240-77.60233,1
erode-southern-rai-r1-1d0-t1,06:54:13,06:54:13,erode-12.71768-77.82304,2
erode-southern-rai-r1-1d0-t1,08:38:37,08:38:37,erode-12.12639-78.15414,3
erode-southern-rai-r1-1d0-t1,09:49:41,09:49:41,erode-11.67009-78.11354,4
erode-southern-rai-r1-1d0-t1,09:50:51,09:50:51,erode-11.67051-78.11347,5
erode-southern-rai-r1-1d0-t1,11:10:19,11:10:19,erode-11.32734-77.72511,6
erode-southern-rai-r1-1d0-t1,11:11:29,11:11:29,erode-11.32796-77.72605,7
erode-southern-rai-r1-1d0-t1,12:19:35,12:19:35,erode-11.10841-77.33868,8
erode-southern-rai-r1-1d0-t1,12:20:45,12:20:45,erode-11.10866-77.33967,9
erode-southern-rai-r1-1d0-t1,13:20:10,13:20:10,erode-10.99748-76.96660,10
erode-southern-rai-r1-1d0-t2,08:00:00,08:00:00,erode-12.99240-77.60233,1
erode-southern-rai-r1-1d0-t2,08:54:13,08:54:13,erode-12.71768-77.82304,2
erode-southern-rai-r1-1d0-t2,10:38:37,10:38:37,erode-12.12639-78.15414,3
erode-southern-rai-r1-1d0-t2,11:49:41,11:49:41,erode-11.67009-78.11354,4
erode-southern-rai-r1-1d0-t2,11:50:51,11:50:51,erode-11.67051-78.11347,5
erode-southern-rai-r1-1d0-t2,13:10:19,13:10:19,erode-11.32734-77.72511,6
erode-southern-rai-r1-1d0-t2,13:11:29,13:11:29,erode-11.32796-77.72605,7
erode-southern-rai-r1-1d0-t2,14:19:35,14:19:35,erode-11.10841-77.33868,8
erode-southern-rai-r1-1d0-t2,14:20:45,14:20:45,erode-11.10866-77.33967,9
erode-southern-rai-r1-1d0-t2,15:20:10,15:20:10,erode-10.99748-76.96660,10
erode-southern-rai-r1-1d0-t3,12:00:00,12:00:00,erode-12.99240-77.60233,1
erode-southern-rai-r1-1d0-t3,12:54:13,12:54:13,erode-12.71768-77.82304,2
erode-southern-rai-r1-1d0-t3,14:38:37,14:38:37,erode-12.12639-78.15414,3
erode-southern-rai-r1-1d0-t3,15:49:41,15:49:41,erode-11.67009-78.11354,4
erode-southern-rai-r1-1d0-t3,15:50:51,15:50:51,erode-11.67051-78.11347,5
erode-southern-rai-r1-1d0-t3,17:10:19,17:10:19,erode-11.32734-77.72511,6
erode-southern-rai-r1-1d0-t3,17:11:29,17:11:29,erode-11.32796-77.72605,7
erode-southern-rai-r1-1d0-t3,18:19:35,18:19:35,erode-11.10841-77.33868,8
erode-southern-rai-r1-1d0-t3,18:20:45,18:20:45,erode-11.10866-77.33967,9
