stop_id,stop_name,stop_lat,stop_lon
erode-12.99240-77.60233,Erode stop,12.992399,77.602332
erode-12.71768-77.82304,Erode stop,12.717679,77.823039
erode-12.12639-78.15414,Erode stop,12.126385,78.154144
erode-11.67009-78.11354,Erode stop,11.67009,78.113544
erode-11.67051-78.11347,Erode stop,11.670506,78.113466
erode-11.32734-77.72511,Erode stop,11.327342,77.725112
erode-11.32796-77.72605,Erode stop,11.327963,77.726053
erode-11.10841-77.33868,Erode stop,11.108408,77.338684
erode-11.10866-77.33967,Erode stop,11.108655,77.339666
erode-10.99748-76.96660,Erode stop,10.997485,76.966601
