stop_id,stop_name,stop_lat,stop_lon
faridabad-28.51516-77.22838,Faridabad stop,28.515161,77.228384
faridabad-28.51608-77.22354,Faridabad stop,28.516084,77.223538
faridabad-28.51654-77.22131,Faridabad stop,28.516537,77.221314
faridabad-28.51754-77.21671,Faridabad stop,28.517536,77.216709
faridabad-28.51974-77.21572,Faridabad stop,28.519738,77.215723
faridabad-28.52878-77.21486,Faridabad stop,28.528778,77.214863
faridabad-28.52779-77.20510,Faridabad stop,28.527785,77.205099
faridabad-28.52917-77.20151,Faridabad stop,28.52917,77.201514
faridabad-28.53063-77.19959,Faridabad stop,28.530626,77.19959
faridabad-28.53277-77.20479,Faridabad stop,28.532766,77.204789
faridabad-28.54233-77.20961,Faridabad stop,28.542334,77.209605
faridabad-28.54362-77.20507,Faridabad stop,28.543616,77.205071
faridabad-28.49409-77.30318,Faridabad stop,28.494086,77.303176
faridabad-28.50201-77.30028,Faridabad stop,28.502013,77.300275
faridabad-28.49921-77.29908,Faridabad stop,28.499214,77.299077
faridabad-28.50060-77.29376,Faridabad stop,28.500597,77.293765
faridabad-28.50150-77.28972,Faridabad stop,28.501498,77.289718
faridabad-28.50225-77.28456,Faridabad stop,28.502253,77.284563
faridabad-28.50414-77.27900,Faridabad stop,28.504141,77.279004
faridabad-28.51585-77.28042,Faridabad stop,28.515849,77.28042
faridabad-28.52051-77.27722,Faridabad stop,28.520514,77.277225
faridabad-28.52351-77.27513,Faridabad stop,28.523511,77.275126
faridabad-28.53449-77.26825,Faridabad stop,28.534494,77.268247
faridabad-28.53934-77.26624,Faridabad stop,28.539345,77.266236
faridabad-28.54511-77.26389,Faridabad stop,28.545106,77.263885
faridabad-28.54765-77.26287,Faridabad stop,28.547653,77.262873
faridabad-28.54731-77.25401,Faridabad stop,28.547308,77.254011
faridabad-28.54352-77.24418,Faridabad stop,28.543525,77.244183
faridabad-28.54046-77.23578,Faridabad stop,28.540461,77.235777
faridabad-28.54213-77.22471,Faridabad stop,28.542126,77.224713
faridabad-28.54261-77.21841,Faridabad stop,28.542611,77.218413
faridabad-28.54287-77.21503,Faridabad stop,28.542872,77.215034
faridabad-28.54294-77.20074,Faridabad stop,28.542939,77.200743
faridabad-28.54008-77.19943,Faridabad stop,28.540081,77.199428
faridabad-28.53793-77.19837,Faridabad stop,28.537932,77.198369
faridabad-28.53747-77.19815,Faridabad stop,28.537466,77.198153
faridabad-28.53782-77.19300,Faridabad stop,28.537822,77.193003
faridabad-28.53905-77.18955,Faridabad stop,28.539054,77.189551
faridabad-28.54041-77.18517,Faridabad stop,28.540414,77.18517
faridabad-28.54187-77.18261,Faridabad stop,28.541871,77.18261
faridabad-28.54345-77.17999,Faridabad stop,28.543453,77.179987
faridabad-28.54945-77.18037,Faridabad stop,28.54945,77.180375
faridabad-28.55219-77.18111,Faridabad stop,28.552194,77.181112
faridabad-28.55368-77.17898,Faridabad stop,28.553684,77.178976
faridabad-28.55532-77.17645,Faridabad stop,28.555319,77.176455
faridabad-28.55668-77.17428,Faridabad stop,28.556684,77.174279
faridabad-28.55883-77.17367,Faridabad stop,28.558832,77.173666
faridabad-28.56105-77.17573,Faridabad stop,28.561049,77.175731
faridabad-28.56405-77.17854,Faridabad stop,28.564054,77.178544
faridabad-28.56559-77.17709,Faridabad stop,28.565592,77.177088
faridabad-28.57059-77.17269,Faridabad stop,28.570589,77.172686
faridabad-28.57362-77.17347,Faridabad stop,28.573619,77.173468
faridabad-28.57557-77.17230,Faridabad stop,28.57557,77.172302
faridabad-28.57788-77.17418,Faridabad stop,28.577879,77.17418
faridabad-28.58158-77.17407,Faridabad stop,28.581579,77.174069
faridabad-28.58369-77.17288,Faridabad stop,28.583686,77.172883
faridabad-28.58489-77.17213,Faridabad stop,28.584889,77.172128
faridabad-28.58772-77.17035,Faridabad stop,28.587724,77.170345
faridabad-28.59080-77.16835,Faridabad stop,28.590797,77.168346
faridabad-28.54087-77.23604,Faridabad stop,28.540869,77.236039
faridabad-28.55552-77.17662,Faridabad stop,28.555522,77.176616
faridabad-28.55702-77.17453,Faridabad stop,28.557019,77.174531
faridabad-28.57578-77.17248,Faridabad stop,28.575783,77.172484
faridabad-28.57363-77.17364,Faridabad stop,28.573628,77.173641
faridabad-28.66743-77.13575,Faridabad stop,28.667435,77.135748
faridabad-28.66344-77.13127,Faridabad stop,28.66344,77.131267
faridabad-28.65835-77.12864,Faridabad stop,28.658346,77.128642
faridabad-28.65478-77.12552,Faridabad stop,28.654782,77.12552
faridabad-28.64564-77.12701,Faridabad stop,28.645644,77.127007
faridabad-28.63859-77.12978,Faridabad stop,28.638593,77.129778
faridabad-28.62427-77.13532,Faridabad stop,28.624268,77.135323
faridabad-28.61849-77.13659,Faridabad stop,28.618489,77.136592
faridabad-28.61312-77.13716,Faridabad stop,28.613122,77.137159
faridabad-28.60740-77.14179,Faridabad stop,28.607398,77.141789
faridabad-28.60543-77.14739,Faridabad stop,28.605433,77.147385
faridabad-28.60419-77.15513,Faridabad stop,28.604192,77.155131
faridabad-28.59959-77.16244,Faridabad stop,28.599588,77.162436
faridabad-28.58782-77.17073,Faridabad stop,28.587819,77.17073
faridabad-28.58515-77.17247,Faridabad stop,28.585147,77.172468
faridabad-28.58467-77.17281,Faridabad stop,28.584667,77.172811
faridabad-28.58189-77.17428,Faridabad stop,28.581886,77.174276
faridabad-28.57736-77.17368,Faridabad stop,28.577364,77.173683
faridabad-28.57012-77.17316,Faridabad stop,28.570124,77.17316
faridabad-28.56664-77.17636,Faridabad stop,28.566637,77.176361
faridabad-28.56476-77.17833,Faridabad stop,28.564755,77.178329
faridabad-28.56287-77.17840,Faridabad stop,28.562874,77.178401
faridabad-28.56133-77.17655,Faridabad stop,28.561335,77.176551
faridabad-28.55856-77.17387,Faridabad stop,28.558563,77.173868
faridabad-28.55274-77.18112,Faridabad stop,28.552742,77.181118
faridabad-28.55001-77.18562,Faridabad stop,28.550011,77.185616
faridabad-28.54862-77.18916,Faridabad stop,28.548617,77.189161
faridabad-28.54594-77.19703,Faridabad stop,28.545937,77.197028
faridabad-28.54398-77.20516,Faridabad stop,28.543978,77.205163
faridabad-28.54385-77.20674,Faridabad stop,28.543846,77.206743
faridabad-28.54288-77.20959,Faridabad stop,28.542883,77.209586
faridabad-28.53652-77.20969,Faridabad stop,28.536518,77.20969
faridabad-28.53540-77.20853,Faridabad stop,28.5354,77.208532
faridabad-28.53259-77.20470,Faridabad stop,28.532589,77.204702
faridabad-28.53246-77.20410,Faridabad stop,28.532463,77.204096
faridabad-28.52948-77.20135,Faridabad stop,28.529484,77.201347
faridabad-28.52816-77.20488,Faridabad stop,28.528163,77.204877
faridabad-28.52819-77.20913,Faridabad stop,28.528187,77.209131
faridabad-28.52848-77.21201,Faridabad stop,28.528479,77.21201
faridabad-28.52970-77.21585,Faridabad stop,28.529695,77.215845
faridabad-28.53026-77.21839,Faridabad stop,28.530257,77.218393
faridabad-28.53148-77.22382,Faridabad stop,28.531484,77.22382
faridabad-28.53231-77.22689,Faridabad stop,28.532313,77.226887
faridabad-28.52857-77.23196,Faridabad stop,28.528574,77.231963
faridabad-28.52785-77.23170,Faridabad stop,28.527848,77.231703
faridabad-28.52475-77.23044,Faridabad stop,28.524748,77.230444
faridabad-28.52032-77.22838,Faridabad stop,28.520315,77.228381
faridabad-28.51609-77.22694,Faridabad stop,28.516092,77.226938
faridabad-28.51535-77.22846,Faridabad stop,28.515354,77.228459
faridabad-28.51397-77.23458,Faridabad stop,28.513971,77.234577
faridabad-28.51293-77.23897,Faridabad stop,28.51293,77.238974
faridabad-28.51237-77.24384,Faridabad stop,28.512366,77.243835
faridabad-28.51226-77.24871,Faridabad stop,28.512258,77.248714
faridabad-28.63950-77.22372,Faridabad stop,28.6395,77.223718
faridabad-28.64178-77.22357,Faridabad stop,28.641781,77.223567
faridabad-28.63865-77.22414,Faridabad stop,28.638652,77.224141
faridabad-28.63269-77.22312,Faridabad stop,28.63269,77.223115
faridabad-28.62855-77.21684,Faridabad stop,28.628546,77.216837
faridabad-28.62542-77.21441,Faridabad stop,28.625421,77.214413
faridabad-28.62046-77.21273,Faridabad stop,28.620458,77.212727
faridabad-28.61487-77.21248,Faridabad stop,28.614871,77.212476
faridabad-28.61253-77.21229,Faridabad stop,28.612527,77.212289
faridabad-28.60944-77.20986,Faridabad stop,28.609444,77.209861
faridabad-28.59993-77.21135,Faridabad stop,28.599931,77.211352
faridabad-28.59499-77.21197,Faridabad stop,28.594993,77.211966
faridabad-28.58929-77.21316,Faridabad stop,28.589286,77.213164
faridabad-28.58668-77.21286,Faridabad stop,28.586675,77.212862
faridabad-28.58413-77.21267,Faridabad stop,28.584127,77.212672
faridabad-28.57393-77.20965,Faridabad stop,28.573931,77.209654
faridabad-28.56706-77.20800,Faridabad stop,28.567064,77.208003
faridabad-28.56274-77.20772,Faridabad stop,28.562743,77.207715
faridabad-28.55744-77.20690,Faridabad stop,28.557437,77.206898
faridabad-28.55307-77.20528,Faridabad stop,28.553072,77.205277
faridabad-28.54835-77.20295,Faridabad stop,28.548354,77.202952
faridabad-28.54619-77.20242,Faridabad stop,28.546188,77.202425
faridabad-28.53125-77.20031,Faridabad stop,28.531247,77.200309
faridabad-28.51238-77.24334,Faridabad stop,28.512383,77.243344
faridabad-28.52882-77.21505,Faridabad stop,28.52882,77.215049
faridabad-28.52282-77.21662,Faridabad stop,28.522822,77.21662
faridabad-28.51948-77.21588,Faridabad stop,28.519483,77.215876
faridabad-28.51795-77.21653,Faridabad stop,28.517949,77.216532
faridabad-28.51701-77.22075,Faridabad stop,28.517006,77.220746
faridabad-28.51636-77.22357,Faridabad stop,28.516362,77.223573
faridabad-28.51615-77.22484,Faridabad stop,28.516152,77.224842
faridabad-28.59730-77.06541,Faridabad stop,28.5973,77.065415
faridabad-28.59449-77.07344,Faridabad stop,28.594493,77.073441
faridabad-28.59190-77.08128,Faridabad stop,28.591898,77.081282
faridabad-28.58984-77.08642,Faridabad stop,28.589839,77.086416
