route_id,route_short_name,route_long_name,route_type
faridabad-faridabad-ci-r1,534,534: Anand Vihar ISBT -> Mehrauli,3
faridabad-faridabad-ci-r2,534,534: Mehrauli -> Anand Vihar ISBT,3
faridabad-faridabad-ci-r3,534A,534A: Anand Vihar ISBT -> IGI Airport,3
faridabad-faridabad-ci-r4,534A,534A: IGI Airport -> Anand Vihar ISBT,3
faridabad-faridabad-ci-r5,604,604: Lado Sarai Terminal -> New Delhi Railway Station Gate Number 2,3
faridabad-faridabad-ci-r6,604,604: New Delhi Railway Station Gate Number 2 -> Lado Sarai Terminal,3
faridabad-faridabad-ci-r7,Gr. Mudrika,(-) Gr. Mudrika: Uttam Nagar Terminal => Anand Vihar ISBT,3
faridabad-faridabad-ci-r8,680,680: Kendriya Terminal -> Ambedkar Nagar Sector 4,3
faridabad-faridabad-ci-r9,523,523: Dhaula Kuan → Bhati Mines,3
faridabad-faridabad-ci-r10,519,519: Safdarjung Terminal -> Mandi Gaon,3
faridabad-faridabad-ci-r11,517,517: => Aaya Nagar,3
faridabad-faridabad-ci-r12,516,516: Safdarjung Terminal -> Dera Gaon,3
faridabad-faridabad-ci-r13,502,502: Old Delhi Railway Station -> Mehrauli Terminal,3
faridabad-faridabad-ci-r14,501,501 (1),3
faridabad-faridabad-ci-r15,717,717: Badarpur Border -> Shahbad Mohammadpur,3
faridabad-faridabad-ci-r16,539,539: -> Mehrauli Terminal,3
faridabad-faridabad-ci-r17,523,523: Bhati Mines → Dhaula Kuan,3
faridabad-faridabad-ci-r18,519,519: Mandi Gaon → Safdarjung Terminal,3
faridabad-faridabad-ci-r19,517,517: Aaya Nagar =>,3
faridabad-faridabad-ci-r20,516,516: Dera Gaon -> Safdarjung Terminal,3
faridabad-faridabad-ci-r21,506,506 (2),3
faridabad-faridabad-ci-r22,463,463: Kalkaji Depot -> Mehrauli Terminal,3
faridabad-faridabad-ci-r23,427,427: Nizamuddin Railway Station -> Mehrauli Terminal,3
faridabad-faridabad-ci-r24,34,34: Noida Sector 37 -> Mehrauli,3
faridabad-faridabad-ci-r25,680,680: Ambedkar Nagar Sector 4 -> Kendriya Terminal,3
faridabad-faridabad-ci-r26,540,540: Tara Apartment -> Kendriya Terminal,3
faridabad-faridabad-ci-r27,480,480: Kendriya Terminal -> DDA Flats Kalkaji,3
faridabad-faridabad-ci-r28,419,419: Ambedkar Nagar Terminal -> Old Delhi Railway Station,3
faridabad-faridabad-ci-r29,425,425: Old Delhi Railway Station -> Hamdard Nagar,3
faridabad-faridabad-ci-r30,423,423: Mori Gate Terminal -> Ambedkar Nagar Terminal,3
faridabad-faridabad-ci-r31,419,419: Old Delhi Railway Station -> Ambedkar Nagar Terminal,3
faridabad-faridabad-ci-r32,544,544: Badarpur Border -> RK Puram Sector 1,3
faridabad-faridabad-ci-r33,522,522: Ambedkar Nagar Terminal -> Indrapuri (Krishi Kunj),3
faridabad-faridabad-ci-r34,522SPL,522SPL: -> New Delhi Railway Station Gate Number 2,3
faridabad-faridabad-ci-r35,521,521: Karampura Terminal -> Ambedkar Nagar Sector 4,3
faridabad-faridabad-ci-r36,423,423: Ambedkar Nagar Terminal -> Mori Gate Terminal,3
faridabad-faridabad-ci-r37,F-404,F-404: Moolchand Metro Station => Devli Gaon,3
faridabad-faridabad-ci-r38,544,544: RK Puram Sector 1 -> Badarpur Border,3
faridabad-faridabad-ci-r39,522,522: Indrapuri (Krishi Kunj) -> Ambedkar Nagar Terminal,3
faridabad-faridabad-ci-r40,521,521: Ambedkar Nagar Sector 4 -> Karampura Terminal,3
faridabad-faridabad-ci-r41,480,480: DDA Flats Kalkaji -> Kendriya Terminal,3
faridabad-faridabad-ci-r42,479,479: Badarpur Border -> Punjabi Bagh,3
faridabad-faridabad-ci-r43,469,469: Ambedkar Nagar Terminal -> Anand Vihar ISBT,3
faridabad-faridabad-ci-r44,433,433: Badarpur Border -> New Delhi Railway Station Gate Number 2,3
faridabad-faridabad-ci-r45,413,413: Nizamuddin Railway Station -> Mehrauli Terminal,3
faridabad-faridabad-ci-r46,479,479: Punjabi Bagh -> Badarpur Border,3
faridabad-faridabad-ci-r47,460,460: Minto Road Terminal -> Badarpur Border,3
faridabad-faridabad-ci-r48,413,413: Mehrauli Terminal -> Nizamuddin Railway Station,3
faridabad-faridabad-ci-r49,411,411: -> Hamdard Nagar,3
