stop_id,stop_name,stop_lat,stop_lon
faridabad-28.64704-77.31480,Faridabad stop,28.647045,77.314798
faridabad-28.64898-77.31829,Faridabad stop,28.648984,77.318288
faridabad-28.64675-77.31800,Faridabad stop,28.646753,77.318004
faridabad-28.64414-77.31700,Faridabad stop,28.644137,77.316995
faridabad-28.64308-77.31675,Faridabad stop,28.643076,77.316752
faridabad-28.64168-77.31608,Faridabad stop,28.641684,77.316081
faridabad-28.63599-77.31082,Faridabad stop,28.635991,77.310818
faridabad-28.63589-77.30808,Faridabad stop,28.635895,77.308077
faridabad-28.63441-77.30193,Faridabad stop,28.634415,77.301926
faridabad-28.63282-77.29914,Faridabad stop,28.632821,77.299138
faridabad-28.63111-77.29895,Faridabad stop,28.631106,77.298954
faridabad-28.63094-77.30059,Faridabad stop,28.63094,77.300595
faridabad-28.63136-77.30202,Faridabad stop,28.631356,77.302023
faridabad-28.63225-77.30446,Faridabad stop,28.632254,77.304456
faridabad-28.62984-77.30686,Faridabad stop,28.629844,77.306859
faridabad-28.62894-77.30903,Faridabad stop,28.628943,77.309027
faridabad-28.62652-77.30949,Faridabad stop,28.626519,77.309487
faridabad-28.62521-77.30566,Faridabad stop,28.625208,77.305665
faridabad-28.62378-77.30140,Faridabad stop,28.62378,77.301403
faridabad-28.62273-77.29826,Faridabad stop,28.622729,77.298257
faridabad-28.62159-77.29486,Faridabad stop,28.621587,77.294861
faridabad-28.61980-77.29007,Faridabad stop,28.619799,77.290071
faridabad-28.61895-77.28790,Faridabad stop,28.618945,77.2879
faridabad-28.61543-77.28560,Faridabad stop,28.615427,77.285596
faridabad-28.61220-77.28250,Faridabad stop,28.6122,77.282495
faridabad-28.60598-77.27488,Faridabad stop,28.605977,77.274884
faridabad-28.59650-77.25651,Faridabad stop,28.5965,77.256508
faridabad-28.58872-77.25906,Faridabad stop,28.588723,77.259059
faridabad-28.57625-77.26446,Faridabad stop,28.576247,77.264463
faridabad-28.55859-77.27303,Faridabad stop,28.558592,77.273029
faridabad-28.55374-77.26516,Faridabad stop,28.553739,77.265161
faridabad-28.55219-77.26451,Faridabad stop,28.552192,77.264507
faridabad-28.54731-77.25401,Faridabad stop,28.547308,77.254011
faridabad-28.54352-77.24418,Faridabad stop,28.543525,77.244183
faridabad-28.54046-77.23578,Faridabad stop,28.540461,77.235777
faridabad-28.53936-77.23230,Faridabad stop,28.539355,77.232298
faridabad-28.53891-77.23231,Faridabad stop,28.538912,77.232314
faridabad-28.53454-77.23222,Faridabad stop,28.534537,77.232218
