stop_id,stop_name,stop_lat,stop_lon
faridabad-19.22961-72.85704,Faridabad stop,19.229606,72.857044
faridabad-19.22824-72.85672,Faridabad stop,19.228238,72.856716
faridabad-21.20599-72.84061,Faridabad stop,21.205994,72.840605
faridabad-21.20520-72.84084,Faridabad stop,21.2052,72.84084
faridabad-22.31009-73.18055,Faridabad stop,22.310087,73.180549
faridabad-22.77710-73.60316,Faridabad stop,22.777097,73.603158
faridabad-22.84414-74.25297,Faridabad stop,22.844137,74.252967
faridabad-23.33837-75.04906,Faridabad stop,23.338366,75.049065
faridabad-22.90622-74.53774,Faridabad stop,22.906217,74.537741
faridabad-23.34029-75.05005,Faridabad stop,23.340287,75.05005
faridabad-23.45629-75.41266,Faridabad stop,23.456294,75.412659
faridabad-24.19047-75.64270,Faridabad stop,24.190466,75.642704
faridabad-24.41884-75.82905,Faridabad stop,24.418838,75.829048
faridabad-24.64391-75.93947,Faridabad stop,24.643909,75.939474
faridabad-25.22539-75.88078,Faridabad stop,25.225394,75.880778
faridabad-25.22435-75.88106,Faridabad stop,25.224348,75.881055
faridabad-26.01805-76.35617,Faridabad stop,26.018051,76.356173
faridabad-26.46830-76.72730,Faridabad stop,26.468298,76.727297
faridabad-26.68248-76.96602,Faridabad stop,26.682484,76.966018
faridabad-26.75610-77.03139,Faridabad stop,26.756099,77.031387
faridabad-26.91587-77.29643,Faridabad stop,26.915869,77.296427
faridabad-27.23727-77.48595,Faridabad stop,27.237265,77.485954
faridabad-27.23695-77.48841,Faridabad stop,27.236955,77.488412
faridabad-27.48346-77.67346,Faridabad stop,27.483461,77.673455
faridabad-28.41058-77.30738,Faridabad stop,28.410583,77.307378
faridabad-28.58996-77.25363,Faridabad stop,28.589964,77.25363
faridabad-28.65323-77.42831,Faridabad stop,28.653227,77.42831
faridabad-28.65357-77.42805,Faridabad stop,28.653569,77.428052
faridabad-28.97727-77.67470,Faridabad stop,28.977272,77.674701
faridabad-29.01633-77.68681,Faridabad stop,29.016331,77.686808
faridabad-29.19261-77.71850,Faridabad stop,29.192609,77.718502
faridabad-29.46934-77.70810,Faridabad stop,29.469341,77.708101
faridabad-29.96160-77.54026,Faridabad stop,29.961599,77.540256
faridabad-29.96113-77.54107,Faridabad stop,29.961134,77.541075
faridabad-30.11813-77.28575,Faridabad stop,30.118129,77.285749
faridabad-30.11783-77.28619,Faridabad stop,30.117832,77.286191
faridabad-30.33830-76.82815,Faridabad stop,30.3383,76.828146
faridabad-19.06170-72.84115,Faridabad stop,19.061695,72.841152
