route_id,service_id,trip_id,trip_headsign
faridabad-nmrc-r1,daily,faridabad-nmrc-r1-1d0-t1,Aqua Line: Depot → Noida Sector 51
faridabad-nmrc-r1,daily,faridabad-nmrc-r1-1d0-t2,Aqua Line: Depot → Noida Sector 51
faridabad-nmrc-r1,daily,faridabad-nmrc-r1-1d0-t3,Aqua Line: Depot → Noida Sector 51
faridabad-nmrc-r1,daily,faridabad-nmrc-r1-1d0-t4,Aqua Line: Depot → Noida Sector 51
faridabad-nmrc-r1,daily,faridabad-nmrc-r1-1d0-t5,Aqua Line: Depot → Noida Sector 51
faridabad-nmrc-r1,daily,faridabad-nmrc-r1-1d1-t1,Aqua Line: Depot → Noida Sector 51
faridabad-nmrc-r1,daily,faridabad-nmrc-r1-1d1-t2,Aqua Line: Depot → Noida Sector 51
faridabad-nmrc-r1,daily,faridabad-nmrc-r1-1d1-t3,Aqua Line: Depot → Noida Sector 51
faridabad-nmrc-r1,daily,faridabad-nmrc-r1-1d1-t4,Aqua Line: Depot → Noida Sector 51
faridabad-nmrc-r1,daily,faridabad-nmrc-r1-1d1-t5,Aqua Line: Depot → Noida Sector 51
faridabad-nmrc-r2,daily,faridabad-nmrc-r2-2d0-t1,Aqua Line: Noida Sector 51 → Depot
faridabad-nmrc-r2,daily,faridabad-nmrc-r2-2d0-t2,Aqua Line: Noida Sector 51 → Depot
faridabad-nmrc-r2,daily,faridabad-nmrc-r2-2d0-t3,Aqua Line: Noida Sector 51 → Depot
faridabad-nmrc-r2,daily,faridabad-nmrc-r2-2d0-t4,Aqua Line: Noida Sector 51 → Depot
faridabad-nmrc-r2,daily,faridabad-nmrc-r2-2d0-t5,Aqua Line: Noida Sector 51 → Depot
faridabad-nmrc-r2,daily,faridabad-nmrc-r2-2d1-t1,Aqua Line: Noida Sector 51 → Depot
faridabad-nmrc-r2,daily,faridabad-nmrc-r2-2d1-t2,Aqua Line: Noida Sector 51 → Depot
faridabad-nmrc-r2,daily,faridabad-nmrc-r2-2d1-t3,Aqua Line: Noida Sector 51 → Depot
faridabad-nmrc-r2,daily,faridabad-nmrc-r2-2d1-t4,Aqua Line: Noida Sector 51 → Depot
faridabad-nmrc-r2,daily,faridabad-nmrc-r2-2d1-t5,Aqua Line: Noida Sector 51 → Depot
faridabad-nmrc-r3,daily,faridabad-nmrc-r3-3d0-t1,103B+: Botanical Garden Metro Station -> Greater Noida Authority
faridabad-nmrc-r3,daily,faridabad-nmrc-r3-3d0-t2,103B+: Botanical Garden Metro Station -> Greater Noida Authority
faridabad-nmrc-r3,daily,faridabad-nmrc-r3-3d0-t3,103B+: Botanical Garden Metro Station -> Greater Noida Authority
faridabad-nmrc-r3,daily,faridabad-nmrc-r3-3d0-t4,103B+: Botanical Garden Metro Station -> Greater Noida Authority
faridabad-nmrc-r3,daily,faridabad-nmrc-r3-3d0-t5,103B+: Botanical Garden Metro Station -> Greater Noida Authority
faridabad-nmrc-r3,daily,faridabad-nmrc-r3-3d1-t1,103B+: Botanical Garden Metro Station -> Greater Noida Authority
faridabad-nmrc-r3,daily,faridabad-nmrc-r3-3d1-t2,103B+: Botanical Garden Metro Station -> Greater Noida Authority
faridabad-nmrc-r3,daily,faridabad-nmrc-r3-3d1-t3,103B+: Botanical Garden Metro Station -> Greater Noida Authority
faridabad-nmrc-r3,daily,faridabad-nmrc-r3-3d1-t4,103B+: Botanical Garden Metro Station -> Greater Noida Authority
faridabad-nmrc-r3,daily,faridabad-nmrc-r3-3d1-t5,103B+: Botanical Garden Metro Station -> Greater Noida Authority
faridabad-nmrc-r4,daily,faridabad-nmrc-r4-4d0-t1,103B: Greater Noida Authority -> Botanical Garden Metro Station
faridabad-nmrc-r4,daily,faridabad-nmrc-r4-4d0-t2,103B: Greater Noida Authority -> Botanical Garden Metro Station
faridabad-nmrc-r4,daily,faridabad-nmrc-r4-4d0-t3,103B: Greater Noida Authority -> Botanical Garden Metro Station
faridabad-nmrc-r4,daily,faridabad-nmrc-r4-4d0-t4,103B: Greater Noida Authority -> Botanical Garden Metro Station
faridabad-nmrc-r4,daily,faridabad-nmrc-r4-4d0-t5,103B: Greater Noida Authority -> Botanical Garden Metro Station
faridabad-nmrc-r4,daily,faridabad-nmrc-r4-4d1-t1,103B: Greater Noida Authority -> Botanical Garden Metro Station
faridabad-nmrc-r4,daily,faridabad-nmrc-r4-4d1-t2,103B: Greater Noida Authority -> Botanical Garden Metro Station
faridabad-nmrc-r4,daily,faridabad-nmrc-r4-4d1-t3,103B: Greater Noida Authority -> Botanical Garden Metro Station
faridabad-nmrc-r4,daily,faridabad-nmrc-r4-4d1-t4,103B: Greater Noida Authority -> Botanical Garden Metro Station
faridabad-nmrc-r4,daily,faridabad-nmrc-r4-4d1-t5,103B: Greater Noida Authority -> Botanical Garden Metro Station
