trip_id,arrival_time,departure_time,stop_id,stop_sequence
gandhinagar-ahmedabad-me-r1-1d0-t1,06:00:00,06:00:00,gandhinagar-23.15335-72.68558,1
gandhinagar-ahmedabad-me-r1-1d0-t1,06:03:47,06:03:47,gandhinagar-23.15492-72.66123,2
gandhinagar-ahmedabad-me-r1-1d0-t1,06:06:04,06:06:04,gandhinagar-23.15447-72.64748,3
gandhinagar-ahmedabad-me-r1-1d0-t2,08:00:00,08:00:00,gandhinagar-23.15335-72.68558,1
gandhinagar-ahmedabad-me-r1-1d0-t2,08:03:47,08:03:47,gandhinagar-23.15492-72.66123,2
gandhinagar-ahmedabad-me-r1-1d0-t2,08:06:04,08:06:04,gandhinagar-23.15447-72.64748,3
gandhinagar-ahmedabad-me-r1-1d0-t3,12:00:00,12:00:00,gandhinagar-23.15335-72.68558,1
gandhinagar-ahmedabad-me-r1-1d0-t3,12:03:47,12:03:47,gandhinagar-23.15492-72.66123,2
gandhinagar-ahmedabad-me-r1-1d0-t3,12:06:04,12:06:04,gandhinagar-23.15447-72.64748,3
gandhinagar-ahmedabad-me-r1-1d0-t4,17:00:00,17:00:00,gandhinagar-23.15335-72.68558,1
gandhinagar-ahmedabad-me-r1-1d0-t4,17:03:47,17:03:47,gandhinagar-23.15492-72.66123,2
gandhinagar-ahmedabad-me-r1-1d0-t4,17:06:04,17:06:04,gandhinagar-23.15447-72.64748,3
gandhinagar-ahmedabad-me-r1-1d0-t5,20:00:00,20:00:00,gandhinagar-23.15335-72.68558,1
gandhinagar-ahmedabad-me-r1-1d0-t5,20:03:47,20:03:47,gandhinagar-23.15492-72.66123,2
gandhinagar-ahmedabad-me-r1-1d0-t5,20:06:04,20:06:04,gandhinagar-23.15447-72.64748,3
gandhinagar-ahmedabad-me-r1-1d1-t1,06:00:00,06:00:00,gandhinagar-23.15447-72.64748,1
gandhinagar-ahmedabad-me-r1-1d1-t1,06:02:17,06:02:17,gandhinagar-23.15492-72.66123,2
gandhinagar-ahmedabad-me-r1-1d1-t1,06:06:04,06:06:04,gandhinagar-23.15335-72.68558,3
gandhinagar-ahmedabad-me-r1-1d1-t2,08:00:00,08:00:00,gandhinagar-23.15447-72.64748,1
gandhinagar-ahmedabad-me-r1-1d1-t2,08:02:17,08:02:17,gandhinagar-23.15492-72.66123,2
gandhinagar-ahmedabad-me-r1-1d1-t2,08:06:04,08:06:04,gandhinagar-23.15335-72.68558,3
gandhinagar-ahmedabad-me-r1-1d1-t3,12:00:00,12:00:00,gandhinagar-23.15447-72.64748,1
gandhinagar-ahmedabad-me-r1-1d1-t3,12:02:17,12:02:17,gandhinagar-23.15492-72.66123,2
gandhinagar-ahmedabad-me-r1-1d1-t3,12:06:04,12:06:04,gandhinagar-23.15335-72.68558,3
gandhinagar-ahmedabad-me-r1-1d1-t4,17:00:00,17:00:00,gandhinagar-23.15447-72.64748,1
gandhinagar-ahmedabad-me-r1-1d1-t4,17:02:17,17:02:17,gandhinagar-23.15492-72.66123,2
gandhinagar-ahmedabad-me-r1-1d1-t4,17:06:04,17:06:04,gandhinagar-23.15335-72.68558,3
gandhinagar-ahmedabad-me-r1-1d1-t5,20:00:00,20:00:00,gandhinagar-23.15447-72.64748,1
gandhinagar-ahmedabad-me-r1-1d1-t5,20:02:17,20:02:17,gandhinagar-23.15492-72.66123,2
gandhinagar-ahmedabad-me-r1-1d1-t5,20:06:04,20:06:04,gandhinagar-23.15335-72.68558,3
gandhinagar-ahmedabad-me-r2-2d0-t1,06:00:00,06:00:00,gandhinagar-23.15448-72.64745,1
gandhinagar-ahmedabad-me-r2-2d0-t1,06:02:17,06:02:17,gandhinagar-23.15495-72.66125,2
gandhinagar-ahmedabad-me-r2-2d0-t1,06:06:04,06:06:04,gandhinagar-23.15337-72.68552,3
