trip_id,arrival_time,departure_time,stop_id,stop_sequence
gorakhpur-northern-rai-r1-1d0-t1,06:00:00,06:00:00,gorakhpur-27.13110-93.70983,1
gorakhpur-northern-rai-r1-1d0-t1,06:21:07,06:21:07,gorakhpur-27.11910-93.86046,2
gorakhpur-northern-rai-r1-1d0-t1,09:10:00,09:10:00,gorakhpur-26.82126-92.68227,3
gorakhpur-northern-rai-r1-1d0-t1,09:24:57,09:24:57,gorakhpur-26.81073-92.57676,4
gorakhpur-northern-rai-r1-1d0-t1,10:31:58,10:31:58,gorakhpur-26.74465-92.09879,5
gorakhpur-northern-rai-r1-1d0-t1,11:54:21,11:54:21,gorakhpur-26.44804-91.60576,6
gorakhpur-northern-rai-r1-1d0-t1,14:22:45,14:22:45,gorakhpur-26.47574-90.53518,7
gorakhpur-northern-rai-r1-1d0-t1,16:51:50,16:51:50,gorakhpur-26.35420-89.46822,8
gorakhpur-northern-rai-r1-1d0-t1,19:22:38,19:22:38,gorakhpur-26.68293-88.44322,9
gorakhpur-northern-rai-r1-1d0-t1,21:16:03,21:16:03,gorakhpur-26.09838-87.95079,10
gorakhpur-northern-rai-r1-1d0-t1,22:56:33,22:56:33,gorakhpur-25.54973-87.56647,11
gorakhpur-northern-rai-r1-1d0-t1,26:36:53,26:36:53,gorakhpur-25.46009-85.99119,12
gorakhpur-northern-rai-r1-1d0-t1,28:31:36,28:31:36,gorakhpur-25.70164-85.21490,13
gorakhpur-northern-rai-r1-1d0-t1,29:41:25,29:41:25,gorakhpur-25.78744-84.72450,14
gorakhpur-northern-rai-r1-1d0-t1,31:04:35,31:04:35,gorakhpur-26.21089-84.35823,15
gorakhpur-northern-rai-r1-1d0-t1,33:44:18,33:44:18,gorakhpur-26.75998-83.38179,16
gorakhpur-northern-rai-r1-1d0-t1,39:23:34,39:23:34,gorakhpur-26.83034-80.92432,17
gorakhpur-northern-rai-r1-1d0-t1,41:02:03,41:02:03,gorakhpur-26.45435-80.35093,18
gorakhpur-northern-rai-r1-1d0-t1,49:58:43,49:58:43,gorakhpur-28.64971-77.31530,19
gorakhpur-northern-rai-r1-1d0-t1,49:59:53,49:59:53,gorakhpur-28.64943-77.31486,20
gorakhpur-northern-rai-r1-1d0-t2,08:00:00,08:00:00,gorakhpur-27.13110-93.70983,1
gorakhpur-northern-rai-r1-1d0-t2,08:21:07,08:21:07,gorakhpur-27.11910-93.86046,2
gorakhpur-northern-rai-r1-1d0-t2,11:10:00,11:10:00,gorakhpur-26.82126-92.68227,3
gorakhpur-northern-rai-r1-1d0-t2,11:24:57,11:24:57,gorakhpur-26.81073-92.57676,4
gorakhpur-northern-rai-r1-1d0-t2,12:31:58,12:31:58,gorakhpur-26.74465-92.09879,5
gorakhpur-northern-rai-r1-1d0-t2,13:54:21,13:54:21,gorakhpur-26.44804-91.60576,6
gorakhpur-northern-rai-r1-1d0-t2,16:22:45,16:22:45,gorakhpur-26.47574-90.53518,7
gorakhpur-northern-rai-r1-1d0-t2,18:51:50,18:51:50,gorakhpur-26.35420-89.46822,8
gorakhpur-northern-rai-r1-1d0-t2,21:22:38,21:22:38,gorakhpur-26.68293-88.44322,9
