stop_id,stop_name,stop_lat,stop_lon
S_HCC,Huda City Centre Metro Station (B),28.4593,77.0724
S_FMRI,Fortis Memorial Research Institute - Huda City Centre / Sec-43,,
S_SEC44,Sector - 44,,
S_SEC43_44A,Sector-43/Sector-44A,,
S_SEC43_44B,Sector-43/Sector-44B,,
S_KANHAI,Sector-43 Sushant Lok Block C / Kanhai Village,,
S_SEC45SC1,Sector - 45 South City - I,,
S_SEC39_45,Sector - 39/45,,
S_UNITECH,Unitech Cyber Park (B),,
S_SEC46,Sector - 46,,
S_BAKHTAWAR,Bakhtawar Chowk (A),,
S_SEC38,Sector - 38,,
S_SEC38_47B,Sector - 38/47 (B),,
S_SEC38_47A,Sector - 38/47 (A),,
S_SUBHASH,Subhash Chowk,28.4212,77.053
S_CP2,Central Park 2,,
S_SEC48SEZ,Sector - 48 SEZ,,
S_MARBLE,Sector - 33/34 Marble Market,,
S_SEC34NN,Sector - 34 Nagar Nigam,,
S_HEROHONDA,Hero Honda,,
S_HHCHOWK,Hero Honda Chowk,28.4359,77.0102
S_ARDEE5253,Ardee City Sector-52-53,,
S_HBC5253,Housing Board Colony Sector 52-53,,
S_WAZIRABAD,Wazirabad,,
S_AVHEIGHTS,Aviation Heights,,
S_BIODIV,Tau Devilal Biodiversity Park,,
S_SEC57,Sector-57,,
S_SEC51,Sector-51,,
S_TIGRA,Tigra Village Chowk / Sec-51 / Gurugram University,,
S_LOTUS50,Lotus Valley International School / Sector-50,,
S_BZ50,Business Zone Sector-50,,
S_SEC29PS,Sector - 29 Police Station,,
S_SEC29,Sector - 29,,
S_SC1SEC29,South City 1 Sector - 29,,
S_SEC29_30,Sector - 29/30,,
S_GYMKHANA,Gymkhana Club Sector - 29/30,,
S_MDI,Management Development Institute / IDC,,
S_SEC14IDC,Sector - 14 / IDC,,
S_CANAL,Canal Colony,,
S_ITIDLF,ITI Colony Old DLF,,
S_GGC,Govt Girls College Anamika Enclave,,
S_PATELNAGAR,Patel Nagar Vyapar Kendra,,
S_MAHAVIR,Mahaveer Chowk Gaushala Ground,28.4646,77.03
S_JACOB_LN,Jacobpura Lajpat Nagar,,
S_JACOB_MW,Jacobpura Miyan Wali Colony,,
S_BHIMNAGAR,Bhim Nagar Chowk,,
S_SEC47OLDRR,Sector - 4/7 Old Railway Road,,
S_SEC45,Sector - 4/5,,
