trip_id,arrival_time,departure_time,stop_id,stop_sequence
gurugram-delhi-metro--r1-1d0-t1,06:00:00,06:00:00,gurugram-28.62826-77.37510,1
gurugram-delhi-metro--r1-1d0-t1,06:02:05,06:02:05,gurugram-28.61698-77.37362,2
gurugram-delhi-metro--r1-1d0-t1,06:04:02,06:04:02,gurugram-28.60652-77.37272,3
gurugram-delhi-metro--r1-1d0-t1,06:05:44,06:05:44,gurugram-28.59758-77.37231,4
gurugram-delhi-metro--r1-1d0-t1,06:07:44,06:07:44,gurugram-28.58673-77.37280,5
gurugram-delhi-metro--r1-1d0-t1,06:09:40,06:09:40,gurugram-28.58023-77.36352,6
gurugram-delhi-metro--r1-1d0-t1,06:11:17,06:11:17,gurugram-28.57479-77.35625,7
gurugram-delhi-metro--r1-1d0-t1,06:13:22,06:13:22,gurugram-28.56743-77.34640,8
gurugram-delhi-metro--r1-1d0-t1,06:15:25,06:15:25,gurugram-28.56392-77.33437,9
gurugram-delhi-metro--r1-1d0-t1,06:17:17,06:17:17,gurugram-28.57079-77.32615,10
gurugram-delhi-metro--r1-1d0-t1,06:19:12,06:19:12,gurugram-28.57811-77.31783,11
gurugram-delhi-metro--r1-1d0-t1,06:20:52,06:20:52,gurugram-28.58493-77.31168,12
gurugram-delhi-metro--r1-1d0-t1,06:22:42,06:22:42,gurugram-28.58910-77.30158,13
gurugram-delhi-metro--r1-1d0-t1,06:24:18,06:24:18,gurugram-28.59447-77.29443,14
gurugram-delhi-metro--r1-1d0-t1,06:26:15,06:26:15,gurugram-28.60406-77.28952,15
gurugram-delhi-metro--r1-1d0-t1,06:29:06,06:29:06,gurugram-28.61788-77.27953,16
gurugram-delhi-metro--r1-1d0-t1,06:31:11,06:31:11,gurugram-28.62314-77.26804,17
gurugram-delhi-metro--r1-1d0-t1,06:34:03,06:34:03,gurugram-28.62058-77.24955,18
gurugram-delhi-metro--r1-1d0-t1,06:35:26,06:35:26,gurugram-28.62346-77.24251,19
gurugram-delhi-metro--r1-1d0-t1,06:36:56,06:36:56,gurugram-28.62559-77.23420,20
gurugram-delhi-metro--r1-1d0-t1,06:38:40,06:38:40,gurugram-28.62975-77.22500,21
gurugram-delhi-metro--r1-1d0-t1,06:39:51,06:39:51,gurugram-28.63276-77.21969,22
gurugram-delhi-metro--r1-1d0-t1,06:41:59,06:41:59,gurugram-28.63922-77.20857,23
gurugram-delhi-metro--r1-1d0-t1,06:43:43,06:43:43,gurugram-28.64430-77.19991,24
gurugram-delhi-metro--r1-1d0-t1,06:45:35,06:45:35,gurugram-28.64399-77.18853,25
gurugram-delhi-metro--r1-1d0-t1,06:47:19,06:47:19,gurugram-28.64248-77.17828,26
gurugram-delhi-metro--r1-1d0-t1,06:48:55,06:48:55,gurugram-28.64500-77.16927,27
gurugram-delhi-metro--r1-1d0-t1,06:51:03,06:51:03,gurugram-28.65157-77.15824,28
gurugram-delhi-metro--r1-1d0-t1,06:52:35,06:52:35,gurugram-28.65573-77.15065,29
gurugram-delhi-metro--r1-1d0-t1,06:54:04,06:54:04,gurugram-28.65784-77.14244,30
gurugram-delhi-metro--r1-1d0-t1,06:56:03,06:56:03,gurugram-28.65273-77.13166,31
gurugram-delhi-metro--r1-1d0-t1,06:57:43,06:57:43,gurugram-28.64904-77.12274,32
gurugram-delhi-metro--r1-1d0-t1,06:59:37,06:59:37,gurugram-28.64373-77.11287,33
gurugram-delhi-metro--r1-1d0-t1,07:01:06,07:01:06,gurugram-28.64046-77.10523,34
gurugram-delhi-metro--r1-1d0-t1,07:02:45,07:02:45,gurugram-28.63653-77.09648,35
gurugram-delhi-metro--r1-1d0-t1,07:04:30,07:04:30,gurugram-28.63299-77.08673,36
gurugram-delhi-metro--r1-1d0-t1,07:06:07,07:06:07,gurugram-28.62957-77.07809,37
gurugram-delhi-metro--r1-1d0-t1,07:08:19,07:08:19,gurugram-28.62483-77.06530,38
gurugram-delhi-metro--r1-1d0-t1,07:10:02,07:10:02,gurugram-28.62174-77.05572,39
gurugram-delhi-metro--r1-1d0-t1,07:11:49,07:11:49,gurugram-28.62026-77.04508,40
gurugram-delhi-metro--r1-1d0-t1,07:13:45,07:13:45,gurugram-28.61929-77.03328,41
gurugram-delhi-metro--r1-1d0-t1,07:15:39,07:15:39,gurugram-28.61493-77.02279,42
gurugram-delhi-metro--r1-1d0-t1,07:17:59,07:17:59,gurugram-28.60223-77.02599,43
gurugram-delhi-metro--r1-1d0-t1,07:19:37,07:19:37,gurugram-28.59702-77.03356,44
gurugram-delhi-metro--r1-1d0-t1,07:21:10,07:21:10,gurugram-28.59225-77.04075,45
gurugram-delhi-metro--r1-1d0-t1,07:22:58,07:22:58,gurugram-28.58646-77.04946,46
gurugram-delhi-metro--r1-1d0-t1,07:24:40,07:24:40,gurugram-28.58107-77.05751,47
gurugram-delhi-metro--r1-1d0-t1,07:26:29,07:26:29,gurugram-28.57428-77.06535,48
gurugram-delhi-metro--r1-1d0-t1,07:28:10,07:28:10,gurugram-28.56561-77.06706,49
gurugram-delhi-metro--r1-1d0-t1,07:30:54,07:30:54,gurugram-28.55199-77.05846,50
gurugram-delhi-metro--r1-1d0-t2,08:00:00,08:00:00,gurugram-28.62826-77.37510,1
gurugram-delhi-metro--r1-1d0-t2,08:02:05,08:02:05,gurugram-28.61698-77.37362,2
gurugram-delhi-metro--r1-1d0-t2,08:04:02,08:04:02,gurugram-28.60652-77.37272,3
gurugram-delhi-metro--r1-1d0-t2,08:05:44,08:05:44,gurugram-28.59758-77.37231,4
gurugram-delhi-metro--r1-1d0-t2,08:07:44,08:07:44,gurugram-28.58673-77.37280,5
gurugram-delhi-metro--r1-1d0-t2,08:09:40,08:09:40,gurugram-28.58023-77.36352,6
gurugram-delhi-metro--r1-1d0-t2,08:11:17,08:11:17,gurugram-28.57479-77.35625,7
gurugram-delhi-metro--r1-1d0-t2,08:13:22,08:13:22,gurugram-28.56743-77.34640,8
gurugram-delhi-metro--r1-1d0-t2,08:15:25,08:15:25,gurugram-28.56392-77.33437,9
gurugram-delhi-metro--r1-1d0-t2,08:17:17,08:17:17,gurugram-28.57079-77.32615,10
gurugram-delhi-metro--r1-1d0-t2,08:19:12,08:19:12,gurugram-28.57811-77.31783,11
gurugram-delhi-metro--r1-1d0-t2,08:20:52,08:20:52,gurugram-28.58493-77.31168,12
gurugram-delhi-metro--r1-1d0-t2,08:22:42,08:22:42,gurugram-28.58910-77.30158,13
gurugram-delhi-metro--r1-1d0-t2,08:24:18,08:24:18,gurugram-28.59447-77.29443,14
gurugram-delhi-metro--r1-1d0-t2,08:26:15,08:26:15,gurugram-28.60406-77.28952,15
gurugram-delhi-metro--r1-1d0-t2,08:29:06,08:29:06,gurugram-28.61788-77.27953,16
gurugram-delhi-metro--r1-1d0-t2,08:31:11,08:31:11,gurugram-28.62314-77.26804,17
gurugram-delhi-metro--r1-1d0-t2,08:34:03,08:34:03,gurugram-28.62058-77.24955,18
gurugram-delhi-metro--r1-1d0-t2,08:35:26,08:35:26,gurugram-28.62346-77.24251,19
gurugram-delhi-metro--r1-1d0-t2,08:36:56,08:36:56,gurugram-28.62559-77.23420,20
gurugram-delhi-metro--r1-1d0-t2,08:38:40,08:38:40,gurugram-28.62975-77.22500,21
gurugram-delhi-metro--r1-1d0-t2,08:39:51,08:39:51,gurugram-28.63276-77.21969,22
gurugram-delhi-metro--r1-1d0-t2,08:41:59,08:41:59,gurugram-28.63922-77.20857,23
gurugram-delhi-metro--r1-1d0-t2,08:43:43,08:43:43,gurugram-28.64430-77.19991,24
gurugram-delhi-metro--r1-1d0-t2,08:45:35,08:45:35,gurugram-28.64399-77.18853,25
gurugram-delhi-metro--r1-1d0-t2,08:47:19,08:47:19,gurugram-28.64248-77.17828,26
gurugram-delhi-metro--r1-1d0-t2,08:48:55,08:48:55,gurugram-28.64500-77.16927,27
gurugram-delhi-metro--r1-1d0-t2,08:51:03,08:51:03,gurugram-28.65157-77.15824,28
gurugram-delhi-metro--r1-1d0-t2,08:52:35,08:52:35,gurugram-28.65573-77.15065,29
gurugram-delhi-metro--r1-1d0-t2,08:54:04,08:54:04,gurugram-28.65784-77.14244,30
gurugram-delhi-metro--r1-1d0-t2,08:56:03,08:56:03,gurugram-28.65273-77.13166,31
gurugram-delhi-metro--r1-1d0-t2,08:57:43,08:57:43,gurugram-28.64904-77.12274,32
gurugram-delhi-metro--r1-1d0-t2,08:59:37,08:59:37,gurugram-28.64373-77.11287,33
gurugram-delhi-metro--r1-1d0-t2,09:01:06,09:01:06,gurugram-28.64046-77.10523,34
gurugram-delhi-metro--r1-1d0-t2,09:02:45,09:02:45,gurugram-28.63653-77.09648,35
gurugram-delhi-metro--r1-1d0-t2,09:04:30,09:04:30,gurugram-28.63299-77.08673,36
gurugram-delhi-metro--r1-1d0-t2,09:06:07,09:06:07,gurugram-28.62957-77.07809,37
gurugram-delhi-metro--r1-1d0-t2,09:08:19,09:08:19,gurugram-28.62483-77.06530,38
gurugram-delhi-metro--r1-1d0-t2,09:10:02,09:10:02,gurugram-28.62174-77.05572,39
gurugram-delhi-metro--r1-1d0-t2,09:11:49,09:11:49,gurugram-28.62026-77.04508,40
gurugram-delhi-metro--r1-1d0-t2,09:13:45,09:13:45,gurugram-28.61929-77.03328,41
gurugram-delhi-metro--r1-1d0-t2,09:15:39,09:15:39,gurugram-28.61493-77.02279,42
gurugram-delhi-metro--r1-1d0-t2,09:17:59,09:17:59,gurugram-28.60223-77.02599,43
gurugram-delhi-metro--r1-1d0-t2,09:19:37,09:19:37,gurugram-28.59702-77.03356,44
gurugram-delhi-metro--r1-1d0-t2,09:21:10,09:21:10,gurugram-28.59225-77.04075,45
gurugram-delhi-metro--r1-1d0-t2,09:22:58,09:22:58,gurugram-28.58646-77.04946,46
gurugram-delhi-metro--r1-1d0-t2,09:24:40,09:24:40,gurugram-28.58107-77.05751,47
gurugram-delhi-metro--r1-1d0-t2,09:26:29,09:26:29,gurugram-28.57428-77.06535,48
gurugram-delhi-metro--r1-1d0-t2,09:28:10,09:28:10,gurugram-28.56561-77.06706,49
gurugram-delhi-metro--r1-1d0-t2,09:30:54,09:30:54,gurugram-28.55199-77.05846,50
gurugram-delhi-metro--r1-1d0-t3,12:00:00,12:00:00,gurugram-28.62826-77.37510,1
gurugram-delhi-metro--r1-1d0-t3,12:02:05,12:02:05,gurugram-28.61698-77.37362,2
gurugram-delhi-metro--r1-1d0-t3,12:04:02,12:04:02,gurugram-28.60652-77.37272,3
gurugram-delhi-metro--r1-1d0-t3,12:05:44,12:05:44,gurugram-28.59758-77.37231,4
gurugram-delhi-metro--r1-1d0-t3,12:07:44,12:07:44,gurugram-28.58673-77.37280,5
gurugram-delhi-metro--r1-1d0-t3,12:09:40,12:09:40,gurugram-28.58023-77.36352,6
gurugram-delhi-metro--r1-1d0-t3,12:11:17,12:11:17,gurugram-28.57479-77.35625,7
gurugram-delhi-metro--r1-1d0-t3,12:13:22,12:13:22,gurugram-28.56743-77.34640,8
gurugram-delhi-metro--r1-1d0-t3,12:15:25,12:15:25,gurugram-28.56392-77.33437,9
gurugram-delhi-metro--r1-1d0-t3,12:17:17,12:17:17,gurugram-28.57079-77.32615,10
gurugram-delhi-metro--r1-1d0-t3,12:19:12,12:19:12,gurugram-28.57811-77.31783,11
gurugram-delhi-metro--r1-1d0-t3,12:20:52,12:20:52,gurugram-28.58493-77.31168,12
gurugram-delhi-metro--r1-1d0-t3,12:22:42,12:22:42,gurugram-28.58910-77.30158,13
gurugram-delhi-metro--r1-1d0-t3,12:24:18,12:24:18,gurugram-28.59447-77.29443,14
gurugram-delhi-metro--r1-1d0-t3,12:26:15,12:26:15,gurugram-28.60406-77.28952,15
gurugram-delhi-metro--r1-1d0-t3,12:29:06,12:29:06,gurugram-28.61788-77.27953,16
gurugram-delhi-metro--r1-1d0-t3,12:31:11,12:31:11,gurugram-28.62314-77.26804,17
gurugram-delhi-metro--r1-1d0-t3,12:34:03,12:34:03,gurugram-28.62058-77.24955,18
gurugram-delhi-metro--r1-1d0-t3,12:35:26,12:35:26,gurugram-28.62346-77.24251,19
gurugram-delhi-metro--r1-1d0-t3,12:36:56,12:36:56,gurugram-28.62559-77.23420,20
gurugram-delhi-metro--r1-1d0-t3,12:38:40,12:38:40,gurugram-28.62975-77.22500,21
gurugram-delhi-metro--r1-1d0-t3,12:39:51,12:39:51,gurugram-28.63276-77.21969,22
gurugram-delhi-metro--r1-1d0-t3,12:41:59,12:41:59,gurugram-28.63922-77.20857,23
gurugram-delhi-metro--r1-1d0-t3,12:43:43,12:43:43,gurugram-28.64430-77.19991,24
gurugram-delhi-metro--r1-1d0-t3,12:45:35,12:45:35,gurugram-28.64399-77.18853,25
gurugram-delhi-metro--r1-1d0-t3,12:47:19,12:47:19,gurugram-28.64248-77.17828,26
gurugram-delhi-metro--r1-1d0-t3,12:48:55,12:48:55,gurugram-28.64500-77.16927,27
gurugram-delhi-metro--r1-1d0-t3,12:51:03,12:51:03,gurugram-28.65157-77.15824,28
gurugram-delhi-metro--r1-1d0-t3,12:52:35,12:52:35,gurugram-28.65573-77.15065,29
gurugram-delhi-metro--r1-1d0-t3,12:54:04,12:54:04,gurugram-28.65784-77.14244,30
gurugram-delhi-metro--r1-1d0-t3,12:56:03,12:56:03,gurugram-28.65273-77.13166,31
gurugram-delhi-metro--r1-1d0-t3,12:57:43,12:57:43,gurugram-28.64904-77.12274,32
gurugram-delhi-metro--r1-1d0-t3,12:59:37,12:59:37,gurugram-28.64373-77.11287,33
gurugram-delhi-metro--r1-1d0-t3,13:01:06,13:01:06,gurugram-28.64046-77.10523,34
